energy,pos,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
29.8987,-1.3739,0.0255196,-0.656636,-0.461316,3.12302,undefined,0.0213035,0.0648545,29.2192,0
11.2145,1.35075,-0.0773504,0.19136,0.14097,-0.0572023,undefined,0.0188271,0.131208,11.0772,0
8.5293,-1.37163,0.0855762,-0.583955,-0.413064,3.07928,undefined,0.00779022,0.0180431,8.43246,0
11.8142,-0.86907,1.00149,-2.67333,-1.45081,2.28552,undefined,0.0142649,0.0711222,10.718,0
3.915,0.656831,1.19923,-0.109006,-0.079638,1.06971,undefined,0.0150192,0.0119992,3.94412,0
3.94426,-1.18738,-0.680701,0.000106979,7.81638e-05,-2.62105,undefined,0.014498,0.0148407,3.87539,0
6.69729,-1.26141,0.462557,-2.19043,-1.26495,2.79012,undefined,0.0141299,0.0433791,6.55409,0
3.3449,1.35824,-0.106951,0.0959935,0.0703989,-0.0785805,undefined,0.0187313,0.0272633,3.36997,0
2.59497,1.0188,0.896074,-0.0787498,-0.0580085,0.721397,undefined,0.0172089,0.0222386,2.58618,0
2.76216,-1.0164,0.873597,-1.57642,-1.00066,2.43161,undefined,0.0103184,0.00488082,2.74411,0
