pos
0.0364126,-0.030661,-0.156668
0.163761,-0.152158,-0.664598
0.283214,-0.28219,-1.17118
0.394275,-0.420361,-1.67658
0.496451,-0.566236,-2.181
0.589235,-0.719334,-2.68461
0.672069,-0.879114,-3.18766
0.744158,-1.045,-3.69039
0.804427,-1.21624,-4.19315
0.85139,-1.3918,-4.69643
0.882746,-1.57004,-5.20096
0.903251,-1.73959,-5.70928
0.919577,-1.89575,-6.22184
0.931959,-2.04347,-6.73724
0.943488,-2.18402,-7.25473
0.968455,-2.31374,-7.7735
1.016,-2.43221,-8.29248
1.06971,-2.54789,-8.81145
1.15241,-2.65215,-9.32986
1.2424,-2.75405,-9.84799
1.34347,-2.8534,-10.3654
