pt,charge,pos_x,pos_y,pos_z,phi,eta
3.22569,1,0.000727924,0.000613886,-0.0193935,-0.711321,-1.78417
1.19224,-1,0.000752368,0.000589921,0.0166372,-2.20808,-2.10982
