energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
65.1499,-1.38305,-0.160308,0.290496,0.207159,-3.0262,undefined,0.0176922,0.069608,65.515,0
18.9932,1.10194,-0.784813,0.938761,0.647673,-0.618873,undefined,0.0158194,0.115353,18.7345,0
18.9013,1.08949,-0.829443,1.04468,0.703462,-0.650701,undefined,0.0187597,0.0678923,18.6757,0
16.3657,1.04291,-0.879343,0.798529,0.556237,-0.70051,undefined,0.0180841,0.0494389,16.265,0
18.2949,1.14911,0.665964,-2.34353,-1.33308,0.525245,undefined,0.017162,0.125932,17.0165,0
5.72654,-1.29902,-0.40381,0.138983,0.101991,-2.8402,undefined,0.0152875,0.0462324,5.626,0
11.5124,0.737674,1.09269,-2.64944,-1.44792,0.97698,undefined,0.0207459,0.0965725,10.5847,0
5.90848,0.924823,0.967318,-2.00365,-1.1932,0.807853,undefined,0.0134952,0.0174782,5.84284,0
4.62804,0.521811,1.22695,-2.37884,-1.34273,1.16868,undefined,0.0146984,0.0710478,4.43091,0
2.39127,0.843747,-1.04244,1.20714,0.808945,-0.890352,undefined,0.0138974,0.106286,2.36889,0
4.07285,0.0648871,1.32622,2.66862,1.44801,1.52191,undefined,0.0107748,0.0382981,3.9124,0
2.14557,-1.02402,-0.89436,-1.26382,-0.830673,-2.42368,undefined,0.00975282,0.00744852,2.15103,0
1.74587,-1.24653,-0.513706,-1.30168,-0.856746,-2.75069,undefined,0.00399006,0.00652326,1.76145,0
