eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision
-2.2459,0.981799,1.45882,-1,0,0,1.20794,0.422828,0.890315,0.540566,0,0.652232,,-999,0,0,,,1
1.39138,-2.92538,0.974519,-1,0,0.589066,1.01174,0.282419,1.21444,1.21444,1.21444,0,,-999,0,0,,,1
2.09746,-1.47647,1.04373,-1,2.58779,0,0.55914,0.386683,1.53391,0.743437,0,0.739616,,-999,0,0,,,1
-0.39478,1.92449,11.4411,-1,0,3.97573,7.96816,0.475129,0.752092,0.682812,0.682812,0.50108,,-999,0,0,,,1
-0.0865097,0.7609,2.1763,1,1.80499,2.56631,2.50932,0.252342,3.49959,1.15316,0.843596,0,,-999,0,0,,,1
-0.483431,1.39851,2.44114,-1,0,4.65843,0.806834,0.897483,0.323218,0.323218,0,1.88519,,-999,0,0,,,1
1.06088,-0.598321,37.8461,1,9.91759,4.00416,12.739,0.729594,2.01368,1.54636,1.54636,5.31904,,-0.599394,0,0,,,1
0.915579,0.759747,4.12528,-1,13.599,1.09527,8.24642,0.254852,3.55382,1.83104,0.52897,1.15898,,-999,0,0,,,1
-0.949278,2.75286,16.577,-1,2.02739,38.1626,7.48443,0.804621,0.69725,0.438299,0.438299,2.74522,,-0.940731,0,0,,,1
-0.0199142,-1.15537,6.41079,1,0,0,2.83745,0.429011,1.24793,0.657629,0,0.937628,,-999,0,0,,,1
2.49579,2.88513,5.1859,1,0,0,1.48905,0.78852,0.980713,0.980713,0.980713,3.65666,,-999,0,0,,,1
-0.895373,-1.92522,7.29327,1,2.01909,1.61437,4.53674,0.388927,1.731,1.04843,1.47107,0.318862,,-999,0,0,,,1
-0.940285,-2.76799,12.4695,1,2.93809,1.71573,2.26556,0.514175,0.991686,0.312473,0.312473,0.743262,,-999,0,0,,,1
3.57608,1.82405,3.71817,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.66431,0.0158396,17.5136,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-1.90624,0.659978,4.681,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.81558,1.13801,4.5549,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.6099,-1.46957,4.40407,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.14116,0.732661,18.8652,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-4.89056,-2.79958,20.5073,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.02317,-1.66436,4.28536,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
