pt,charge,rp_x,rp_y,rp_z,phi,eta,calo_energy
0.815649,-1,0.000787602,0.000555902,0.0401534,-2.30291,2.12768,0
1.13324,-1,0.00133141,0.00040633,0.0786764,-1.8934,2.10294,0
1.07314,1,-0.00451441,-0.00891935,0.0567663,-0.503305,2.30007,0
1.47235,1,-9.84973e-05,-0.00302354,0.0834869,-0.225804,1.52991,0
1.0597,-1,0.00366762,-0.000600971,0.00470843,-1.96052,1.98532,0
