pos_x,pos_y,pos_z
0.0445425,0.000217061,-0.0146924
0.340704,0.004778,-0.499866
0.635878,0.0211262,-0.983794
0.929738,0.0491375,-1.46668
1.22196,0.0886525,-1.94875
1.51222,0.139495,-2.43019
1.80018,0.20155,-2.91124
2.08543,0.274801,-3.39212
2.36746,0.359439,-3.87309
2.64563,0.455695,-4.3545
2.91915,0.56367,-4.83678
3.18723,0.68051,-5.32082
3.45253,0.797338,-5.80645
3.71864,0.905971,-6.29288
3.98554,1.00803,-6.77987
4.25289,1.10659,-7.26713
4.52208,1.19663,-7.75466
4.79388,1.27566,-8.24237
5.06598,1.35301,-8.73017
5.33842,1.42301,-9.21891
5.6109,1.4905,-9.708
-0.0392425,0.0232711,0.0109425
-0.352402,0.175795,-0.337304
-0.669549,0.289737,-0.672301
-0.987992,0.368502,-0.996604
-1.30552,0.415137,-1.31238
-1.62015,0.432028,-1.62149
-1.92969,0.420463,-1.92557
-2.23106,0.38016,-2.22638
-2.51932,0.309579,-2.52641
-2.78627,0.206841,-2.82999
-3.01792,0.0709487,-3.14512
-3.18969,-0.118325,-3.48064
-3.29879,-0.359702,-3.83857
-3.37437,-0.622404,-4.21034
-3.44545,-0.882574,-4.58548
-3.52247,-1.12778,-4.96133
-3.6099,-1.34897,-5.33779
-3.71098,-1.53847,-5.71511
-3.82666,-1.69392,-6.0934
-3.957,-1.81739,-6.47202
-4.10214,-1.9128,-6.84981
-0.0334949,0.023474,0.0288401
-0.343717,0.244779,-0.230066
-0.638707,0.478689,-0.486714
-0.918734,0.724358,-0.741853
-1.18398,0.980971,-0.996269
-1.43434,1.24787,-1.25081
-1.66919,1.52459,-1.50647
-1.8874,1.81081,-1.76454
-2.0874,2.10606,-2.02681
-2.268,2.40895,-2.2958
-2.43935,2.71015,-2.57408
-2.60554,3.01563,-2.85159
-2.76558,3.3338,-3.11951
-2.92256,3.65959,-3.38117
-3.08375,3.98607,-3.6387
-3.24794,4.31299,-3.89333
-3.41657,4.63896,-4.14551
-3.59212,4.96161,-4.39596
-3.77012,5.28356,-4.64528
-3.9542,5.60307,-4.89253
-4.14615,5.91906,-5.13754
