detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
576585728,-4.13542,0.699808,3.93874,-4.13619,0.700714,1.42774,-4.13666,-1.47929,1.42695,-4.1359,-1.48019,3.93795,-4.49742,0.699886,3.93885,-4.49819,0.700792,1.42785,-4.49866,-1.47921,1.42706,-4.49789,-1.48011,3.93806
581042176,-5.06539,-1.13022,3.93921,-5.06573,-1.12858,1.42821,-3.72366,-3.43445,1.42652,-3.72331,-3.43609,3.93752,-5.37826,-1.31231,3.93913,-5.3786,-1.31067,1.42813,-4.03652,-3.61655,1.42645,-4.03618,-3.61818,3.93745
584974336,-6.01914,1.36082,3.93912,-6.02118,1.36099,1.42812,-6.02187,-1.79821,1.42791,-6.01982,-1.79838,3.93891,-6.34614,1.36089,3.93939,-6.34818,1.36106,1.42839,-6.34887,-1.79814,1.42818,-6.34682,-1.79831,3.93918
589168640,-7.04426,1.13537,3.94063,-7.04416,1.13433,1.42963,-7.0444,-3.02907,1.43135,-7.04449,-3.02803,3.94235,-7.37026,1.13539,3.94062,-7.37016,1.13435,1.42962,-7.37039,-3.02905,1.43134,-7.37049,-3.02801,3.94234
576585728,-4.13542,0.699808,3.93874,-4.13619,0.700714,1.42774,-4.13666,-1.47929,1.42695,-4.1359,-1.48019,3.93795,-4.49742,0.699886,3.93885,-4.49819,0.700792,1.42785,-4.49866,-1.47921,1.42706,-4.49789,-1.48011,3.93806
581042176,-5.06539,-1.13022,3.93921,-5.06573,-1.12858,1.42821,-3.72366,-3.43445,1.42652,-3.72331,-3.43609,3.93752,-5.37826,-1.31231,3.93913,-5.3786,-1.31067,1.42813,-4.03652,-3.61655,1.42645,-4.03618,-3.61818,3.93745
584974336,-6.01914,1.36082,3.93912,-6.02118,1.36099,1.42812,-6.02187,-1.79821,1.42791,-6.01982,-1.79838,3.93891,-6.34614,1.36089,3.93939,-6.34818,1.36106,1.42839,-6.34887,-1.79814,1.42818,-6.34682,-1.79831,3.93918
589168640,-7.04426,1.13537,3.94063,-7.04416,1.13433,1.42963,-7.0444,-3.02907,1.43135,-7.04449,-3.02803,3.94235,-7.37026,1.13539,3.94062,-7.37016,1.13435,1.42962,-7.37039,-3.02905,1.43134,-7.37049,-3.02801,3.94234
576585728,-4.13542,0.699808,3.93874,-4.13619,0.700714,1.42774,-4.13666,-1.47929,1.42695,-4.1359,-1.48019,3.93795,-4.49742,0.699886,3.93885,-4.49819,0.700792,1.42785,-4.49866,-1.47921,1.42706,-4.49789,-1.48011,3.93806
581042176,-5.06539,-1.13022,3.93921,-5.06573,-1.12858,1.42821,-3.72366,-3.43445,1.42652,-3.72331,-3.43609,3.93752,-5.37826,-1.31231,3.93913,-5.3786,-1.31067,1.42813,-4.03652,-3.61655,1.42645,-4.03618,-3.61818,3.93745
584974336,-6.01914,1.36082,3.93912,-6.02118,1.36099,1.42812,-6.02187,-1.79821,1.42791,-6.01982,-1.79838,3.93891,-6.34614,1.36089,3.93939,-6.34818,1.36106,1.42839,-6.34887,-1.79814,1.42818,-6.34682,-1.79831,3.93918
