et,eta,theta,phi
429.131,-0.686448,2.20893,-2.12423
359.235,1.14464,0.616389,1.01778
29.8882,-1.35198,2.63524,0.0731589
31.897,0.251715,1.3217,0.425188
26.0413,-3.36033,3.07217,2.18209
24.4318,-1.8966,2.84366,2.62533
21.6002,-1.80408,2.81527,1.34089
19.0357,-2.03398,2.88144,-1.40399
17.4734,2.97833,0.101667,-1.39594
16.9832,3.44971,0.0634886,1.20628
16.7513,-3.08885,3.05055,-1.85213
16.64,1.99711,0.269804,-0.0938952
17.2699,-0.848072,2.33237,1.48826
17.0701,0.611904,0.993851,-2.15367
15.8828,-1.96503,2.8631,-2.36871
15.6689,1.7099,0.357898,2.95544
15.1167,-3.5058,3.08156,1.05693
16.198,-0.604277,2.14134,2.98412
14.8595,1.3611,0.501944,-1.47103
14.1754,-4.06863,3.10739,0.228177
12.7857,3.16996,0.0839614,2.72535
12.3814,3.41227,0.0659086,-0.346627
12.3391,-3.35814,3.07202,-2.86337
11.632,4.24823,0.0285769,-3.01795
11.4927,-2.93547,3.03548,-0.178154
10.7245,-4.12156,3.10916,-1.36667
10.1153,2.28727,0.202393,-2.07722
10.6666,-0.248327,1.81661,-1.02798
9.29378,2.18249,0.224571,1.2672
8.76377,-4.36547,3.11618,1.4098
8.16052,4.78367,0.0167301,-1.87184
8.15806,3.24092,0.0782162,-2.42627
8.08442,-4.28786,3.11413,-2.57858
8.61459,0.632809,0.976431,2.31811
6.94842,4.34491,0.0259439,1.24733
6.08856,-2.34379,2.95025,0.505316
6.05943,2.64729,0.14145,1.99701
5.64964,4.7115,0.0179822,-0.0531367
5.2747,-2.60918,2.99467,2.55913
5.2309,-4.83827,3.12575,0.0281273
5.32958,0.267957,1.30599,-0.377986
4.97138,-1.228,2.57177,-1.02921
4.90775,-1.06841,2.47975,2.41281
4.82636,1.62979,0.387037,0.54444
4.75373,1.55315,0.417013,1.93906
4.66897,0.277236,1.29704,-2.95877
3.71945,1.32245,0.520859,-2.44605
3.65827,-3.15662,3.05651,-0.934011
3.58408,0.97041,0.724419,-0.604908
3.50259,-4.97798,3.12782,-1.51484
3.50021,-4.29903,3.11443,2.58625
3.21601,2.84821,0.115767,0.375687
3.09518,2.41528,0.178211,-3.02342
