et,eta,theta,phi
327.724,-1.41643,2.66563,0.382503
290.381,-1.30339,2.61117,-2.72267
39.7286,-0.446308,2.00299,-1.84008
37.2231,1.12613,0.627171,-1.09344
26.0071,-1.85952,2.83258,1.50232
25.8135,-0.418395,1.97749,3.09886
22.8613,0.993119,0.709498,1.38739
21.2097,-0.700055,2.21981,1.72915
21.888,-0.142218,1.71254,0.708074
19.3561,3.03983,0.0956131,-0.508481
19.0922,-3.10385,3.0519,1.37278
19.3581,1.10961,0.636933,-2.23886
18.3352,1.79843,0.328141,0.308106
17.2651,-2.74125,3.01279,-1.79194
17.0848,3.7944,0.0449852,0.328306
18.4768,-0.135984,1.70636,-0.463535
16.5432,3.24238,0.0781022,1.80264
15.7379,1.41758,0.475434,2.62322
15.0269,-3.82902,3.09814,2.65699
13.9153,2.74354,0.128507,2.92465
12.2701,-3.26504,3.06524,0.217195
11.2303,2.60189,0.147995,-1.89428
11.0632,4.50411,0.022126,-2.46447
11.0186,-1.545,2.72127,2.62875
10.5269,-4.26985,3.11363,0.142912
10.5123,4.10686,0.0329158,2.29809
11.1936,0.243229,1.32993,2.03964
9.86273,-1.47788,2.69303,-1.5489
9.60783,-4.37016,3.1163,-1.66407
9.37568,2.27073,0.205745,1.62335
9.29898,4.3049,0.027003,-0.860707
9.72449,0.426799,1.15639,-2.92663
9.01162,4.41611,0.024161,1.29878
8.72076,-3.74395,3.09428,-2.5784
8.62725,-3.08569,3.05026,-0.891086
8.51148,-2.61284,2.9952,-3.09021
7.86491,-2.12122,2.90296,-0.271224
7.69313,3.63564,0.052722,-1.76931
5.77685,-4.91641,3.12694,-2.96906
5.28101,-4.18798,3.11124,1.8266
4.65383,-2.60501,2.99406,2.18942
4.17366,2.9613,0.103411,0.718649
4.23469,0.848125,0.809185,-0.265372
4.09388,3.34702,0.0703491,-2.89917
3.51412,5.01081,0.0133308,2.61688
3.48467,-4.93805,3.12726,1.10251
3.21537,5.03808,0.0129722,-1.52869
3.2281,-1.05654,2.47242,-0.63013
