path,slot,moduleLabel,moduleType,VID,KEY,id,pt,eta,phi,mass
HLT_Ele8_CaloIdT_TrkIdVL_EG7_v2,7,hltL1sL1SingleEG7,HLTLevel1GTSeed,-83,1,0,9,2.586,1.0472,0
HLT_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v15,7,hltL1sL1SingleEG7,HLTLevel1GTSeed,-83,1,0,9,2.586,1.0472,0
HLT_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v15,53,hltEle8TightIdLooseIsoTrackIsoFilter,HLTElectronGenericFilter,82,0,-11,12.3862,2.27978,0.967853,0.0158532
HLT_DoubleEle8_CaloIdT_TrkIdVL_v12,7,hltL1sL1SingleEG7,HLTLevel1GTSeed,-83,1,0,9,2.586,1.0472,0
HLT_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Jet30_v7,7,hltL1sL1SingleEG7,HLTLevel1GTSeed,-83,1,0,9,2.586,1.0472,0
HLT_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Jet30_v7,53,hltEle8TightIdLooseIsoTrackIsoFilter,HLTElectronGenericFilter,82,0,-11,12.3862,2.27978,0.967853,0.0158532
AlCa_EcalPi0EBonly_v6,7,hltL1sAlCaEcalPi0Eta,HLTLevel1GTSeed,-83,1,0,9,2.586,1.0472,0
AlCa_EcalPi0EEonly_v6,7,hltL1sAlCaEcalPi0Eta,HLTLevel1GTSeed,-83,1,0,9,2.586,1.0472,0
AlCa_EcalEtaEBonly_v6,7,hltL1sAlCaEcalPi0Eta,HLTLevel1GTSeed,-83,1,0,9,2.586,1.0472,0
AlCa_EcalEtaEEonly_v6,7,hltL1sAlCaEcalPi0Eta,HLTLevel1GTSeed,-83,1,0,9,2.586,1.0472,0
