et,eta,theta,phi
57.0081,0.00814797,1.56265,1.10574
37.6902,-0.746398,2.25621,-1.71732
21.6039,-0.102742,1.67336,-2.68396
13.1989,-1.00372,2.43897,-0.302265
8.75683,3.32276,0.0720753,-3.09019
8.25925,1.11049,0.636409,1.76391
7.00315,0.300331,1.27488,2.56465
6.66786,1.05719,0.668768,-1.99457
6.54721,-0.773995,2.27739,2.01782
5.63866,2.40764,0.17957,-1.11429
5.59769,-0.0338899,1.60468,-0.313723
5.07672,-1.94501,2.85755,-1.66899
4.92294,-1.53109,2.71556,1.02983
4.6732,3.09439,0.0905434,-0.0576519
3.83412,4.20691,0.0297823,0.20809
3.3504,-0.760663,2.26721,3.07454
