et,eta,theta,phi
8.23949,-2.80275,3.02045,-0.493794
8.20752,2.75207,0.127419,-2.41785
8.38854,-0.737815,2.24955,1.27337
7.63422,2.87273,0.112968,-1.54168
7.40132,2.80322,0.121081,0.961524
7.14247,-1.70622,2.7824,2.07639
6.90167,2.80704,0.120621,-0.38268
6.76794,-0.76052,2.2671,-0.829626
5.64246,1.67676,0.369688,2.89196
5.38765,-2.47917,2.97436,0.608385
5.12449,-2.68218,3.00498,2.91183
4.89862,-2.80627,3.02088,-1.75675
4.8251,-1.67311,2.77058,-1.97072
4.70576,2.81648,0.11949,2.72146
4.82423,0.986158,0.714045,1.841
4.56681,1.81037,0.324313,-0.887092
4.14769,-0.340136,1.90456,-1.72536
3.97721,-1.8738,2.8369,-0.604803
3.35315,-1.13609,2.52024,2.99497
3.27224,-2.82617,3.02325,1.46168
3.15618,1.17892,0.596849,0.951905
