energy,et,eta,phi,pos_x,pos_y,pos_z,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,event_id
19.5963,19.2237,-0.196588,-1.30982,0.000723268,0.000613609,-0.020814,0.0,0.0,0.0,10.7146,16.3517,16.3809,17.7428,5.20246,0.0114105,0.0114737,0.603885,0.9216,0.837701,36.9145,1.50289,1.50289,0.0,28.7676,28.7676,7,7,34.7138,0.0,0.0,0.0,19.48,19.48,4,4,Event_1096363822
11.3697,10.9123,0.288524,-1.3153,0.000723268,0.000613609,-0.020814,0.0,0.0,0.0,4.93707,6.77217,6.94263,7.82992,2.27485,0.0121419,0.0122072,0.630538,0.864909,0.607054,12.5245,1.50289,1.50289,0.0,25.6786,25.6786,12,12,5.60783,0.0,0.0,0.0,20.5635,20.5635,8,8,Event_1096363822
22.5638,18.7397,0.628457,2.09801,0.000736301,0.000618369,0.0409849,0.321874,0.321874,0.0,7.94107,9.83303,7.22849,11.341,2.81501,0.0122084,0.012344,0.700207,0.867031,0.319836,14.1036,12.8269,12.8269,0.0,54.4549,34.0731,15,13,11.4127,11.8254,11.8254,0.0,52.7594,32.3775,13,11,Event_1096387771
14.8196,12.9487,0.531286,2.48562,0.000731628,0.000610048,-0.00419989,0.222108,0.222108,0.0,5.7037,7.34696,7.10229,9.28631,2.9122,0.0167684,0.0170157,0.614205,0.79116,0.479901,28.9808,10.098,10.098,0.0,6.7601,6.7601,6,6,18.8565,7.01984,7.01984,0.0,4.62907,4.62907,4,4,Event_1096391814
29.5507,10.1926,-1.72643,-1.74838,0.000731628,0.000610048,-0.00419989,0.0417113,0.0417113,0.0,8.06215,12.6523,12.1978,14.9438,5.28152,0.0286193,0.0522507,0.539496,0.846658,0.516593,6.99975,1.64934,0.359476,1.28986,0.0,0.0,0,0,5.52483,0.359476,0.359476,0.0,0.0,0.0,0,0,Event_1096391814
36.2888,34.8154,-0.289916,0.646066,0.000748383,0.000620005,-0.0196609,0.229763,0.229763,0.0,6.19357,8.94567,8.66978,9.27061,5.46172,0.0105554,0.0106321,0.668087,0.964949,0.238959,6.97849,1.95732,1.95732,0.0,11.6307,11.6307,7,7,6.86149,0.937087,0.937087,0.0,10.6986,10.6986,6,6,Event_1096394829
39.0242,27.9733,-0.861945,-1.76969,0.000721137,0.000614157,-0.0548284,0.424814,0.424814,0.0,8.76409,11.0478,10.7,19.7098,6.95518,0.0221386,0.0226848,0.444656,0.560525,0.275303,11.5984,2.88339,2.88339,0.0,6.97224,6.97224,4,4,11.3109,2.88339,2.88339,0.0,4.12724,4.12724,2,2,Event_1096407534
28.8564,26.3754,0.430407,-3.07121,0.000721137,0.000614157,-0.0548284,0.254232,0.254232,0.0,12.4228,19.2439,20.1037,24.4029,5.42393,0.0125555,0.0126272,0.509073,0.788592,0.697637,6.8068,4.03779,4.03779,0.0,18.6086,18.6086,6,6,5.53517,3.10554,3.10554,0.0,17.7432,17.7432,4,4,Event_1096407534
53.8667,19.3229,-1.68453,0.0554206,0.000721137,0.000614157,-0.0548284,0.442505,0.407991,0.034514,12.5097,16.7429,16.7947,20.5925,9.69684,0.0232631,0.0449797,0.607487,0.813058,0.348261,5.18756,21.0253,16.2106,4.81475,19.6664,16.7692,9,8,4.59231,20.2226,15.4078,4.81475,18.9311,16.0339,8,7,Event_1096407534
165.234,50.3995,-1.85641,-2.73901,0.000740846,0.000618827,-0.00847587,0.0406269,0.0290376,0.0115892,62.7932,118.983,117.129,138.034,38.6188,0.0168802,0.0265649,0.45491,0.861979,0.803633,4.29986,8.66117,5.54393,3.11724,17.6777,17.6777,4,4,3.70785,7.05256,5.21197,1.84059,17.6777,17.6777,4,4,Event_1096409638
142.834,29.2811,2.26721,0.0847911,0.000740846,0.000618827,-0.00847587,0.480029,0.279323,0.200706,76.1099,97.7531,106.417,124.38,42.6532,0.0306519,0.0316047,0.611914,0.785923,0.807393,1.94038,8.997,7.48964,1.50736,17.1227,17.1227,7,7,1.14261,7.32141,6.25276,1.06865,14.5641,14.5641,4,4,Event_1096409638
250.28,167.686,-0.955733,-2.90557,0.000739376,0.000635665,0.0138995,0.45626,0.45626,0.0,85.6175,188.876,165.054,209.385,53.3573,0.0112335,0.0114491,0.4089,0.902054,0.660798,12.2931,24.6039,24.6039,0.0,85.7284,8.37856,5,2,11.9234,20.2907,20.2907,0.0,85.1933,7.84345,4,1,Event_1096411390
41.6339,38.4619,0.403388,1.26387,0.00073134,0.000616069,-0.0627053,0.277878,0.277878,0.0,10.1392,22.2796,16.3821,28.1943,7.45649,0.0149259,0.014997,0.359618,0.790218,0.402264,10.2484,7.56384,7.56384,0.0,40.8532,12.597,8,6,8.04416,4.86409,4.86409,0.0,40.0646,11.8084,7,5,Event_1096438462
23.0205,16.1742,0.890392,-1.61014,0.00073134,0.000616069,-0.0627053,0.032373,0.032373,0.0,9.25922,10.374,9.76265,16.1538,5.54436,0.0191217,0.0194893,0.573192,0.6422,0.42625,13.5562,2.31218,2.31218,0.0,24.8502,24.8502,6,6,8.83001,1.71219,1.71219,0.0,24.8502,24.8502,6,6,Event_1096438462
23.7916,17.261,0.844555,-1.64634,0.00073134,0.000616069,-0.0627053,0.031309,0.031309,0.0,10.2995,14.8925,14.3141,19.0077,5.12382,0.0156271,0.0153718,0.541859,0.783497,0.610825,18.6266,2.31218,2.31218,0.0,20.7767,20.7767,8,8,13.1123,0.829275,0.829275,0.0,20.7767,20.7767,8,8,Event_1096438462
