eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,event_id
1.66472,0.370577,3.84442,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1203594102
3.77005,-0.540167,7.11396,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1203594102
-4.34931,2.273,3.81628,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1203594102
4.21315,1.73925,7.58287,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1203594102
-2.95152,1.06164,4.75266,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1203594102
-2.08065,-0.0435742,1.61916,-1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
-2.31457,-2.12311,1.19851,-1,0.0,0.0,0.707047,0.279317,1.40628,0.899037,0.507248,0.545037,,-999.0,0,0,,,1,Event_1203594102
2.28271,2.46372,1.64615,-1,0.0,0.0,1.22654,0.0,0.732736,0.732736,0.732736,0.0,,-999.0,0,0,,,1,Event_1203594102
-0.675707,1.10763,2.83765,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.484957,,-999.0,0,0,,,1,Event_1203594102
0.939045,0.0630819,1.33161,-1,0.574188,0.0,0.586477,0.0,0.41396,0.41396,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
-2.21609,2.6326,1.63183,1,0.0,0.668163,1.99948,0.0900178,2.67541,1.36949,2.36543,0.264658,,-999.0,0,0,,,1,Event_1203594102
1.42274,-2.23489,4.44062,1,0.735178,0.0,0.47881,0.722504,0.274515,0.274515,0.0,0.217749,,-999.0,0,0,,,1,Event_1203594102
1.38175,1.97996,0.59843,1,0.798592,0.0,0.687334,0.0,1.67193,1.06723,0.604698,0.0,,-999.0,0,0,,,1,Event_1203594102
0.531603,-2.42906,2.5841,-1,1.13223,0.0,0.90339,0.654468,0.71648,0.71648,0.0,0.502293,,-999.0,0,0,,,1,Event_1203594102
1.3634,-2.66915,0.961704,-1,0.0,1.16886,0.619963,0.608617,0.712507,0.712507,0.712507,0.618925,,-999.0,0,0,,,1,Event_1203594102
1.83602,-0.0558256,0.974349,-1,0.822864,0.590909,0.938809,0.423904,0.797452,0.797452,0.0,0.586782,,-999.0,0,0,,,1,Event_1203594102
-1.61483,2.9928,0.854195,1,0.0,1.61973,0.0,1.0,0.0,0.0,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
2.17355,-2.12617,3.34725,1,1.46628,2.10906,0.662874,0.776424,0.970418,0.358672,0.619541,1.59261,,-999.0,0,0,,,1,Event_1203594102
