et,eta,theta,phi,event_id
79.0949,-0.782388,2.28376,2.20122,Event_272716662
45.7628,2.91034,0.108807,0.442679,Event_272716662
27.8567,2.3639,0.187555,-0.711673,Event_272716662
25.1247,-2.78509,3.0183,-2.24093,Event_272716662
15.7373,-2.05324,2.88635,2.42808,Event_272716662
16.7942,0.125892,1.44524,2.84796,Event_272716662
14.3062,2.73582,0.129501,-2.74994,Event_272716662
13.5544,2.16335,0.228875,1.16392,Event_272716662
13.5444,-1.20401,2.5587,-3.05969,Event_272716662
13.0469,1.54622,0.419827,2.91551,Event_272716662
13.6328,0.256374,1.31719,-0.700936,Event_272716662
12.0439,-2.09124,2.89577,1.49031,Event_272716662
12.0021,-1.55649,2.72593,-0.531603,Event_272716662
12.4131,-0.294351,1.86099,1.02657,Event_272716662
11.0602,-3.24129,3.06341,-0.79595,Event_272716662
10.6094,-2.45761,2.97073,-1.43557,Event_272716662
9.93775,2.42452,0.17658,2.26808,Event_272716662
9.9186,-3.13428,3.05459,1.82876,Event_272716662
9.23888,3.91558,0.0398526,-1.23997,Event_272716662
9.4454,0.969172,0.72524,-2.01385,Event_272716662
8.88164,-4.28406,3.11402,-1.40314,Event_272716662
8.86009,-3.84303,3.09874,0.797732,Event_272716662
8.41521,3.96249,0.0380268,-0.0373128,Event_272716662
7.98519,-4.05357,3.10688,3.063,Event_272716662
7.79812,0.797027,0.846817,1.52987,Event_272716662
6.81364,-2.93276,3.03519,0.343009,Event_272716662
6.68702,-1.23808,2.57719,0.686046,Event_272716662
6.48916,3.4153,0.0657092,2.4269,Event_272716662
6.14254,-4.51667,3.11974,2.09075,Event_272716662
6.04326,4.28282,0.0276055,-2.41265,Event_272716662
5.78243,1.47423,0.45015,-0.0214973,Event_272716662
5.58851,-4.71833,3.12373,-0.0249497,Event_272716662
5.60929,0.13089,1.44028,-2.48318,Event_272716662
3.91972,-2.13321,2.90578,0.292187,Event_272716662
3.62369,3.9074,0.0401798,1.06809,Event_272716662
3.56003,-3.65764,3.09002,-2.41777,Event_272716662
3.65584,-0.948876,2.40279,-1.64471,Event_272716662
3.34939,-3.14937,3.05589,2.6567,Event_272716662
3.34816,3.07806,0.0920316,-1.96949,Event_272716662
3.51906,0.501202,1.08935,0.387233,Event_272716662
3.20689,-2.09548,2.8968,-2.7614,Event_272716662
3.10998,4.59038,0.0202972,0.385969,Event_272716662
123.392,-1.30803,2.61351,2.64961,Event_272720518
114.542,1.42772,0.470817,-0.558024,Event_272720518
33.3661,1.2465,0.559918,2.48657,Event_272720518
29.5533,-3.08127,3.04985,2.54833,Event_272720518
26.4289,-3.10135,3.05168,0.840411,Event_272720518
27.5427,-0.907911,2.37478,-0.212167,Event_272720518
24.9943,1.5263,0.428018,0.681154,Event_272720518
26.6944,0.0818792,1.48901,1.06266,Event_272720518
23.5427,-2.76234,3.01547,-0.324998,Event_272720518
21.3639,-1.52034,2.71109,0.874914,Event_272720518
20.4498,2.52387,0.159955,-0.259403,Event_272720518
21.2308,-1.00866,2.44216,-2.03848,Event_272720518
22.2003,-0.285515,1.85251,2.3453,Event_272720518
19.7103,-4.15891,3.11035,0.499363,Event_272720518
19.9145,1.54122,0.421869,-2.92886,Event_272720518
19.3935,-4.15532,3.11023,-2.78714,Event_272720518
19.2169,3.29311,0.074242,2.42062,Event_272720518
18.3529,-1.82113,2.82069,-1.38148,Event_272720518
19.4124,-0.100835,1.67146,-1.10477,Event_272720518
16.909,3.04125,0.0954781,-2.4555,Event_272720518
15.9939,-3.08565,3.05026,-2.62731,Event_272720518
15.5055,-4.14125,3.10979,1.62862,Event_272720518
14.414,2.21391,0.217682,1.72896,Event_272720518
14.3406,1.3465,0.509018,1.5152,Event_272720518
13.4534,-3.30643,3.06833,-1.57144,Event_272720518
13.1282,2.14714,0.232582,-2.0408,Event_272720518
13.3309,-0.295791,1.86237,0.351533,Event_272720518
14.1285,0.430629,1.15289,-2.77341,Event_272720518
12.6373,-1.61724,2.74979,1.80948,Event_272720518
12.4731,3.49925,0.060422,1.431,Event_272720518
11.8652,-4.36399,3.11614,-1.57547,Event_272720518
11.8172,-2.10562,2.89924,-2.32267,Event_272720518
11.0497,3.98996,0.0369967,-1.56039,Event_272720518
10.9718,3.07348,0.0924537,-1.2195,Event_272720518
11.3269,0.550667,1.04602,-0.128214,Event_272720518
9.6572,4.31882,0.0266296,2.46214,Event_272720518
9.98562,0.924952,0.755058,-1.41809,Event_272720518
8.33888,-3.8357,3.09843,-0.470268,Event_272720518
7.96224,-2.1284,2.90465,2.89868,Event_272720518
7.02198,3.79555,0.0449336,-0.531879,Event_272720518
6.81428,4.40705,0.0243811,-2.73327,Event_272720518
6.77787,-1.81998,2.82033,-0.331806,Event_272720518
5.97211,-0.98073,2.42399,-2.86936,Event_272720518
5.58278,-2.29419,2.94059,0.741597,Event_272720518
5.28476,3.05613,0.0940695,0.368285,Event_272720518
4.90076,-4.41916,3.11751,2.4307,Event_272720518
4.72342,-4.85346,3.12599,-0.568119,Event_272720518
4.11098,4.38759,0.02486,0.149736,Event_272720518
3.6502,4.91536,0.014666,-1.5255,Event_272720518
3.59047,2.13611,0.235136,2.53734,Event_272720518
3.20085,4.88156,0.01517,1.2219,Event_272720518
69.3653,-0.953688,2.40602,0.633883,Event_272735518
67.9119,-0.464263,2.01923,-2.03613,Event_272735518
18.8677,-0.271286,1.83881,3.06457,Event_272735518
15.626,-1.43045,2.67201,1.84495,Event_272735518
15.4495,-2.00017,2.8726,-2.84937,Event_272735518
14.7365,-3.42263,3.07636,-0.809476,Event_272735518
14.304,1.19288,0.589046,-2.4454,Event_272735518
13.1193,3.80184,0.0446519,1.83365,Event_272735518
13.0806,3.27932,0.0752722,-1.21792,Event_272735518
12.6979,1.2888,0.537849,-0.752196,Event_272735518
12.2976,2.48703,0.165931,1.64466,Event_272735518
12.0731,2.12314,0.238178,2.95677,Event_272735518
12.2263,-0.186877,1.75659,-0.805535,Event_272735518
10.9431,3.16138,0.0846837,-0.0889667,Event_272735518
10.8517,1.73138,0.350447,0.363007,Event_272735518
10.6553,-3.67712,3.09101,-2.33047,Event_272735518
10.1685,2.50415,0.163127,-2.13636,Event_272735518
9.52068,-3.6013,3.08703,0.458753,Event_272735518
10.3874,0.293242,1.28167,0.580275,Event_272735518
8.47459,-1.95198,2.85949,-1.35183,Event_272735518
7.59935,3.6994,0.0494664,-2.64967,Event_272735518
7.26521,-4.66313,3.12272,-0.351108,Event_272735518
7.21331,-1.87229,2.83644,0.0783482,Event_272735518
6.68685,-3.83074,3.09821,2.77465,Event_272735518
6.64756,-0.466779,2.02149,2.16265,Event_272735518
6.31873,-4.75348,3.12435,1.67304,Event_272735518
6.11578,3.08173,0.0916952,2.5625,Event_272735518
6.09078,4.1937,0.0301785,-0.99877,Event_272735518
5.28523,-2.29924,2.94159,1.25149,Event_272735518
5.17626,4.34057,0.0260566,0.866932,Event_272735518
4.49264,-2.88367,3.02985,2.1279,Event_272735518
3.99676,-2.88831,3.03037,-2.06929,Event_272735518
3.96692,3.89482,0.0406885,2.71241,Event_272735518
3.83764,-4.98587,3.12793,-2.90625,Event_272735518
3.31577,4.40742,0.0243719,-2.00213,Event_272735518
3.28137,-3.59599,3.08674,1.58004,Event_272735518
3.29882,1.27438,0.545284,1.29797,Event_272735518
3.21115,-4.68501,3.12313,0.776695,Event_272735518
129.603,-1.23788,2.57708,-2.68464,Event_272744622
117.767,0.818093,0.831145,0.749936,Event_272744622
50.2673,-1.65861,2.76529,1.10952,Event_272744622
39.5726,-1.2326,2.57425,-0.705787,Event_272744622
37.1869,3.02541,0.0969998,-0.825027,Event_272744622
34.8472,2.0235,0.26286,-2.76021,Event_272744622
28.1055,1.01973,0.692334,2.861,Event_272744622
26.4249,4.00829,0.0363249,-0.0612548,Event_272744622
21.3689,-0.570991,2.11307,1.33808,Event_272744622
18.5612,1.73505,0.349189,-1.84812,Event_272744622
18.3794,2.11495,0.240117,0.250453,Event_272744622
16.9409,0.0626283,1.50821,-1.20676,Event_272744622
15.4782,-3.1739,3.05796,-1.94143,Event_272744622
15.803,-0.161037,1.73114,2.57244,Event_272744622
12.8112,-3.8474,3.09893,-0.0350878,Event_272744622
12.6697,-3.00064,3.04216,-3.034,Event_272744622
12.5233,-4.19153,3.11135,2.90439,Event_272744622
12.0279,-2.87708,3.02911,0.582462,Event_272744622
11.7639,-4.11863,3.10906,-1.44836,Event_272744622
10.8746,1.84829,0.312445,1.98309,Event_272744622
9.88111,-3.07348,3.04914,-0.850642,Event_272744622
9.49978,-3.10812,3.05228,2.21298,Event_272744622
9.84774,-0.981106,2.42423,0.365534,Event_272744622
9.30367,2.79381,0.122222,1.09941,Event_272744622
8.67227,4.07837,0.0338667,-1.32686,Event_272744622
8.18799,3.15959,0.0848355,2.14022,Event_272744622
8.13793,1.08116,0.654044,-0.503965,Event_272744622
8.03442,-1.33893,2.62888,2.3948,Event_272744622
8.11417,-0.881183,2.35606,-1.77876,Event_272744622
7.63482,3.12569,0.0877565,-2.50541,Event_272744622
7.2192,-2.04487,2.88423,-1.55521,Event_272744622
6.81935,-4.22672,3.11239,1.19462,Event_272744622
6.06985,-2.20942,2.92294,2.71927,Event_272744622
6.14337,0.628757,0.979792,-2.36896,Event_272744622
5.80535,2.90688,0.109183,0.257386,Event_272744622
5.67303,-4.45062,3.11825,-2.38885,Event_272744622
5.38044,1.98004,0.274392,-0.665564,Event_272744622
5.30937,-2.75773,3.01489,1.42842,Event_272744622
5.17714,4.34923,0.0258321,-2.38061,Event_272744622
5.18775,1.85121,0.311549,2.74953,Event_272744622
5.41485,0.0294311,1.54137,0.546497,Event_272744622
4.85001,4.56311,0.0208585,0.910215,Event_272744622
4.78632,-4.23559,3.11265,2.00122,Event_272744622
4.54194,0.688343,0.931144,1.93441,Event_272744622
3.52301,3.10917,0.0892168,2.9382,Event_272744622
96.4207,0.397895,1.183,-2.44708,Event_272801966
80.7208,-1.06232,2.476,0.687715,Event_272801966
33.6569,-1.65949,2.76561,2.09229,Event_272801966
23.4223,0.694507,0.926208,-1.28655,Event_272801966
19.9255,-1.55235,2.72426,-0.595335,Event_272801966
18.7957,0.912718,0.76348,2.32605,Event_272801966
19.0077,-0.336483,1.9011,2.84003,Event_272801966
14.9916,-1.22876,2.57218,-2.53491,Event_272801966
15.8939,0.467218,1.1197,0.708528,Event_272801966
13.9145,2.75582,0.126944,-1.16071,Event_272801966
13.0207,-3.30984,3.06858,-1.39176,Event_272801966
11.2924,1.57478,0.408335,-1.38332,Event_272801966
11.1558,-3.0785,3.0496,-0.0243581,Event_272801966
11.7574,-0.610066,2.1462,1.73001,Event_272801966
10.852,3.40665,0.0662802,2.55716,Event_272801966
10.9036,-0.553142,2.09771,-0.150129,Event_272801966
9.08381,3.09158,0.0907976,1.07369,Event_272801966
8.75652,-2.03103,2.88068,-1.57204,Event_272801966
8.47526,3.77958,0.0456568,-0.0883879,Event_272801966
8.34458,2.77667,0.124331,0.00118055,Event_272801966
8.41344,1.38443,0.490834,-0.141251,Event_272801966
8.13892,2.32265,0.195403,-2.90866,Event_272801966
7.80635,4.10329,0.0330335,0.85587,Event_272801966
7.53031,-3.16768,3.05744,1.77182,Event_272801966
7.33793,-3.24241,3.06349,-2.47006,Event_272801966
7.33363,4.26605,0.0280724,3.13591,Event_272801966
7.08004,4.31006,0.0268638,1.95857,Event_272801966
6.291,-2.20729,2.92248,1.22174,Event_272801966
6.90397,-0.238829,1.80739,-1.18811,Event_272801966
5.98609,3.37599,0.0683417,-2.37713,Event_272801966
5.97917,1.77895,0.334478,2.62387,Event_272801966
5.58871,1.88357,0.301783,1.25901,Event_272801966
5.31591,-4.34779,3.11572,-1.02822,Event_272801966
5.27133,-4.02855,3.106,0.994457,Event_272801966
4.29458,-4.407,3.11721,-2.96439,Event_272801966
4.32075,-2.04265,2.88366,3.09453,Event_272801966
4.28333,3.72531,0.0482019,-1.10888,Event_272801966
4.13116,1.32439,0.519895,-2.61221,Event_272801966
3.83067,4.64329,0.0192513,-1.91494,Event_272801966
3.47826,-2.42396,2.96491,-0.869526,Event_272801966
3.26947,-2.30209,2.94216,0.273201,Event_272801966
3.12616,4.7977,0.0164971,-0.569896,Event_272801966
94.6337,-0.0273572,1.59815,-2.17722,Event_272823854
73.4768,-0.81781,2.31024,0.828978,Event_272823854
51.2939,-0.601774,2.13923,2.54278,Event_272823854
23.5938,-1.58927,2.73897,-0.709687,Event_272823854
19.728,1.94408,0.284307,-1.2024,Event_272823854
19.2908,-2.72027,3.01007,2.24993,Event_272823854
19.2755,-1.36526,2.64164,-2.01035,Event_272823854
16.3703,-1.73056,2.79086,3.12481,Event_272823854
16.1735,1.7983,0.328183,-0.144693,Event_272823854
15.5263,2.89,0.111038,2.05058,Event_272823854
14.2849,0.864264,0.797569,-0.634944,Event_272823854
13.1972,3.25522,0.0771064,0.0647788,Event_272823854
12.2654,0.793191,0.849694,-1.52015,Event_272823854
11.6964,1.94105,0.285157,2.94689,Event_272823854
11.1978,3.05341,0.0943254,-1.15752,Event_272823854
10.8187,1.60835,0.395208,1.7511,Event_272823854
10.3088,-3.3115,3.0687,-0.315315,Event_272823854
9.67868,-3.74829,3.09449,3.02339,Event_272823854
9.34126,-1.46354,2.68677,1.95554,Event_272823854
9.84465,0.134814,1.43639,1.87534,Event_272823854
8.55408,4.12518,0.0323183,0.654374,Event_272823854
8.43691,4.19542,0.0301267,-0.63282,Event_272823854
8.31252,-4.26246,3.11342,0.732064,Event_272823854
8.75605,0.472024,1.11538,-2.83257,Event_272823854
8.04414,-3.71001,3.09265,1.93873,Event_272823854
7.9755,2.85451,0.115041,-2.65629,Event_272823854
7.82237,4.33393,0.0262302,-2.72687,Event_272823854
7.77129,-2.88572,3.03008,-1.6079,Event_272823854
7.75933,-4.2189,3.11217,-2.34689,Event_272823854
7.75913,2.87906,0.112257,0.854321,Event_272823854
7.7798,-0.330793,1.89572,-0.868041,Event_272823854
6.5804,-2.74873,3.01375,-2.77363,Event_272823854
6.25733,-4.51105,3.11962,-0.289602,Event_272823854
6.76807,0.152827,1.41856,0.378715,Event_272823854
5.90868,4.73064,0.0176411,2.14191,Event_272823854
5.96216,1.25126,0.557392,0.868523,Event_272823854
5.69417,-3.09071,3.05072,1.16649,Event_272823854
5.65609,4.22372,0.0292862,-1.62369,Event_272823854
5.46523,3.77745,0.0457538,2.68793,Event_272823854
5.42396,-1.97639,2.86621,0.493782,Event_272823854
4.63114,0.816096,0.832621,2.4834,Event_272823854
85.6923,1.53451,0.424623,2.6333,Event_272976462
72.2351,-0.908552,2.37523,-0.565562,Event_272976462
71.848,0.741668,0.889048,1.97802,Event_272976462
57.8803,0.0434225,1.52739,-1.56266,Event_272976462
39.9165,2.64518,0.141747,2.5675,Event_272976462
37.5747,1.55511,0.416216,-1.75544,Event_272976462
34.4847,3.10674,0.0894332,1.18731,Event_272976462
34.055,3.40865,0.0661475,-2.82939,Event_272976462
33.7358,1.47286,0.450749,0.325648,Event_272976462
27.1447,1.82685,0.319104,1.41075,Event_272976462
26.0984,2.25776,0.208412,-0.526968,Event_272976462
25.5242,0.898613,0.773282,-0.71823,Event_272976462
20.9536,-3.55672,3.08454,2.04318,Event_272976462
18.3719,2.87432,0.112789,0.129962,Event_272976462
18.3733,-3.0628,3.04815,0.146272,Event_272976462
18.1154,2.37519,0.18546,-2.39641,Event_272976462
19.4181,0.201639,1.37051,0.373289,Event_272976462
17.0218,4.21035,0.0296803,-0.806276,Event_272976462
18.326,-0.345614,1.90973,-2.97196,Event_272976462
16.6369,3.96325,0.0379981,2.41979,Event_272976462
16.3896,-2.5614,2.98751,-2.47397,Event_272976462
15.3138,3.11397,0.0887899,-1.10433,Event_272976462
15.6725,0.741363,0.889285,-2.34494,Event_272976462
15.1012,-1.60829,2.74636,2.74187,Event_272976462
14.6653,4.22194,0.0293382,1.34547,Event_272976462
13.1919,-4.05849,3.10705,-2.99705,Event_272976462
13.1227,-2.0708,2.89075,1.30055,Event_272976462
12.6268,4.47366,0.02281,-2.42767,Event_272976462
12.1968,-1.85041,2.8298,-0.519799,Event_272976462
12.2639,-1.26829,2.59314,0.607568,Event_272976462
12.9293,-0.534234,2.08129,1.83866,Event_272976462
11.5355,-3.18975,3.05928,-0.914794,Event_272976462
10.3013,-2.96045,3.03809,1.39605,Event_272976462
10.1615,-4.39024,3.1168,-0.00575167,Event_272976462
10.3167,0.719255,0.906573,1.06252,Event_272976462
9.53918,-4.11611,3.10898,-1.68402,Event_272976462
9.16442,3.69651,0.0496099,-0.11559,Event_272976462
6.48011,2.58098,0.151112,-1.69781,Event_272976462
5.81383,-1.46036,2.68537,-2.57862,Event_272976462
5.62877,-4.73439,3.12402,1.31319,Event_272976462
5.43644,-1.10059,2.49928,-1.49723,Event_272976462
4.99643,-2.80875,3.02118,2.94285,Event_272976462
5.03626,1.25363,0.556143,-2.86044,Event_272976462
4.72752,-2.17165,2.91459,-1.67722,Event_272976462
4.42054,4.66707,0.018799,2.94877,Event_272976462
4.41548,-4.64734,3.12242,-0.990113,Event_272976462
4.32453,-4.85136,3.12596,-2.55715,Event_272976462
4.24506,3.74425,0.0472978,-1.811,Event_272976462
3.33366,-0.41771,1.97686,1.00561,Event_272976462
87.3954,-0.160207,1.73032,-1.01913,Event_273025542
85.8498,-0.700578,2.22023,2.48902,Event_273025542
76.3916,-0.378838,1.94089,1.35195,Event_273025542
55.1504,1.60803,0.395334,-1.66186,Event_273025542
38.6486,-1.88766,2.84103,0.84716,Event_273025542
34.3384,0.865998,0.79633,2.08057,Event_273025542
24.5055,1.21054,0.57931,-0.147038,Event_273025542
25.9426,0.251047,1.32235,-2.86922,Event_273025542
23.359,0.679536,0.938228,-1.41878,Event_273025542
22.5393,-2.5503,2.98579,-2.13999,Event_273025542
22.6676,-0.323662,1.88895,0.273664,Event_273025542
18.0105,-1.20962,2.56178,-2.2476,Event_273025542
17.6154,-1.87045,2.83589,3.02253,Event_273025542
15.1625,-3.87612,3.10014,0.903558,Event_273025542
14.6027,-1.40369,2.65976,-0.549577,Event_273025542
13.2246,-2.66579,3.00273,2.05195,Event_273025542
12.9323,-3.86048,3.09948,-1.71222,Event_273025542
12.6395,-3.61003,3.0875,2.75021,Event_273025542
12.6909,2.01076,0.266191,0.522381,Event_273025542
11.896,3.63533,0.0527382,2.60663,Event_273025542
11.8546,3.39504,0.0670535,-1.6848,Event_273025542
11.4516,-3.82109,3.09779,-0.537116,Event_273025542
11.7463,1.23097,0.568222,-2.68226,Event_273025542
10.8546,3.52611,0.0588213,1.33092,Event_273025542
9.8445,4.13332,0.0320563,-0.507064,Event_273025542
8.65825,-2.54177,2.98446,-0.658092,Event_273025542
8.4215,-1.47809,2.69312,1.82184,Event_273025542
7.63225,4.21802,0.0294533,-2.67214,Event_273025542
7.60679,-4.3112,3.11476,-2.69439,Event_273025542
7.43123,-2.97621,3.03971,0.331144,Event_273025542
6.91138,-3.81418,3.09749,1.81304,Event_273025542
6.82079,0.798316,0.845852,1.04439,Event_273025542
5.88161,-4.88547,3.12648,2.59828,Event_273025542
5.66768,2.53209,0.158652,-1.39971,Event_273025542
5.59289,1.95337,0.281712,2.68792,Event_273025542
5.47343,-1.78512,2.80914,-1.40523,Event_273025542
5.27773,4.46732,0.0229551,1.75988,Event_273025542
5.06976,3.01387,0.0981238,-0.315595,Event_273025542
4.96555,4.39978,0.0245588,0.545872,Event_273025542
4.95212,4.73481,0.0175678,2.75869,Event_273025542
4.74934,-4.8691,3.12623,-0.512018,Event_273025542
4.18551,-0.312692,1.87851,-1.79424,Event_273025542
3.82965,1.87816,0.303393,-0.51438,Event_273025542
3.81332,-0.938415,2.39572,0.875287,Event_273025542
3.90208,-0.774383,2.27768,-2.82629,Event_273025542
3.80596,0.533934,1.06056,2.75495,Event_273025542
3.40207,4.78006,0.0167906,-1.56295,Event_273025542
113.39,-1.78946,2.81055,2.13654,Event_273070534
96.2116,-1.04059,2.46247,-1.60792,Event_273070534
70.0467,-1.71832,2.78663,-0.152041,Event_273070534
21.4267,-2.60311,2.99378,1.1561,Event_273070534
15.1332,1.4528,0.459565,1.8572,Event_273070534
14.6405,1.25885,0.553392,-0.408369,Event_273070534
15.3399,0.114467,1.45658,-2.39025,Event_273070534
13.4073,-2.23879,2.92922,-1.75525,Event_273070534
12.786,-2.89127,3.0307,-1.01938,Event_273070534
12.2673,4.33565,0.0261851,-2.82695,Event_273070534
9.77306,3.15902,0.0848839,-2.30313,Event_273070534
9.32259,-3.73878,3.09404,2.42072,Event_273070534
9.97673,0.317294,1.2587,-0.0533463,Event_273070534
9.14044,0.865396,0.79676,-1.57275,Event_273070534
8.75722,-4.37701,3.11647,-0.451064,Event_273070534
8.69446,-4.14152,3.1098,-2.33787,Event_273070534
8.80666,-0.887875,2.36078,1.16129,Event_273070534
7.68942,4.19864,0.0300297,0.208153,Event_273070534
7.80799,-1.31864,2.61884,2.92289,Event_273070534
7.14917,3.68814,0.0500264,1.26146,Event_273070534
7.12884,-2.83374,3.02414,2.78337,Event_273070534
7.0856,-4.51561,3.11972,0.964152,Event_273070534
6.90768,1.62527,0.388746,2.92077,Event_273070534
6.51061,2.49001,0.165439,-0.228752,Event_273070534
6.46448,4.14587,0.0316568,-1.89358,Event_273070534
6.73121,0.579659,1.02111,-3.03876,Event_273070534
6.01871,2.02653,0.262074,0.954868,Event_273070534
5.6049,-3.12099,3.05342,-2.57344,Event_273070534
5.56197,3.86261,0.04202,2.32315,Event_273070534
5.55114,1.85563,0.310198,-2.15549,Event_273070534
5.02486,2.52416,0.159909,-3.0381,Event_273070534
5.06223,-0.761556,2.26789,-0.261049,Event_273070534
4.61289,-2.97732,3.03982,0.474159,Event_273070534
4.83274,0.157237,1.4142,2.30357,Event_273070534
4.31914,1.81418,0.323103,-1.07757,Event_273070534
3.81677,2.47445,0.168023,2.14205,Event_273070534
3.79588,4.86502,0.0154231,2.4506,Event_273070534
3.55737,4.40793,0.0243596,-0.892036,Event_273070534
3.49504,-2.07938,2.89287,-2.61456,Event_273070534
3.31918,-1.88049,2.83889,0.935468,Event_273070534
76.4526,-0.0936356,1.6643,1.36601,Event_273090582
65.7739,1.36252,0.501265,-1.81375,Event_273090582
27.8524,0.336331,1.24063,2.93679,Event_273090582
25.8502,-2.91067,3.03282,2.63109,Event_273090582
22.4408,-3.30646,3.06833,1.60667,Event_273090582
22.8692,-0.0420864,1.61287,-1.02946,Event_273090582
18.0382,-1.23202,2.57394,-1.29424,Event_273090582
16.3109,-3.15774,3.0566,-1.54364,Event_273090582
15.7595,3.64753,0.0520989,-0.120799,Event_273090582
16.8858,0.0182619,1.55254,0.213245,Event_273090582
14.452,3.83614,0.0431467,-1.0936,Event_273090582
14.006,4.14445,0.0317017,-2.30179,Event_273090582
14.0083,1.96364,0.278872,-0.157349,Event_273090582
13.7609,1.93256,0.287555,1.43697,Event_273090582
12.6179,2.50904,0.162336,-0.695471,Event_273090582
11.5992,-4.26582,3.11351,1.27269,Event_273090582
11.1149,-2.00844,2.87479,1.21926,Event_273090582
10.855,2.7872,0.123031,-3.04207,Event_273090582
11.237,-1.14972,2.52813,0.0422958,Event_273090582
9.20095,-4.07954,3.10777,-0.195364,Event_273090582
9.15308,3.88898,0.0409268,1.55865,Event_273090582
8.88118,-2.14467,2.90844,-0.937151,Event_273090582
8.69384,-2.90766,3.03249,-0.555274,Event_273090582
8.41709,-4.37874,3.11651,2.40577,Event_273090582
7.96114,1.86969,0.305936,-3.06932,Event_273090582
7.6978,-4.19571,3.11147,-1.92837,Event_273090582
6.98827,3.60874,0.0541585,2.82402,Event_273090582
6.99193,3.05777,0.0939152,0.971534,Event_273090582
6.92146,-1.32319,2.6211,2.52595,Event_273090582
6.8873,1.4339,0.46802,2.52804,Event_273090582
6.6442,-1.81883,2.81996,-2.60111,Event_273090582
6.48749,2.17321,0.226649,-1.77325,Event_273090582
6.75539,-0.593426,2.13218,-2.4691,Event_273090582
6.50626,0.819639,0.830003,0.116077,Event_273090582
6.00864,-2.99369,3.04147,0.601813,Event_273090582
6.27032,0.610717,0.994846,1.94414,Event_273090582
6.09683,0.84203,0.813605,-2.71758,Event_273090582
5.83484,-3.38538,3.07389,-2.80184,Event_273090582
5.5242,4.72742,0.0176982,0.740976,Event_273090582
4.97087,2.77993,0.123926,2.00278,Event_273090582
4.6604,4.91457,0.0146774,-1.16749,Event_273090582
4.60645,-1.06268,2.47622,1.06625,Event_273090582
4.34279,-4.46653,3.11862,-2.80574,Event_273090582
4.26606,4.6619,0.0188965,2.79692,Event_273090582
3.68094,-4.22261,3.11227,-1.1341,Event_273090582
3.4723,3.00556,0.0989417,-1.73503,Event_273090582
3.47536,-2.47372,2.97345,-2.20086,Event_273090582
3.07134,-5.04182,3.12867,-1.95132,Event_273090582
122.107,-2.00924,2.875,-1.68601,Event_273100230
85.5529,0.247429,1.32585,1.82814,Event_273100230
69.3965,0.602696,1.00159,0.634803,Event_273100230
58.8651,-2.32903,2.94742,-0.0831191,Event_273100230
47.5766,-1.16738,2.53823,-2.40032,Event_273100230
41.5077,1.64878,0.379932,-2.86047,Event_273100230
39.9529,-1.00953,2.44272,2.60734,Event_273100230
35.1572,-2.10277,2.89856,0.903021,Event_273100230
23.4582,-3.31075,3.06865,0.764065,Event_273100230
23.2985,-0.158724,1.72886,-3.03237,Event_273100230
21.1928,1.35415,0.5053,-0.887552,Event_273100230
19.5582,-3.43814,3.07737,-1.20005,Event_273100230
18.5411,-4.36329,3.11612,1.29717,Event_273100230
18.6985,-0.827828,2.31762,-1.47005,Event_273100230
17.2205,-1.88311,2.83967,2.25628,Event_273100230
16.2898,-1.26864,2.59333,1.58522,Event_273100230
15.4845,0.709395,0.914361,-1.83432,Event_273100230
13.4907,-3.86006,3.09947,2.3044,Event_273100230
14.4526,-0.387557,1.949,-0.490963,Event_273100230
13.0235,1.34386,0.510301,2.17155,Event_273100230
12.3106,-1.58794,2.73845,-0.551223,Event_273100230
11.7279,2.55608,0.154906,-0.624395,Event_273100230
11.6063,-3.87826,3.10023,-2.35129,Event_273100230
10.9594,3.94319,0.0387676,-2.74896,Event_273100230
10.4968,3.24109,0.0782025,0.946377,Event_273100230
10.3557,-4.5703,3.12088,-3.09243,Event_273100230
10.0623,-4.11573,3.10897,0.0512045,Event_273100230
9.96381,-4.64808,3.12243,-1.40124,Event_273100230
9.3889,3.48326,0.0613947,-1.44175,Event_273100230
8.31461,-2.27383,2.93648,-2.77126,Event_273100230
6.14994,-2.93173,3.03508,1.75068,Event_273100230
6.09153,2.56825,0.15304,2.51092,Event_273100230
6.01229,2.44199,0.173539,0.263665,Event_273100230
5.89876,3.85329,0.0424133,-0.0777815,Event_273100230
5.68825,-2.7884,3.01871,2.77467,Event_273100230
5.45139,-2.90279,3.03196,-2.27765,Event_273100230
5.55718,-0.299463,1.86588,0.394978,Event_273100230
4.86548,2.0989,0.243965,1.37266,Event_273100230
4.6897,4.18662,0.0303929,2.01865,Event_273100230
4.6388,-4.90274,3.12674,2.45973,Event_273100230
4.2692,0.418563,1.16395,-0.962308,Event_273100230
4.02373,-4.99979,3.12811,-0.13149,Event_273100230
3.70122,4.65042,0.0191147,-1.45777,Event_273100230
3.91807,-0.62033,2.15479,1.01925,Event_273100230
3.46121,-0.0788812,1.6496,-1.92618,Event_273100230
3.38557,2.9227,0.107473,1.79841,Event_273100230
220.348,-0.824668,2.31529,1.38602,Event_273102462
171.81,1.33717,0.513583,-1.87704,Event_273102462
38.1868,1.02575,0.688503,-1.06072,Event_273102462
30.058,-0.249988,1.81822,-0.0692134,Event_273102462
20.9877,-3.23941,3.06326,1.05399,Event_273102462
17.8945,-3.68541,3.09143,2.68506,Event_273102462
18.0119,-0.0217072,1.5925,1.81509,Event_273102462
