et,eta,theta,phi,event_id
20.8101,-3.35035,3.07148,-1.044,Event_137440354
20.1192,-4.44894,3.11821,3.01729,Event_137440354
20.071,2.94982,0.104602,-0.93333,Event_137440354
20.0514,4.27113,0.02793,-2.17162,Event_137440354
19.8951,2.97682,0.101821,-2.07958,Event_137440354
21.2178,0.585248,1.01635,1.33658,Event_137440354
18.132,-2.05393,2.88653,-2.18036,Event_137440354
18.4667,-1.0152,2.44636,-2.77971,Event_137440354
16.9437,3.84725,0.04267,-0.123507,Event_137440354
15.6664,4.10414,0.0330055,1.03481,Event_137440354
15.5706,4.02065,0.0358788,2.87496,Event_137440354
15.5506,-3.28329,3.06662,1.7923,Event_137440354
14.0882,1.04842,0.674227,-1.89327,Event_137440354
13.325,-3.47676,3.0798,-0.0760868,Event_137440354
12.9958,-4.43077,3.11778,1.41865,Event_137440354
12.338,0.321723,1.25448,-0.14525,Event_137440354
11.7629,-4.10587,3.10864,-2.33243,Event_137440354
11.7696,2.96298,0.103237,2.25081,Event_137440354
10.7415,2.85209,0.115319,0.368227,Event_137440354
10.3481,-1.91481,2.84896,1.7039,Event_137440354
10.0646,-4.45344,3.11832,0.0890349,Event_137440354
8.40946,1.60986,0.394628,0.781781,Event_137440354
7.94637,4.25649,0.0283419,-1.06191,Event_137440354
8.07233,-1.11498,2.50785,-1.28926,Event_137440354
6.656,2.48708,0.165922,-3.10108,Event_137440354
6.50478,1.17527,0.598901,-1.0147,Event_137440354
6.34616,-3.07526,3.0493,2.52938,Event_137440354
5.81609,4.89324,0.0149939,2.98572,Event_137440354
5.72215,4.82224,0.0160972,0.0337717,Event_137440354
4.41602,-2.35668,2.95269,-0.321294,Event_137440354
4.13386,-3.97749,3.10413,2.334,Event_137440354
4.15221,2.11871,0.239225,-1.02525,Event_137440354
3.91226,4.09266,0.0333864,1.9356,Event_137440354
3.40547,1.50048,0.438862,1.75791,Event_137440354
3.25467,-0.137271,1.70764,-2.04001,Event_137440354
77.32,1.39568,0.485559,-2.5913,Event_1430970868
45.7382,1.09998,0.642682,-0.107413,Event_1430970868
31.6052,1.06068,0.666607,0.839755,Event_1430970868
29.0287,0.496331,1.09367,-1.50208,Event_1430970868
26.9729,-2.51745,2.98061,2.93501,Event_1430970868
26.2374,2.44947,0.172251,2.86782,Event_1430970868
26.5113,-1.3161,2.61756,1.92677,Event_1430970868
25.9472,1.57759,0.407223,-1.00497,Event_1430970868
23.6414,-1.9416,2.85659,0.515823,Event_1430970868
22.3828,-0.903823,2.37194,-2.37914,Event_1430970868
21.169,2.37425,0.185634,1.21659,Event_1430970868
20.9267,-2.73604,3.01212,1.9582,Event_1430970868
22.2016,-0.397764,1.95847,1.28481,Event_1430970868
20.1998,2.93218,0.10646,-0.1575,Event_1430970868
21.9731,-0.124105,1.69458,3.08517,Event_1430970868
19.9079,1.59045,0.402159,2.29857,Event_1430970868
18.7855,0.0148429,1.55595,0.385559,Event_1430970868
17.1819,-0.506839,2.05723,-0.975186,Event_1430970868
15.0517,-4.29543,3.11433,-0.199557,Event_1430970868
12.6481,2.55282,0.15541,-2.19076,Event_1430970868
12.7552,-1.60104,2.74356,-0.749832,Event_1430970868
11.0576,-2.64344,2.9996,-1.56589,Event_1430970868
9.83675,-3.17138,3.05775,0.424265,Event_1430970868
8.93394,3.69649,0.0496109,-2.05516,Event_1430970868
8.70334,-4.01384,3.10547,2.10812,Event_1430970868
8.58491,3.9266,0.039416,2.28637,Event_1430970868
8.17823,-3.29089,3.06719,-0.503944,Event_1430970868
7.89338,-3.84194,3.0987,-2.60097,Event_1430970868
7.18938,-3.90979,3.10151,-1.38072,Event_1430970868
6.58679,4.00702,0.0363709,-0.604983,Event_1430970868
6.55654,4.04578,0.0349884,0.493461,Event_1430970868
6.93416,0.480803,1.10751,-2.45807,Event_1430970868
6.1491,1.52649,0.427941,1.56887,Event_1430970868
6.10757,1.59799,0.399218,-1.77425,Event_1430970868
6.02987,-1.49589,2.70077,-3.11011,Event_1430970868
5.7665,3.48972,0.0610001,-3.03613,Event_1430970868
5.50708,-1.43484,2.674,-1.7147,Event_1430970868
5.35429,3.12098,0.0881703,0.843735,Event_1430970868
5.31985,2.74063,0.12888,-1.26098,Event_1430970868
4.59375,-4.42747,3.1177,0.903549,Event_1430970868
4.72817,-1.00097,2.4372,0.212787,Event_1430970868
4.5301,4.53283,0.0214996,1.4553,Event_1430970868
4.0309,2.15683,0.230358,0.103476,Event_1430970868
3.88745,0.0796251,1.49126,-0.423361,Event_1430970868
3.62315,4.71312,0.017953,-2.47876,Event_1430970868
3.56656,4.94202,0.0142801,-0.216596,Event_1430970868
3.73249,0.160725,1.41076,2.17195,Event_1430970868
3.24133,2.92875,0.106826,1.9412,Event_1430970868
3.10537,-1.97107,2.86476,1.54757,Event_1430970868
126.912,-0.399755,1.96031,2.41706,Event_153791279
104.916,-1.94723,2.85817,-0.501111,Event_153791279
49.2844,1.55357,0.416842,-1.58414,Event_153791279
43.0969,0.769371,0.867725,1.77308,Event_153791279
34.715,1.40022,0.483445,0.390422,Event_153791279
30.5578,-1.23433,2.57518,-1.65255,Event_153791279
28.2284,-3.24917,3.06402,2.55382,Event_153791279
29.7698,0.927453,0.753345,-3.06065,Event_153791279
26.1746,-2.81079,3.02142,-2.59383,Event_153791279
25.8195,-2.97883,3.03998,1.42739,Event_153791279
23.9943,-3.26698,3.06539,-0.0234957,Event_153791279
24.968,-0.544041,2.08983,-0.808778,Event_153791279
23.2711,-1.13872,2.52177,-2.93407,Event_153791279
23.8835,0.770609,0.866781,-0.642711,Event_153791279
21.3,-3.08472,3.05017,-1.06559,Event_153791279
20.3624,3.81877,0.0439027,-1.29135,Event_153791279
18.7913,1.76984,0.337481,-0.572154,Event_153791279
18.0319,2.07321,0.250248,-2.31435,Event_153791279
18.147,-1.39507,2.65575,1.55871,Event_153791279
16.7071,-1.11563,2.50823,0.304485,Event_153791279
15.7609,-4.35027,3.11579,2.93947,Event_153791279
15.6748,3.52211,0.0590568,1.46178,Event_153791279
17.4721,-0.0307927,1.60158,-2.32582,Event_153791279
15.3264,3.22708,0.0793046,2.52496,Event_153791279
15.2531,4.33015,0.0263296,0.642545,Event_153791279
14.2251,-4.1777,3.11093,1.56636,Event_153791279
12.1388,-2.08812,2.89501,2.81853,Event_153791279
11.86,3.11189,0.0889743,-0.549093,Event_153791279
12.3588,-0.237435,1.80603,1.28414,Event_153791279
11.0834,2.96271,0.103266,-1.86938,Event_153791279
10.6301,-4.19447,3.11144,0.514349,Event_153791279
10.3252,4.00168,0.0365658,-2.65956,Event_153791279
10.2108,-4.03674,3.10629,-1.57279,Event_153791279
9.99312,4.45319,0.0232818,2.04987,Event_153791279
10.977,0.37031,1.20867,0.548057,Event_153791279
9.38215,-1.87502,2.83726,-2.38304,Event_153791279
9.29891,1.89472,0.298484,1.55942,Event_153791279
9.43915,0.208085,1.3642,-1.47158,Event_153791279
7.71979,-3.6632,3.0903,-2.55779,Event_153791279
7.35891,-4.12545,3.10928,-0.552888,Event_153791279
7.28053,3.18944,0.0823434,0.439894,Event_153791279
7.01335,1.65176,0.378829,2.6322,Event_153791279
6.17886,-2.1512,2.90995,0.749953,Event_153791279
5.70607,4.35117,0.025782,-0.262268,Event_153791279
5.53557,2.36764,0.186857,0.272257,Event_153791279
4.34746,-4.89187,3.12658,2.0084,Event_153791279
4.11216,-4.96425,3.12763,-2.57921,Event_153791279
3.92246,-4.99712,3.12808,-0.80917,Event_153791279
3.52645,-2.16189,2.91239,1.82012,Event_153791279
3.25351,4.88161,0.0151693,-1.18728,Event_153791279
3.08079,2.43268,0.175153,3.02513,Event_153791279
3.01686,4.98592,0.0136668,1.26737,Event_153791279
61.5644,1.91516,0.292531,2.08741,Event_1605749984
55.5428,0.536686,1.05816,-0.554996,Event_1605749984
23.9691,-0.591311,2.13038,0.938314,Event_1605749984
18.2613,1.64144,0.382663,-2.27578,Event_1605749984
17.4409,-0.479632,2.03303,-0.961424,Event_1605749984
16.6587,-1.78366,2.80866,-2.43548,Event_1605749984
14.0723,2.04983,0.256105,-1.38756,Event_1605749984
11.8127,-0.759987,2.26669,2.12322,Event_1605749984
9.88061,-1.75405,2.79885,-0.0901298,Event_1605749984
9.2312,-3.14247,3.05529,-3.11072,Event_1605749984
8.88401,1.89206,0.299268,0.613915,Event_1605749984
7.76336,2.89924,0.110019,-2.5655,Event_1605749984
7.71494,3.06976,0.0927979,1.57951,Event_1605749984
6.49278,-1.53081,2.71544,2.84895,Event_1605749984
6.35596,3.96219,0.0380381,0.326098,Event_1605749984
6.08952,-2.93878,3.03583,0.860217,Event_1605749984
5.92065,-4.27682,3.11382,-2.24511,Event_1605749984
5.70759,3.95051,0.0384851,-1.96856,Event_1605749984
5.43541,-4.34295,3.1156,-0.806634,Event_1605749984
5.72308,0.749126,0.88327,-2.59207,Event_1605749984
5.59379,-0.787675,2.28775,-1.94452,Event_1605749984
5.19992,-2.58252,2.99071,2.13387,Event_1605749984
5.31147,-1.57661,2.73398,1.11,Event_1605749984
4.8494,4.79991,0.0164607,2.29913,Event_1605749984
4.80822,3.09919,0.0901108,-0.316124,Event_1605749984
4.89892,1.07475,0.657954,1.31453,Event_1605749984
4.52246,4.75277,0.0172551,-2.911,Event_1605749984
3.9513,1.92791,0.288877,-0.455882,Event_1605749984
4.14898,0.142499,1.42878,2.36128,Event_1605749984
3.81293,2.61754,0.145705,2.71558,Event_1605749984
3.89054,0.382589,1.19721,-1.62448,Event_1605749984
3.18833,3.03929,0.0956649,-1.63252,Event_1605749984
58.0664,-0.358483,1.92184,0.918923,Event_27000461
48.2722,-0.450966,2.00721,-1.45055,Event_27000461
43.3672,-0.381298,1.94318,-2.73097,Event_27000461
38.8446,-2.21067,2.92321,-2.68675,Event_27000461
26.0957,-2.09026,2.89553,1.26795,Event_27000461
22.9623,-2.91663,3.03347,0.632956,Event_27000461
17.9842,-1.44785,2.67983,2.18933,Event_27000461
18.056,0.792795,0.849991,0.388745,Event_27000461
16.5403,-1.72323,2.78834,-0.492912,Event_27000461
14.5762,3.11053,0.0890954,0.544857,Event_27000461
11.0411,-4.47967,3.11892,-1.94805,Event_27000461
11.3677,-0.2997,1.86611,2.19736,Event_27000461
9.54435,-1.42468,2.6694,-2.39298,Event_27000461
9.35432,2.78643,0.123126,2.25546,Event_27000461
8.43786,-1.4092,2.66231,0.541611,Event_27000461
8.75996,0.705764,0.91724,-3.12467,Event_27000461
8.16283,-3.12719,3.05397,-2.53818,Event_27000461
8.02926,2.49069,0.165328,-0.216844,Event_27000461
7.19383,1.3931,0.486763,1.99744,Event_27000461
6.95733,-3.13982,3.05507,-0.65949,Event_27000461
6.94474,4.35702,0.0256315,-2.09921,Event_27000461
6.85363,2.0568,0.254344,-2.04961,Event_27000461
6.79466,-4.10722,3.10869,0.551066,Event_27000461
6.65589,0.0207767,1.55002,-0.591677,Event_27000461
5.95116,4.64559,0.0192071,0.249031,Event_27000461
5.43461,2.83049,0.117831,3.07545,Event_27000461
5.49772,1.43703,0.46661,-1.06708,Event_27000461
5.35507,3.60387,0.0544231,-0.446321,Event_27000461
5.19668,0.919654,0.758696,-1.99035,Event_27000461
4.91458,-1.8671,2.83488,-1.4453,Event_27000461
4.86506,4.02529,0.0357127,2.45118,Event_27000461
4.77715,-2.73733,3.01229,2.21354,Event_27000461
4.01996,-4.12621,3.10931,-3.07761,Event_27000461
3.88779,-3.67237,3.09077,2.39155,Event_27000461
4.08492,0.591292,1.01122,1.60885,Event_27000461
3.61339,4.84976,0.0156601,-2.97794,Event_27000461
3.44068,3.40835,0.0661673,-2.34176,Event_27000461
3.48821,-0.892764,2.36422,-0.407853,Event_27000461
3.13396,-4.21184,3.11196,-0.763189,Event_27000461
91.3793,0.342818,1.2345,-0.783608,Event_272621358
60.5998,-1.43313,2.67323,2.00171,Event_272621358
24.9336,-3.24371,3.06359,-1.08407,Event_272621358
22.5857,-3.83721,3.09849,3.05076,Event_272621358
20.8524,-1.2434,2.58003,-1.95091,Event_272621358
16.9651,0.255108,1.31841,0.884601,Event_272621358
14.1585,-4.52506,3.11993,2.47009,Event_272621358
14.5721,-1.07989,2.48677,-3.08745,Event_272621358
13.0034,0.765056,0.871021,-3.08068,Event_272621358
10.9001,-3.26948,3.06558,0.200644,Event_272621358
10.9664,1.93441,0.287033,-3.0223,Event_272621358
11.5186,-0.679922,2.20368,-0.200245,Event_272621358
10.6603,-4.18615,3.11119,1.27578,Event_272621358
11.0552,-0.506535,2.05696,-1.18578,Event_272621358
10.1291,-3.07489,3.04927,1.44275,Event_272621358
10.034,-1.74201,2.79478,0.856722,Event_272621358
9.15232,-3.02883,3.04492,-2.75514,Event_272621358
9.41342,1.32335,0.520412,-1.95586,Event_272621358
9.44686,-0.142045,1.71237,-2.36091,Event_272621358
8.55677,2.12721,0.23722,1.80953,Event_272621358
8.53616,1.29115,0.536645,1.5298,Event_272621358
8.12278,3.31032,0.0729766,-1.15284,Event_272621358
8.01837,3.0804,0.0918173,1.72299,Event_272621358
7.91758,-4.28797,3.11413,-1.90312,Event_272621358
7.82234,3.34837,0.0702541,0.140413,Event_272621358
7.00038,-1.92788,2.85271,-1.18369,Event_272621358
6.72582,-3.20488,3.06051,2.36825,Event_272621358
6.43049,3.24417,0.0779626,-2.83539,Event_272621358
6.50308,1.48502,0.445481,-0.745733,Event_272621358
6.64854,-0.39439,1.95534,2.56189,Event_272621358
6.19313,4.26095,0.0282159,1.48901,Event_272621358
5.85608,-1.9061,2.84644,-0.0660972,Event_272621358
5.78482,-0.493199,2.04514,1.56474,Event_272621358
5.42846,-4.38981,3.11679,-0.858945,Event_272621358
4.98587,0.692612,0.927723,0.0593353,Event_272621358
4.77664,-4.67694,3.12298,0.378742,Event_272621358
4.47926,4.82679,0.0160241,-2.44592,Event_272621358
4.23425,2.59272,0.149355,-0.810857,Event_272621358
3.74895,3.93554,0.0390655,-1.80621,Event_272621358
3.60856,2.49247,0.165035,-2.27068,Event_272621358
3.56894,-2.9967,3.04177,-1.8169,Event_272621358
3.50526,4.40136,0.02452,0.544995,Event_272621358
3.19029,2.83054,0.117826,2.61766,Event_272621358
3.09931,3.85821,0.0422051,2.43393,Event_272621358
89.0909,-1.53201,2.71593,2.81168,Event_272622726
66.1515,0.173508,1.39815,0.00736448,Event_272622726
42.9479,-0.286039,1.85301,-1.07034,Event_272622726
27.3858,0.308991,1.26661,2.9144,Event_272622726
25.3749,-0.458713,2.01422,-2.40299,Event_272622726
18.7103,-3.12676,3.05393,-1.10931,Event_272622726
17.6519,-1.47448,2.69155,-1.59887,Event_272622726
15.4521,-1.67436,2.77103,0.27469,Event_272622726
16.537,0.519779,1.07296,1.21323,Event_272622726
14.8579,1.16738,0.603368,-0.670526,Event_272622726
15.3595,-0.581458,2.12201,2.17525,Event_272622726
14.6377,0.887429,0.781125,-2.31224,Event_272622726
13.8531,1.89157,0.299411,-2.73317,Event_272622726
13.5299,-0.723883,2.23866,0.727516,Event_272622726
12.342,3.81569,0.0440381,2.28041,Event_272622726
11.8831,-2.3082,2.94336,-2.0662,Event_272622726
11.6666,-3.88218,3.10039,0.535332,Event_272622726
11.4512,-2.59245,2.9922,2.64937,Event_272622726
9.80432,2.28204,0.203447,-0.506353,Event_272622726
9.62409,-3.02961,3.045,1.20956,Event_272622726
9.3316,-3.78269,3.09608,3.13822,Event_272622726
9.37327,-1.95058,2.8591,1.45143,Event_272622726
9.45646,1.47457,0.450004,0.336221,Event_272622726
8.13862,2.93695,0.105955,2.98948,Event_272622726
7.65562,4.00892,0.0363022,-0.213024,Event_272622726
7.326,2.03899,0.258866,1.80232,Event_272622726
7.0277,3.0401,0.095587,-1.75401,Event_272622726
6.06141,2.0035,0.268106,-1.5321,Event_272622726
5.91004,-4.33405,3.11537,1.61954,Event_272622726
5.45944,3.24678,0.077759,1.1692,Event_272622726
5.43585,-3.05234,3.04717,0.071496,Event_272622726
5.18768,4.23064,0.029084,-2.8792,Event_272622726
4.91955,-1.21582,2.56517,-0.534444,Event_272622726
4.68543,0.444288,1.14044,-1.35442,Event_272622726
4.39081,-2.03365,2.88136,-1.09095,Event_272622726
4.30127,1.25741,0.554147,2.38162,Event_272622726
4.21339,-3.06469,3.04832,-2.5124,Event_272622726
4.08667,4.40103,0.0245281,1.53817,Event_272622726
4.06454,-3.26074,3.06491,1.96218,Event_272622726
3.93401,-4.58537,3.12119,-1.57479,Event_272622726
3.4739,3.14426,0.0861444,-0.916181,Event_272622726
3.30678,-4.08204,3.10785,-0.523645,Event_272622726
3.0263,2.94546,0.105059,0.268394,Event_272622726
127.784,-0.945057,2.40021,2.69792,Event_272696318
102.739,1.06821,0.661966,-0.605962,Event_272696318
52.577,1.08781,0.650009,0.764806,Event_272696318
43.9015,-0.967064,2.41495,-2.4425,Event_272696318
40.1986,2.52721,0.159424,-1.86685,Event_272696318
41.3909,-0.217314,1.78642,1.86509,Event_272696318
36.9733,0.00877766,1.56202,-1.24267,Event_272696318
31.7557,3.3372,0.0710431,-0.0695531,Event_272696318
33.0369,-0.208072,1.77738,-0.0428523,Event_272696318
26.9387,-4.79083,3.12498,-2.78858,Event_272696318
26.2647,-2.49113,2.97634,-2.10207,Event_272696318
25.966,-1.06938,2.48035,-0.60962,Event_272696318
23.8602,-3.22611,3.06221,0.70895,Event_272696318
26.743,0.151229,1.42014,-2.71865,Event_272696318
22.5171,2.0886,0.246466,0.259224,Event_272696318
23.3222,-1.1338,2.51891,0.99331,Event_272696318
19.2662,-3.48382,3.08023,-2.64475,Event_272696318
19.2545,1.29325,0.535574,-2.2082,Event_272696318
17.7769,3.6482,0.0520639,-1.99226,Event_272696318
17.1157,-2.19199,2.91913,2.75541,Event_272696318
16.8384,1.3546,0.505082,2.05813,Event_272696318
16.0005,2.82457,0.118529,1.18497,Event_272696318
14.2464,-3.05745,3.04765,1.9998,Event_272696318
13.5641,4.1327,0.0320762,1.09324,Event_272696318
13.5655,-1.38292,2.65004,-1.5619,Event_272696318
13.1625,-2.23901,2.92927,0.518526,Event_272696318
13.1789,-1.62241,2.75176,1.82957,Event_272696318
12.7455,-3.14195,3.05525,-0.828528,Event_272696318
12.3316,-4.32108,3.11502,1.53143,Event_272696318
12.1955,-4.15139,3.11011,0.188107,Event_272696318
12.144,2.47177,0.168471,2.63552,Event_272696318
12.014,-4.23344,3.11259,-0.933046,Event_272696318
11.2633,0.0150336,1.55576,0.875257,Event_272696318
9.42131,4.41038,0.0243,2.35485,Event_272696318
9.27841,3.13952,0.0865533,-2.88423,Event_272696318
9.1538,4.2735,0.0278639,0.0384683,Event_272696318
9.02934,-4.01972,3.10568,2.69918,Event_272696318
8.78586,1.59524,0.400286,-3.00378,Event_272696318
7.468,3.20687,0.0809217,1.93625,Event_272696318
7.46479,4.43558,0.0236954,-2.83877,Event_272696318
6.55269,-3.97162,3.10391,-1.90277,Event_272696318
5.48782,3.09164,0.0907924,-1.01362,Event_272696318
5.19429,4.40377,0.0244609,-1.05541,Event_272696318
4.51673,0.613135,0.99282,2.66351,Event_272696318
3.97602,-2.23835,2.92913,-0.937649,Event_272696318
3.69591,-4.95747,3.12753,2.51076,Event_272696318
3.4828,4.97783,0.0137778,1.27787,Event_272696318
3.1141,-5.02841,3.12849,-1.6136,Event_272696318
3.12577,1.82505,0.31967,1.47723,Event_272696318
