et,eta,theta,phi
85.6923,1.53451,0.424623,2.6333
72.2351,-0.908552,2.37523,-0.565562
71.848,0.741668,0.889048,1.97802
57.8803,0.0434225,1.52739,-1.56266
39.9165,2.64518,0.141747,2.5675
37.5747,1.55511,0.416216,-1.75544
34.4847,3.10674,0.0894332,1.18731
34.055,3.40865,0.0661475,-2.82939
33.7358,1.47286,0.450749,0.325648
27.1447,1.82685,0.319104,1.41075
26.0984,2.25776,0.208412,-0.526968
25.5242,0.898613,0.773282,-0.71823
20.9536,-3.55672,3.08454,2.04318
18.3719,2.87432,0.112789,0.129962
18.3733,-3.0628,3.04815,0.146272
18.1154,2.37519,0.18546,-2.39641
19.4181,0.201639,1.37051,0.373289
17.0218,4.21035,0.0296803,-0.806276
18.326,-0.345614,1.90973,-2.97196
16.6369,3.96325,0.0379981,2.41979
16.3896,-2.5614,2.98751,-2.47397
15.3138,3.11397,0.0887899,-1.10433
15.6725,0.741363,0.889285,-2.34494
15.1012,-1.60829,2.74636,2.74187
14.6653,4.22194,0.0293382,1.34547
13.1919,-4.05849,3.10705,-2.99705
13.1227,-2.0708,2.89075,1.30055
12.6268,4.47366,0.02281,-2.42767
12.1968,-1.85041,2.8298,-0.519799
12.2639,-1.26829,2.59314,0.607568
12.9293,-0.534234,2.08129,1.83866
11.5355,-3.18975,3.05928,-0.914794
10.3013,-2.96045,3.03809,1.39605
10.1615,-4.39024,3.1168,-0.00575167
10.3167,0.719255,0.906573,1.06252
9.53918,-4.11611,3.10898,-1.68402
9.16442,3.69651,0.0496099,-0.11559
6.48011,2.58098,0.151112,-1.69781
5.81383,-1.46036,2.68537,-2.57862
5.62877,-4.73439,3.12402,1.31319
5.43644,-1.10059,2.49928,-1.49723
4.99643,-2.80875,3.02118,2.94285
5.03626,1.25363,0.556143,-2.86044
4.72752,-2.17165,2.91459,-1.67722
4.42054,4.66707,0.018799,2.94877
4.41548,-4.64734,3.12242,-0.990113
4.32453,-4.85136,3.12596,-2.55715
4.24506,3.74425,0.0472978,-1.811
3.33366,-0.41771,1.97686,1.00561
