energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
34.5123,-0.404606,1.32066,0.087805,0.0635267,1.86808,undefined,0.0103261,0.0397816,34.7054,0
19.9648,-0.48902,-1.28658,-0.48332,-0.344309,-1.93402,undefined,0.0097106,0.035557,19.7576,0
11.1562,-1.0168,-0.919892,0.966306,0.656543,-2.40619,undefined,0.0107859,0.0303926,10.9665,0
12.7397,1.30768,0.315783,1.96998,1.17484,0.236947,undefined,0.0157542,0.0698355,12.05,0
4.55016,-0.60769,1.21859,-0.0166062,-0.0121948,2.03339,undefined,0.0212867,0.0553678,4.59237,0
4.03331,1.0386,0.844616,1.86572,1.13431,0.682753,undefined,0.0158052,0.0445052,3.79444,0
1.91786,-1.28611,-0.453062,0.280878,0.204556,-2.80289,undefined,0.00273439,0.0063262,1.9344,0
12.6749,1.11139,0.751829,2.04736,1.209,0.594764,undefined,0.0119184,0.0520315,11.8542,0
