path,slot,moduleLabel,moduleType,VID,KEY,id,pt,eta,phi,mass
HLT_FatDiPFJetMass750_DR1p1_Deta1p5_v9,7,hltL1sL1HTT150OrHTT175OrHTT200,HLTLevel1GTSeed,-89,127,-89,158.5,0,0,0
HLT_DiJet80_DiJet60_DiJet20_v5,7,hltL1sL1QuadJetC32ORL1QuadJetC36ORQuadJetC40,HLTLevel1GTSeed,-84,118,0,76,-0.5215,-2.0944,0
HLT_DiJet80_DiJet60_DiJet20_v5,7,hltL1sL1QuadJetC32ORL1QuadJetC36ORQuadJetC40,HLTLevel1GTSeed,-84,119,0,36,1.218,0.698132,0
HLT_DiJet80_DiJet60_DiJet20_v5,7,hltL1sL1QuadJetC32ORL1QuadJetC36ORQuadJetC40,HLTLevel1GTSeed,-86,122,0,96,0.174,1.74533,0
HLT_DiJet80_DiJet60_DiJet20_v5,7,hltL1sL1QuadJetC32ORL1QuadJetC36ORQuadJetC40,HLTLevel1GTSeed,-86,123,0,40,-2.586,-0.349066,0
HLT_DiJet80_DiJet60_DiJet20_v5,21,hltDiCenJet80L1FastJet,HLT1CaloJet,85,23,0,91.4989,0.0500169,1.88334,9.45368
HLT_Jet60Eta1p7_Jet53Eta1p7_DiBTagIP3DFastPV_v7,7,hltL1sL1DoubleJetC44Eta1p74WdEta4,HLTLevel1GTSeed,-84,118,0,76,-0.5215,-2.0944,0
HLT_Jet60Eta1p7_Jet53Eta1p7_DiBTagIP3DFastPV_v7,7,hltL1sL1DoubleJetC44Eta1p74WdEta4,HLTLevel1GTSeed,-86,122,0,96,0.174,1.74533,0
HLT_Jet60Eta1p7_Jet53Eta1p7_DiBTagIP3DFastPV_v7,21,hltSingleBJet60Eta1p7L1FastJet,HLT1CaloJet,86,23,0,91.4989,0.0500169,1.88334,9.45368
HLT_Jet60Eta1p7_Jet53Eta1p7_DiBTagIP3DFastPV_v7,21,hltSingleBJet60Eta1p7L1FastJet,HLT1CaloJet,86,24,0,74.355,-0.360726,-1.95915,9.33103
HLT_Jet60Eta1p7_Jet53Eta1p7_DiBTagIP3DFastPV_v7,22,hltDoubleBJet53Eta1p7L1FastJet,HLT1CaloJet,86,23,0,91.4989,0.0500169,1.88334,9.45368
HLT_Jet60Eta1p7_Jet53Eta1p7_DiBTagIP3DFastPV_v7,22,hltDoubleBJet53Eta1p7L1FastJet,HLT1CaloJet,86,24,0,74.355,-0.360726,-1.95915,9.33103
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v7,7,hltL1sL1DoubleJetC56Eta1p74WdEta4,HLTLevel1GTSeed,-84,118,0,76,-0.5215,-2.0944,0
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v7,7,hltL1sL1DoubleJetC56Eta1p74WdEta4,HLTLevel1GTSeed,-86,122,0,96,0.174,1.74533,0
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v7,21,hltSingleBJet80Eta1p7L1FastJet,HLT1CaloJet,86,23,0,91.4989,0.0500169,1.88334,9.45368
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v7,22,hltDoubleBJet70Eta1p7L1FastJet,HLT1CaloJet,86,23,0,91.4989,0.0500169,1.88334,9.45368
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v7,22,hltDoubleBJet70Eta1p7L1FastJet,HLT1CaloJet,86,24,0,74.355,-0.360726,-1.95915,9.33103
HLT_QuadJet50_v5,7,hltL1sL1QuadJetC32ORL1QuadJetC36ORQuadJetC40ORL1HTT125ORL1HTT150ORL1HTT175ORL1DoubleJetC52ORL1DoubleJetC56ORL1DoubleJetC64,HLTLevel1GTSeed,-84,118,0,76,-0.5215,-2.0944,0
HLT_QuadJet50_v5,7,hltL1sL1QuadJetC32ORL1QuadJetC36ORQuadJetC40ORL1HTT125ORL1HTT150ORL1HTT175ORL1DoubleJetC52ORL1DoubleJetC56ORL1DoubleJetC64,HLTLevel1GTSeed,-84,119,0,36,1.218,0.698132,0
HLT_QuadJet50_v5,7,hltL1sL1QuadJetC32ORL1QuadJetC36ORQuadJetC40ORL1HTT125ORL1HTT150ORL1HTT175ORL1DoubleJetC52ORL1DoubleJetC56ORL1DoubleJetC64,HLTLevel1GTSeed,-86,122,0,96,0.174,1.74533,0
HLT_QuadJet50_v5,7,hltL1sL1QuadJetC32ORL1QuadJetC36ORQuadJetC40ORL1HTT125ORL1HTT150ORL1HTT175ORL1DoubleJetC52ORL1DoubleJetC56ORL1DoubleJetC64,HLTLevel1GTSeed,-86,123,0,40,-2.586,-0.349066,0
HLT_QuadJet50_v5,7,hltL1sL1QuadJetC32ORL1QuadJetC36ORQuadJetC40ORL1HTT125ORL1HTT150ORL1HTT175ORL1DoubleJetC52ORL1DoubleJetC56ORL1DoubleJetC64,HLTLevel1GTSeed,-89,127,-89,158.5,0,0,0
HLT_QuadJet50_v5,21,hltQuadCenJet50L1FastJet,HLT1CaloJet,85,23,0,91.4989,0.0500169,1.88334,9.45368
