et,eta,theta,phi
129.603,-1.23788,2.57708,-2.68464
117.767,0.818093,0.831145,0.749936
50.2673,-1.65861,2.76529,1.10952
39.5726,-1.2326,2.57425,-0.705787
37.1869,3.02541,0.0969998,-0.825027
34.8472,2.0235,0.26286,-2.76021
28.1055,1.01973,0.692334,2.861
26.4249,4.00829,0.0363249,-0.0612548
21.3689,-0.570991,2.11307,1.33808
18.5612,1.73505,0.349189,-1.84812
18.3794,2.11495,0.240117,0.250453
16.9409,0.0626283,1.50821,-1.20676
15.4782,-3.1739,3.05796,-1.94143
15.803,-0.161037,1.73114,2.57244
12.8112,-3.8474,3.09893,-0.0350878
12.6697,-3.00064,3.04216,-3.034
12.5233,-4.19153,3.11135,2.90439
12.0279,-2.87708,3.02911,0.582462
11.7639,-4.11863,3.10906,-1.44836
10.8746,1.84829,0.312445,1.98309
9.88111,-3.07348,3.04914,-0.850642
9.49978,-3.10812,3.05228,2.21298
9.84774,-0.981106,2.42423,0.365534
9.30367,2.79381,0.122222,1.09941
8.67227,4.07837,0.0338667,-1.32686
8.18799,3.15959,0.0848355,2.14022
8.13793,1.08116,0.654044,-0.503965
8.03442,-1.33893,2.62888,2.3948
8.11417,-0.881183,2.35606,-1.77876
7.63482,3.12569,0.0877565,-2.50541
7.2192,-2.04487,2.88423,-1.55521
6.81935,-4.22672,3.11239,1.19462
6.06985,-2.20942,2.92294,2.71927
6.14337,0.628757,0.979792,-2.36896
5.80535,2.90688,0.109183,0.257386
5.67303,-4.45062,3.11825,-2.38885
5.38044,1.98004,0.274392,-0.665564
5.30937,-2.75773,3.01489,1.42842
5.17714,4.34923,0.0258321,-2.38061
5.18775,1.85121,0.311549,2.74953
5.41485,0.0294311,1.54137,0.546497
4.85001,4.56311,0.0208585,0.910215
4.78632,-4.23559,3.11265,2.00122
4.54194,0.688343,0.931144,1.93441
3.52301,3.10917,0.0892168,2.9382
