energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
209.808,-0.18219,1.38236,0.606139,0.422078,1.70184,undefined,0.0159868,0.0475328,207.609,0
38.7873,-1.11206,-0.810126,-0.174153,-0.126242,-2.512,undefined,0.0179857,0.0690028,38.4239,0
24.0891,-1.15857,-0.762875,-0.299534,-0.214286,-2.55929,undefined,0.0198376,0.0252864,24.0344,0
25.6298,1.32467,0.351945,1.08679,0.727127,0.259687,undefined,0.0125651,0.0463117,25.6866,0
9.91252,-0.194549,1.3493,0.526026,0.376876,1.71399,undefined,0.00927454,0.0684779,9.71373,0
9.37895,0.789943,-1.11131,0.421015,0.304078,-0.952843,undefined,0.0175387,0.0775518,9.13809,0
9.35182,1.30002,0.391236,1.22376,0.809907,0.292324,undefined,0.0196317,0.0612963,9.09067,0
4.08605,-1.24543,-0.553618,0.109935,0.0805733,-2.72331,undefined,0.0128506,0.0355244,4.10146,0
4.19295,-0.273887,1.32171,0.702546,0.499458,1.77513,undefined,0.012464,0.064702,4.14642,0
4.68271,-0.974951,0.946178,1.40322,0.904411,2.37117,undefined,0.0181287,0.0286202,4.694,0
3.22186,1.15473,0.726924,-0.0446049,-0.032684,0.561842,undefined,0.0102784,0.00891062,3.26219,0
3.14073,-1.12461,-0.770032,-0.0707585,-0.0518917,-2.5412,undefined,0.0162918,0.0306674,3.15679,0
2.54589,1.06628,-0.85403,-0.187109,-0.136537,-0.675314,undefined,0.0118542,0.0162867,2.58544,0
4.71887,-1.07009,-0.814075,-2.41202,-1.34749,-2.49124,undefined,0.0151057,0.0280681,4.64374,0
1.77357,1.35346,0.137335,0.172047,0.126133,0.101123,undefined,0.012097,0.00854171,1.76744,0
1.69191,-1.33781,-0.257861,-0.308247,-0.22436,-2.95118,undefined,0.0093974,0.0115442,1.70186,0
1.47457,0.979481,-0.950089,0.592805,0.421806,-0.770167,undefined,0.0122576,0.00773778,1.46956,0
78.7561,0.846615,-1.08534,0.344551,0.247768,-0.908343,undefined,0.015713,0.0804546,78.4511,0
