pt,charge,pos_x,pos_y,pos_z,phi,eta,calo_energy
2.48801,-1,0.000712657,0.000604619,-0.00194345,1.0862,-1.57228,0
29.779,1,0.000709203,0.000599783,0.0628601,-2.90907,-0.118121,0
