energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
72.8843,-0.619294,1.23321,-1.48452,-0.933943,2.03619,undefined,0.0197052,0.0672066,72.1071,0
41.3942,0.971164,-0.967529,-0.117386,-0.0855246,-0.783523,undefined,0.0206858,0.0953455,41.1492,0
28.3269,-0.601186,1.21293,-1.349,-0.878892,2.03096,undefined,0.0158324,0.0958337,27.7507,0
18.9537,1.04684,-0.862578,0.826212,0.576616,-0.689193,undefined,0.0157165,0.0878508,18.6828,0
14.056,0.986584,-0.941607,-0.0140934,-0.0103337,-0.762076,undefined,0.0171919,0.094977,13.9265,0
16.873,1.02072,-0.901949,1.00665,0.684346,-0.723701,undefined,0.018547,0.074957,16.5542,0
14.7742,-0.596198,1.23248,-1.60541,-0.998309,2.02135,undefined,0.0220444,0.0491426,14.3997,0
10.9036,1.15475,-0.719958,1.16113,0.773724,-0.5575,undefined,0.0160975,0.0360279,10.6159,0
12.8548,-0.587036,1.21569,-1.83196,-1.11273,2.02066,undefined,0.0113314,0.0208971,12.5107,0
7.10421,-1.2725,0.507546,0.0561679,0.0409875,2.76207,undefined,0.0144798,0.0333669,6.98326,0
6.05805,0.919234,-1.00957,0.0479254,0.0350936,-0.832199,undefined,0.00961878,0.0449367,5.87124,0
7.24639,1.07122,-0.819892,0.891417,0.620264,-0.653272,undefined,0.0128285,0.130561,6.98458,0
7.15599,0.47596,-1.26776,1.28886,0.84686,-1.21164,undefined,0.0133054,0.0432132,6.94048,0
5.247,-0.483556,1.26915,-0.964017,-0.660678,1.93482,undefined,0.0171409,0.0380281,5.281,0
4.51525,-0.794286,1.10989,-1.2864,-0.840154,2.19194,undefined,0.0131027,0.0671614,4.49108,0
3.45701,1.26102,-0.513199,0.992922,0.676517,-0.386503,undefined,0.0126774,0.0145736,3.49223,0
3.05414,1.06136,-0.848871,0.680631,0.481933,-0.674615,undefined,0.0157037,0.0157155,3.06243,0
5.19478,0.737623,1.12406,2.48401,1.37332,0.990064,undefined,0.018002,0.0342404,5.02524,0
2.56111,0.971566,-0.965447,0.545437,0.388384,-0.782239,undefined,0.0133056,0.0133487,2.54137,0
2.12655,1.02301,-0.900817,-0.195275,-0.142773,-0.721969,undefined,0.00802475,0.00753377,2.12673,0
2.04892,0.363639,-1.31484,-1.48764,-0.943933,-1.30098,undefined,0.013574,0.00406129,2.04593,0
1.82198,0.99522,-0.910614,1.42917,0.922804,-0.741034,undefined,0.0066992,0.00194047,1.83949,0
1.19459,-0.672016,-1.18145,-0.0895724,-0.065853,-2.08796,undefined,0.00193067,0.00257707,1.2135,0
1.47687,1.2157,-0.584723,-1.39502,-0.905286,-0.448315,undefined,0.00277204,0.00188315,1.49356,0
