et,eta,theta,phi
111.813,0.496265,1.09373,2.57167
82.8777,0.0758425,1.49503,-0.675934
41.9178,-1.81254,2.81797,-1.57132
36.345,-1.51443,2.70862,-0.163703
30.5506,-0.0962461,1.66689,1.80422
23.1008,1.62296,0.389622,2.63571
23.3223,1.15924,0.608002,-1.5667
21.6416,-1.85486,2.83116,1.10842
20.997,-1.04994,2.46832,-2.99622
19.592,-2.71203,3.00898,1.79871
17.2105,-2.77473,3.01702,-2.70833
15.9962,1.37807,0.493841,0.51841
15.9495,1.25966,0.552966,1.49208
14.5521,-4.02798,3.10598,-0.290336
14.3236,1.99578,0.270159,-2.46866
12.8838,3.07041,0.0927376,-0.557558
12.2081,-3.36051,3.07219,0.706678
12.9368,0.272328,1.30177,0.658245
11.992,3.61399,0.0538752,1.2012
11.65,-0.750249,2.25919,-1.26545
10.8901,2.30346,0.199163,1.41069
10.5105,3.96463,0.0379454,-0.0128669
10.4844,-4.20029,3.11161,1.44489
10.468,-3.98652,3.10447,2.84648
10.0645,-2.87103,3.02843,-1.63891
9.93702,-3.71786,3.09303,-2.50147
9.7549,2.53053,0.158899,-1.27758
10.0744,-0.828027,2.31776,0.770698
9.08222,3.86671,0.0418481,-2.64783
8.29766,0.87692,0.788552,-2.73155
7.90635,3.97106,0.0377025,-1.41799
7.90142,-4.1632,3.11048,-1.39865
8.07728,-1.30281,2.61088,2.15307
6.48139,-2.7455,3.01334,-0.559782
6.32753,1.93009,0.288258,-0.24736
6.09237,2.56436,0.153634,0.364446
5.01861,-0.938573,2.39582,-2.09815
4.79669,3.0838,0.0915061,-2.0019
4.60295,4.01592,0.0360489,2.35951
4.38892,-2.82273,3.02285,2.68738
4.5924,-0.159882,1.73,-2.86364
4.30211,2.74591,0.128203,2.432
4.45036,0.230536,1.34228,-1.79439
4.01731,-1.9292,2.85308,-2.83315
3.8573,-4.94351,3.12733,-2.88703
3.78758,4.75119,0.0172823,-0.458845
3.78399,-1.85893,2.8324,-0.83112
3.43819,-4.87887,3.12638,-0.476674
3.12461,-4.81945,3.12545,0.677989
