pt,charge,rp_x,rp_y,rp_z,phi,eta,calo_energy
23.5503,1,0.000716876,0.000506227,0.0321855,0.0174864,0.361309,0
4.76702,1,0.000726643,0.00062105,0.0326852,-0.50844,0.464696,0
