et,eta,theta,phi
99.4307,-0.0557092,1.62648,-1.08946
78.7339,-0.35516,1.91872,2.28089
74.1687,-2.16891,2.91398,0.872798
41.8664,-1.06014,2.47465,-2.35174
33.5697,0.934034,0.748855,1.56192
29.4573,1.53912,0.422732,-0.298561
25.2276,3.09632,0.0903694,1.73895
24.6045,-1.97062,2.86463,2.84278
23.8736,3.25864,0.0768434,2.79767
21.3618,2.16138,0.229323,2.5343
21.516,-1.5141,2.70848,1.56027
20.4449,1.34361,0.510425,-2.27779
21.1623,0.0196126,1.55118,-0.0982466
18.7565,-3.07521,3.0493,3.00355
18.1363,-3.12553,3.05382,1.69639
17.2266,-2.93641,3.03558,-0.568289
17.1435,2.78805,0.122927,-0.000975389
16.8355,3.07293,0.092505,-1.53245
16.3231,-3.81575,3.09756,-1.36726
15.3698,-2.613,2.99523,-1.43795
13.809,-1.74027,2.79418,-0.293022
12.6184,-3.50758,3.08167,0.521283
11.5734,-4.35504,3.11591,1.18572
11.4083,2.51597,0.161218,-2.42775
12.0536,0.0824942,1.4884,-2.87265
11.1881,1.19413,0.588356,3.08179
10.7271,1.09284,0.646972,0.510932
9.97624,-4.10869,3.10874,2.60133
9.82291,4.32059,0.0265825,0.681107
9.75563,-1.22799,2.57177,-1.26805
9.1907,4.20568,0.0298192,-2.21086
9.19157,2.28938,0.201969,-0.976533
8.9965,-4.2312,3.11252,-0.16961
8.88758,3.96194,0.0380476,-1.06624
9.0222,-1.16788,2.53851,0.712007
8.45354,2.17793,0.22559,0.942724
8.28342,-4.18139,3.11104,-2.54028
7.08687,-1.99242,2.87053,-2.37111
5.84622,-0.200913,1.77037,1.27144
5.4527,4.52541,0.0216596,2.78735
5.05919,0.735158,0.894113,2.41953
4.59452,0.754871,0.878838,-0.906891
3.77284,-3.11545,3.05293,-2.27073
3.76336,4.38376,0.0249554,-0.141303
3.78833,-0.848201,2.33246,2.91997
3.15127,3.98293,0.0372578,1.79201
3.1397,-4.77725,3.12475,-1.11079
3.0529,-2.33688,2.94893,2.06507
