pos_1_x,pos_1_y,pos_1_z,dir_1_x,dir_1_y,dir_1_z,pos_2_x,pos_2_y,pos_2_z,dir_2_x,dir_2_y,dir_2_z
0.000691373,0.000752821,-0.0224082,-0.923509,-0.0674685,2.13973,-0.746133,-0.973929,3.16813,0.14894,-0.830793,1.97277
0.00067195,0.000790055,-0.0410835,-0.9692,-0.169456,0.141287,-0.997328,0.794689,0.169757,-0.0416344,0.956979,0.140104
0.000691826,0.00068597,0.073083,-1.76362,-0.686679,0.161189,-0.916241,-0.88696,0.182439,-0.732403,-1.72211,0.155961
0.000700017,0.000646297,0.00531011,-1.29413,-0.985428,-2.03395,-0.556091,-1.14758,-1.64928,0.0303126,-1.57552,-1.9712
0.000650372,0.000706698,0.0729898,-1.39841,-1.24251,-2.45566,-1.20913,-0.405221,-1.63971,-1.83731,0.141651,-2.40801
0.000593545,0.000787784,0.0731062,-0.657838,-0.516848,-0.569564,0.318141,-1.2349,-1.02533,0.760149,-0.109235,-0.52549
0.000728837,0.000621904,0.00539526,-0.924633,-1.14656,-2.14473,-1.18556,-0.469717,-1.92282,-1.43037,0.194418,-2.08917
0.000629413,0.000711528,0.0733367,-0.532468,-0.597479,1.48374,0.565391,-1.14303,3.14598,0.672672,0.0563076,1.30619
0.000669343,0.000670687,0.00558167,-1.34411,-1.61726,-2.91124,-0.42493,-1.20234,-1.80082,0.0255604,-2.07106,-2.87562
0.000710608,0.000637919,-0.041068,-0.997019,-1.73609,3.07412,-0.991727,-0.801673,1.94328,-1.88111,-0.602215,2.99163
0.000676666,0.000656229,0.0730663,-0.408378,-0.82676,1.80833,-1.25689,-0.215446,3.0675,-0.576797,0.570371,1.66643
0.000561981,0.000698664,0.0811672,-0.298126,-0.748904,0.701283,-1.27484,-0.0308091,1.50047,-0.312088,0.705653,0.680603
0.000653615,0.000664171,0.0301004,-0.533817,-1.24109,3.54662,0.109288,-1.13949,3.16813,0.696495,-1.04476,3.31774
0.000903345,0.000581553,0.0131867,-0.424639,-1.38545,-0.987403,0.292258,-1.24128,-0.897233,0.983077,-1.03055,-0.970845
0.000831823,0.000644023,0.0731242,0.0338046,-0.991324,0.0485994,-0.917752,-0.885396,0.138109,-0.963279,0.0789106,0.0425675
0.000551256,0.000599269,0.0731886,0.2547,-0.995011,-0.520278,1.10672,-0.633522,-0.650995,0.950481,0.283587,-0.506874
0.000618598,0.000622256,-0.00582951,0.217795,-0.832266,-0.174955,1.2237,-0.358805,-0.307512,0.603285,0.574824,-0.163296
0.00083736,0.000699864,-0.0408657,0.774787,-2.00223,-4.12983,0.836563,-0.96247,-2.53159,1.84267,-1.05057,-4.06709
0.000235588,0.000393846,0.0729421,0.650473,-1.25359,0.581176,-0.0875024,-1.27221,0.621601,-0.800409,-1.12175,0.562378
0.00069073,0.000639474,-0.0218856,0.487047,-0.806981,-0.469557,-0.45128,-1.1927,-0.773911,-0.867988,-0.259392,-0.467682
0.000713654,0.000642357,0.073093,0.475237,-0.739622,-0.160617,-0.537329,-1.15648,-0.216575,-0.845621,-0.101445,-0.164124
0.000642821,0.000597643,0.0729738,1.1241,-1.78202,-0.0854204,0.26246,-1.24792,0.0185698,-0.311646,-2.06264,-0.0880824
0.00074945,0.000676618,0.0906059,0.711035,-0.713136,-1.13923,-0.0496855,-1.27425,-1.54622,-0.739534,-0.622588,-1.1098
0.00114723,0.00111168,0.0694348,0.674007,-0.625876,-2.59947,0.113671,-1.02903,-3.16813,-0.456184,-0.674524,-2.36653
0.000713434,0.00066221,-0.041071,0.719842,-0.704439,0.714005,1.27306,0.0741968,0.998119,0.589583,0.750899,0.697995
0.000708309,0.000637257,0.073133,2.69869,-1.52487,6.12785,0.934716,-0.867471,2.61261,1.71648,-2.55408,6.0763
0.000802111,0.000833069,0.0730002,1.00687,-0.481262,-3.04906,0.557989,-0.963219,-3.16813,-0.0656883,-1.0328,-2.8624
0.000708238,0.000636258,0.0731677,8.63729,-3.70926,15.5632,1.20725,-0.410801,2.18535,9.04883,-2.33226,15.4685
0.000699506,0.000656357,-0.0410861,2.23246,-0.479616,6.3258,0.999669,-0.542797,3.16813,1.5403,-1.52696,6.0551
0.000693381,0.000615944,-0.00924133,0.800663,-0.208974,-0.160676,0.823917,0.973315,-0.330958,-0.339381,0.714788,-0.162155
0.000717173,0.000690341,0.0302137,0.990725,-0.248488,-0.571652,1.08045,0.67736,-0.763751,0.196019,0.974301,-0.555136
0.000691944,0.000572821,0.0301427,1.35958,-0.257391,-0.255326,1.18749,0.464805,-0.219373,0.806718,1.09445,-0.252819
0.000717182,0.0007307,0.0731732,0.75294,-0.0613226,0.53227,-0.00917739,-1.27518,1.46009,-0.708414,-0.019815,0.51353
0.000700556,0.000601218,0.0301682,1.21655,-0.133946,-0.322173,1.09775,0.648951,-0.330584,0.453092,1.10776,-0.31602
0.000701307,0.000668499,-0.00917212,1.71198,-0.0413096,-0.140513,1.13952,-0.572436,-0.117285,1.03549,-1.33394,-0.138736
0.000705721,0.000555304,0.0302082,2.91097,0.0218901,9.66657,0.925844,-0.163097,3.16813,2.6688,-0.980709,9.45318
0.000696804,0.000702889,0.0728911,1.46051,0.300129,0.752706,0.961638,0.83752,0.750364,0.47974,1.37438,0.741596
0.000762775,0.000455175,0.00450868,2.30673,0.743014,-7.5177,1.00643,0.0755171,-3.16813,2.30292,-0.364244,-7.28952
0.000569241,0.000924831,-0.00477703,1.73091,0.813449,-6.97966,0.657927,0.548485,-3.16813,1.09071,1.49947,-6.79151
0.000783767,0.000493713,0.0301584,1.36817,0.725583,5.20039,0.615958,0.666383,3.16813,0.588344,1.33998,4.98616
0.000741434,0.000572027,-0.0752952,0.872738,0.556044,1.01233,1.24257,-0.286721,1.30326,0.523829,-0.855727,0.976438
0.000645322,0.00071764,0.00533589,1.05736,0.810758,-2.47182,1.27114,0.101997,-2.48166,1.15108,-0.612763,-2.41847
0.000710385,0.000634031,0.00558909,2.40734,2.0973,-11.9595,0.712849,0.456901,-3.16813,2.85513,1.29431,-11.7245
0.000714002,0.000631084,0.00508683,4.07061,3.90828,-21.8975,0.542164,0.611149,-3.16813,3.35553,4.4425,-21.6421
0.000713422,0.000633982,0.00516879,5.75881,6.88909,-33.7408,0.575759,0.61861,-3.16813,6.35441,6.16257,-33.2621
0.000657516,0.000678718,0.013056,0.984526,1.25476,-1.32703,1.15888,0.53215,-1.08791,1.56785,-0.0678123,-1.30761
0.000760672,0.000592614,0.00541509,0.810686,0.93406,-2.37275,0.112822,1.27022,-2.61118,-0.610336,1.03981,-2.33326
0.000700689,0.000644556,0.00528868,8.25631,10.5363,-49.9102,0.501133,0.688587,-3.16813,7.50876,11.0997,-49.9809
0.000590082,0.000684974,0.0302381,0.378049,1.01142,1.97271,1.13377,0.583744,2.5869,1.01422,-0.265076,1.93499
0.000693647,0.00064709,0.0302644,0.423412,0.953983,1.39489,-0.444366,1.19529,1.90271,-0.918186,0.429951,1.34763
0.000761187,0.000622725,0.0302073,1.06669,3.1001,4.25507,0.6729,1.08323,1.69885,2.27911,2.31082,4.21684
0.000643637,0.000664614,0.0300473,0.305531,0.830554,0.999602,-0.747953,1.03283,1.70236,-0.841399,-0.0403281,0.927948
