et,eta,theta,phi
179.508,0.160611,1.41087,-2.07891
135.452,-2.90837,3.03257,0.816353
51.7767,2.29503,0.200838,-2.02251
29.1516,-3.1423,3.05528,-1.23914
30.6812,-0.304678,1.87087,2.34826
25.2631,-1.74376,2.79537,2.09717
25.6516,-1.03355,2.45803,-2.79728
25.4412,-1.00574,2.44028,0.218377
25.1177,1.36319,0.500939,0.0534191
23.3692,3.02421,0.0971163,-0.186809
23.5216,-1.94318,2.85703,-1.19555
24.884,-0.617148,2.15213,-1.04795
22.1989,-3.90577,3.10135,2.09388
23.6986,0.118476,1.4526,0.88213
21.3276,0.614357,0.991797,2.99749
19.2109,2.77277,0.124815,2.70592
19.3144,-2.01602,2.87678,0.879313
18.5351,-3.00625,3.04272,3.10613
18.4563,3.90715,0.0401901,0.475209
18.1175,4.10686,0.0329157,2.52961
17.8994,2.53254,0.158581,1.21168
17.6327,3.22217,0.0796943,-2.55453
17.782,0.468058,1.11895,-0.519301
15.8,-2.84841,3.02585,1.82587
16.0571,1.23897,0.563929,-1.63463
15.2298,-3.28055,3.06641,-0.268966
14.9569,-3.38623,3.07395,-2.39242
14.9572,0.742926,0.888071,1.87905
14.08,4.13148,0.0321154,-1.39376
13.739,-4.52286,3.11988,0.969638
12.8676,-0.921175,2.38394,1.29658
12.1251,3.05058,0.0945919,-1.28523
10.9203,-4.38072,3.11656,-2.86593
10.91,1.71177,0.357243,2.57753
10.5365,-4.31535,3.11487,-1.57499
9.9412,4.42728,0.0238928,-2.52929
9.61014,3.44324,0.0638999,1.6671
9.48063,-2.13499,2.90619,-2.37506
8.57827,-2.04527,2.88433,-0.19454
7.21816,1.28967,0.537406,-2.5755
6.65316,-2.00396,2.87361,2.74345
6.36867,4.12943,0.0321814,-0.519348
6.4204,1.06009,0.666972,1.05023
5.55843,-0.998565,2.43564,-1.85049
5.29698,1.77802,0.334784,0.811526
4.90783,2.07103,0.25079,-2.84802
3.73207,4.96761,0.0139193,-0.849714
3.176,2.21432,0.217592,-0.913373
3.00265,4.61517,0.0198003,1.13248
