isValid,isFake,pos_x,pos_y,pos_z,xError,yError,zError,chi2,ndof
1,0,0.000654754,0.000587061,-0.0923309,1.64994e-05,9.41161e-06,1.23619e-05,99.9966,143.769
1,0,0.000722188,0.00059196,0.0171556,2.03283e-05,2.41354e-05,2.46746e-05,103.787,135.656
1,0,0.000685935,0.000591468,-0.00774023,2.18005e-05,2.47618e-05,2.66285e-05,57.0222,79.4088
1,0,0.00069021,0.000542577,0.020268,3.00844e-05,2.84474e-05,3.92383e-05,45.3291,78.2574
1,0,0.000664356,0.000532712,0.00551272,3.32009e-05,2.63244e-05,2.80469e-05,15.7782,30.5097
1,0,0.000634555,0.000606807,-0.0201815,3.45495e-05,3.99234e-05,5.17236e-05,28.3064,37.4018
1,0,0.000703298,0.000620952,-0.0168486,3.68431e-05,4.61923e-05,5.15899e-05,31.3979,45.1312
1,0,0.000654079,0.000561292,-0.0375512,4.68734e-05,5.29881e-05,6.75034e-05,20.0877,22.2148
1,0,0.00069612,0.000608716,-0.0637141,4.47855e-05,4.68835e-05,5.80599e-05,28.1306,27.986
1,0,0.000661403,0.00052601,-0.0962804,5.78129e-05,7.45949e-05,6.23865e-05,12.057,22.3859
1,0,0.0005981,0.000526427,-0.0225065,9.50393e-05,0.000125025,0.000117385,2.84974,10.7999
1,0,0.000694415,0.000684399,-0.0367092,0.000108528,7.96848e-05,8.01585e-05,4.90349,6.72991
1,0,0.000699155,0.000503059,-0.071311,6.67473e-05,0.000123208,0.000300536,10.2117,9.94704
1,0,0.000721671,0.000632349,-0.0333185,7.62095e-05,7.68366e-05,0.000112109,9.97422,22.3914
1,0,0.000761351,0.000581351,-0.0589306,9.49605e-05,8.11074e-05,0.000132939,1.89839,2.82219
1,0,0.000379129,0.000766976,0.0221015,0.000146397,0.00013894,0.000290284,3.01335,8.83514
1,0,0.000605833,0.000836826,0.0281717,0.000129731,0.000133034,0.000193312,1.58398,6.8264
1,0,0.00106351,0.00069144,-0.0117464,0.000160189,0.000143843,0.000258008,6.03138,10.6534
1,0,0.000584561,0.00050304,-0.123647,0.000119279,0.000147337,0.000128737,0.842995,4.86135
1,0,0.000735572,0.000600287,-0.0602448,0.000239286,0.000164504,0.000272719,3.79988,6.75017
1,0,0.000960248,0.000535205,0.0610393,0.000219445,0.000195743,0.000418404,1.94877,2.86071
