pt,charge,pos_x,pos_y,pos_z,phi,eta,calo_energy
7.12655,-1,0.000713523,0.000600287,-0.0147225,-2.95816,-0.432494,0
17.7191,1,0.000693547,0.000612973,-0.0908985,0.0763,-0.549938,0
