energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
21.6228,-1.29057,-0.463922,-0.76392,-0.531629,-2.79651,undefined,0.0144748,0.0235886,21.4972,0
16.1299,1.36496,0.1006,-0.811187,-0.562544,0.0735691,undefined,0.0129553,0.0410903,16.0199,0
4.47915,-1.34084,-0.229386,-0.660245,-0.468078,-2.97216,undefined,0.02148,0.0540034,4.4765,0
5.14165,1.30533,-0.361664,1.14952,0.770221,-0.270287,undefined,0.0103691,0.00724637,5.07663,0
7.31731,0.967976,-0.944997,-2.16332,-1.24854,-0.773386,undefined,0.00828045,0.00647682,7.29825,0
4.49385,-1.27763,-0.45272,-0.85158,-0.592903,-2.80105,undefined,0.0122511,0.0503349,4.49949,0
2.9998,0.339017,1.30775,-0.406519,-0.296541,1.31714,undefined,0.00846585,0.101727,2.99549,0
3.24939,-1.23015,0.540903,1.95234,1.16831,2.72733,undefined,0.012826,0.0167402,3.24145,0
1.86319,-1.34812,0.209908,-0.475236,-0.341637,2.98713,undefined,0.00604826,0.00882011,1.87608,0
2.55856,-0.794136,-1.09173,1.42033,0.917733,-2.19968,undefined,0.00989707,0.0563438,2.52294,0
