et,eta,theta,phi
94.6552,-1.28864,2.60366,2.37184
81.5498,-1.83057,2.82366,-1.10218
47.4804,0.96877,0.725507,0.0942091
38.474,-1.17145,2.54053,0.970615
34.0705,1.87832,0.303346,2.40539
33.6576,0.154143,1.41726,-2.11092
29.2219,0.675282,0.941664,-1.05816
25.7896,3.10185,0.0898716,0.958023
25.3244,-1.99284,2.87065,0.0526381
22.4612,-1.55625,2.72584,-2.36613
23.0189,0.90659,0.767727,1.56173
22.9856,-0.0689541,1.6397,0.756111
20.4474,-4.06641,3.10732,-1.71172
21.4615,-0.672654,2.1978,-0.885846
20.0802,-3.25128,3.06418,-2.68457
21.3157,-0.356886,1.92034,2.88532
16.7996,4.12407,0.0323543,-0.816402
14.3758,1.49834,0.439776,-2.77182
13.8455,-2.10684,2.89954,1.84048
13.0662,-3.07877,3.04963,2.56244
12.9278,3.97417,0.0375855,1.08193
12.5989,4.39293,0.0247276,-2.33299
12.3085,-4.36777,3.11624,0.144858
11.7971,-4.16271,3.11046,1.20173
11.3588,2.13652,0.235042,-1.6661
11.0878,3.13337,0.087086,2.82645
11.0775,3.27445,0.0756389,-1.63095
11.1262,1.90335,0.295957,0.314485
9.98381,2.93557,0.106101,-0.482162
9.34709,-3.10667,3.05215,0.501593
9.27384,4.18062,0.0305756,2.17536
9.11954,2.2217,0.216006,1.3518
8.94509,2.68513,0.136213,-2.7133
8.89315,-2.51226,2.97978,-1.89328
8.49499,-4.32578,3.11515,-2.9692
7.57346,4.41304,0.0242354,0.10701
7.59753,1.62037,0.390606,-0.826794
6.25703,0.759557,0.875236,2.80527
5.51498,4.31344,0.0267733,3.05821
5.3301,-3.69756,3.09203,-0.652645
5.2315,-1.00058,2.43694,-1.6593
5.09188,0.986048,0.714116,-1.97721
4.87924,5.00331,0.0134312,-1.52912
4.76486,4.86345,0.0154473,1.22011
4.55169,1.1911,0.59004,0.890209
4.31312,-0.247462,1.81577,1.75565
4.07274,-0.720672,2.23613,-0.0248678
3.73996,-4.77231,3.12467,-1.0237
3.72493,-3.25072,3.06414,1.73394
3.34602,2.83005,0.117883,2.0125
