pt,charge,pos_x,pos_y,pos_z,phi,eta,calo_energy
4.97633,-1,0.000711481,0.000603951,-0.00598149,-0.32716,-1.23588,0
17.8441,1,0.000696218,0.000558175,-0.00852815,-0.302989,-1.51058,0
