et,eta,theta,phi
67.2652,-0.323577,1.88887,-1.61306
58.0233,1.5731,0.409003,1.93415
55.122,-0.826733,2.31681,-2.63096
51.5064,-1.61065,2.74727,2.75465
48.1543,1.72777,0.351689,0.260542
43.8744,0.928242,0.752806,-2.21913
44.8731,-0.331264,1.89616,1.83101
38.4984,-3.28654,3.06686,-1.38539
38.3978,-2.08756,2.89487,-0.605845
37.7483,-3.96998,3.10385,-0.117331
37.0362,2.66077,0.139562,2.70843
39.0131,-0.305351,1.87151,0.674713
38.0918,0.708713,0.914901,0.53
35.0046,1.13271,0.623323,-0.837634
33.2462,3.23974,0.0783083,0.762042
34.6169,-0.741255,2.25222,-0.664218
34.8429,0.226423,1.34628,2.88846
30.9065,3.12001,0.0882563,-0.531515
30.1053,-3.13832,3.05494,0.902257
29.3806,-2.96666,3.03873,2.11863
28.2044,2.02603,0.262203,-2.46192
25.747,3.48559,0.0612521,3.10717
25.662,-1.85274,2.83051,0.246002
24.3882,-4.34925,3.11576,-1.54227
24.2159,4.15228,0.0314544,-2.25417
24.1314,-1.24419,2.58045,1.17405
23.0265,-3.07499,3.04928,-3.05473
23.0221,2.1379,0.23472,-1.0942
22.2741,-4.19302,3.11139,2.27
22.2166,3.11157,0.089003,-1.82571
21.1409,-4.06358,3.10722,-2.64343
18.624,-2.94412,3.03639,-0.195594
18.7501,1.39868,0.484162,2.80151
18.3567,3.51676,0.0593732,1.65327
16.4801,4.35508,0.0256814,-0.201911
15.5374,4.59957,0.0201116,2.9071
14.8742,-1.54359,2.72069,-1.78208
14.4484,4.44917,0.0233754,1.12957
13.2169,1.95359,0.281652,1.10423
12.1475,-1.97857,2.8668,1.91045
11.8431,4.35367,0.0257177,-1.21777
10.9094,-2.56147,2.98752,-2.19255
9.46297,-4.31706,3.11492,0.858489
9.11471,0.68345,0.935076,1.38431
8.36931,4.59233,0.0202577,1.98671
7.20274,-4.73119,3.12396,-0.689434
6.76914,-4.90973,3.12684,-2.98546
6.56431,0.393504,1.18707,-1.18896
5.77302,-0.707192,2.22549,2.69173
5.37236,-2.12641,2.90418,1.15669
4.22064,-2.13883,2.90709,-3.13702
3.90761,5.06348,0.0126469,-1.9577
3.58009,-5.02153,3.1284,1.87788
3.301,-1.00021,2.4367,0.133842
3.25631,0.717813,0.907709,2.1416
