pos_x,pos_y,pos_z
-0.0390631,0.0233888,-0.187361
-0.210603,0.119023,-0.665953
-0.383809,0.211412,-1.14443
-0.558609,0.300568,-1.62282
-0.734924,0.386524,-2.10115
-0.912665,0.469345,-2.57944
-1.09173,0.549142,-3.05771
-1.272,0.626078,-3.53599
-1.45334,0.700398,-4.01427
-1.6356,0.772485,-4.49257
-1.81855,0.842931,-4.97086
-2.00224,0.912293,-5.44905
-2.18678,0.980292,-5.92713
-2.3721,1.04663,-6.40518
-2.55802,1.11155,-6.88323
-2.74357,1.17727,-7.3613
-2.92744,1.2468,-7.83939
-3.10995,1.31943,-8.3175
-3.29216,1.39268,-8.79563
-3.47268,1.46965,-9.2738
-3.65277,1.54749,-9.752
-0.0415426,0.0070936,-0.146004
-0.293581,0.0600214,-0.570951
-0.533878,0.136308,-0.989301
-0.761262,0.233698,-1.40232
-0.974847,0.350016,-1.81115
-1.17402,0.483179,-2.21685
-1.35834,0.631285,-2.62032
-1.52734,0.792845,-3.02231
-1.68044,0.966734,-3.42346
-1.81649,1.1525,-3.82426
-1.93457,1.34993,-4.22506
-2.03171,1.56894,-4.62251
-2.09834,1.81243,-5.01798
-2.13002,2.06948,-5.41728
-2.12729,2.32851,-5.82509
-2.10494,2.57339,-6.24416
-2.09902,2.79057,-6.67037
-2.10422,2.99315,-7.09967
-2.12216,3.18202,-7.53126
-2.19183,3.33151,-7.9653
-2.2838,3.46508,-8.39994
