energy,eta,phi,time,detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
0.910368,-0.0435,0.479966,4.0205,1107312774,1.56987,0.906363,0,1.64289,0.766091,0,1.64289,0.766091,-0.157906,1.56987,0.906363,-0.157906,2.50346,1.44538,0,2.61991,1.22168,0,2.61991,1.22168,-0.251813,2.50346,1.44538,-0.251813
2.8917,-0.0435,0.829031,-3.36203,1107312778,1.1652,1.38863,0,1.28179,1.28179,0,1.28179,1.28179,-0.157906,1.1652,1.38863,-0.157906,1.85814,2.21444,0,2.04407,2.04407,0,2.04407,2.04407,-0.251813,1.85814,2.21444,-0.251813
8.25542,-0.0435,0.916298,-3.51001,1107312779,1.03974,1.4849,0,1.1652,1.38863,0,1.1652,1.38863,-0.157906,1.03974,1.4849,-0.157906,1.65807,2.36796,0,1.85814,2.21444,0,1.85814,2.21444,-0.251813,1.65807,2.36796,-0.251813
0.897738,-0.0435,1.00356,-9.06034,1107312780,0.906363,1.56987,0,1.03974,1.4849,0,1.03974,1.4849,-0.157906,0.906363,1.56987,-0.157906,1.44538,2.50346,0,1.65807,2.36796,0,1.65807,2.36796,-0.251813,1.44538,2.50346,-0.251813
3.03988,-0.1305,0.479966,-4.19705,1107312902,1.56987,0.906363,-0.157906,1.64289,0.766091,-0.157906,1.64289,0.766091,-0.317008,1.56987,0.906363,-0.317008,2.50346,1.44538,-0.251813,2.61991,1.22168,-0.251813,2.61991,1.22168,-0.505533,2.50346,1.44538,-0.505533
2.55973,-0.1305,0.567232,2.57732,1107312903,1.4849,1.03974,-0.157906,1.56987,0.906363,-0.157906,1.56987,0.906363,-0.317008,1.4849,1.03974,-0.317008,2.36796,1.65807,-0.251813,2.50346,1.44538,-0.251813,2.50346,1.44538,-0.505533,2.36796,1.65807,-0.505533
2.84189,-0.1305,0.654498,2.26367,1107312904,1.38863,1.1652,-0.157906,1.4849,1.03974,-0.157906,1.4849,1.03974,-0.317008,1.38863,1.1652,-0.317008,2.21444,1.85814,-0.251813,2.36796,1.65807,-0.251813,2.36796,1.65807,-0.505533,2.21444,1.85814,-0.505533
3.693,-0.1305,0.741765,2.12297,1107312905,1.28179,1.28179,-0.157906,1.38863,1.1652,-0.157906,1.38863,1.1652,-0.317008,1.28179,1.28179,-0.317008,2.04407,2.04407,-0.251813,2.21444,1.85814,-0.251813,2.21444,1.85814,-0.505533,2.04407,2.04407,-0.505533
1.66079,-0.1305,0.829031,3.84784,1107312906,1.1652,1.38863,-0.157906,1.28179,1.28179,-0.157906,1.28179,1.28179,-0.317008,1.1652,1.38863,-0.317008,1.85814,2.21444,-0.251813,2.04407,2.04407,-0.251813,2.04407,2.04407,-0.505533,1.85814,2.21444,-0.505533
12.1248,-0.1305,0.916298,-0.311513,1107312907,1.03974,1.4849,-0.157906,1.1652,1.38863,-0.157906,1.1652,1.38863,-0.317008,1.03974,1.4849,-0.317008,1.65807,2.36796,-0.251813,1.85814,2.21444,-0.251813,1.85814,2.21444,-0.505533,1.65807,2.36796,-0.505533
1.64318,-0.1305,1.00356,4.73018,1107312908,0.906363,1.56987,-0.157906,1.03974,1.4849,-0.157906,1.03974,1.4849,-0.317008,0.906363,1.56987,-0.317008,1.44538,2.50346,-0.251813,1.65807,2.36796,-0.251813,1.65807,2.36796,-0.505533,1.44538,2.50346,-0.505533
0.495047,-0.2175,0.916298,-21.2828,1107313035,1.03974,1.4849,-0.317008,1.1652,1.38863,-0.317008,1.1652,1.38863,-0.478511,1.03974,1.4849,-0.478511,1.65807,2.36796,-0.505533,1.85814,2.21444,-0.505533,1.85814,2.21444,-0.763081,1.65807,2.36796,-0.763081
1.35442,-0.2175,-0.829031,12.1681,1107313087,1.28179,-1.28179,-0.317008,1.1652,-1.38863,-0.317008,1.1652,-1.38863,-0.478511,1.28179,-1.28179,-0.478511,2.04407,-2.04407,-0.505533,1.85814,-2.21444,-0.505533,1.85814,-2.21444,-0.763081,2.04407,-2.04407,-0.763081
0.660625,-0.2175,-0.392699,3.25699,1107313092,1.7034,-0.619989,-0.317008,1.64289,-0.766091,-0.317008,1.64289,-0.766091,-0.478511,1.7034,-0.619989,-0.478511,2.71642,-0.988695,-0.505533,2.61991,-1.22168,-0.505533,2.61991,-1.22168,-0.763081,2.71642,-0.988695,-0.763081
0.863377,-0.3045,0.741765,12.9324,1107313161,1.28179,1.28179,-0.478511,1.38863,1.1652,-0.478511,1.38863,1.1652,-0.643638,1.28179,1.28179,-0.643638,2.04407,2.04407,-0.763081,2.21444,1.85814,-0.763081,2.21444,1.85814,-1.02641,2.04407,2.04407,-1.02641
0.188777,-0.3045,2.31256,0.479662,1107313179,-1.28179,1.28179,-0.478511,-1.1652,1.38863,-0.478511,-1.1652,1.38863,-0.643638,-1.28179,1.28179,-0.643638,-2.04407,2.04407,-0.763081,-1.85814,2.21444,-0.763081,-1.85814,2.21444,-1.02641,-2.04407,2.04407,-1.02641
0.424184,-0.3045,-2.22529,-15.6654,1107313199,-1.03974,-1.4849,-0.478511,-1.1652,-1.38863,-0.478511,-1.1652,-1.38863,-0.643638,-1.03974,-1.4849,-0.643638,-1.65807,-2.36796,-0.763081,-1.85814,-2.21444,-0.763081,-1.85814,-2.21444,-1.02641,-1.65807,-2.36796,-1.02641
0.819857,-0.3915,-0.218166,4.65742,1107313350,1.78519,-0.314777,-0.643638,1.75096,-0.469168,-0.643638,1.75096,-0.469168,-0.81364,1.78519,-0.314777,-0.81364,2.84683,-0.501974,-1.02641,2.79225,-0.748182,-1.02641,2.79225,-0.748182,-1.29751,2.84683,-0.501974,-1.29751
-0.0120934,-0.4785,1.4399,-17.3603,1107313425,0.15799,1.80583,-0.81364,0.314777,1.78519,-0.81364,0.314777,1.78519,-0.989805,0.15799,1.80583,-0.989805,0.251946,2.87975,-1.29751,0.501974,2.84683,-1.29751,0.501974,2.84683,-1.57844,0.251946,2.87975,-1.57844
1.0435,-0.5655,1.00356,-5.93395,1107313548,0.906363,1.56987,-0.989804,1.03974,1.4849,-0.989804,1.03974,1.4849,-1.17347,0.906363,1.56987,-1.17347,1.44538,2.50346,-1.57844,1.65807,2.36797,-1.57844,1.65807,2.36797,-1.87132,1.44538,2.50346,-1.87132
0.264458,-0.6525,0.829031,-13.5538,1107313674,1.1652,1.38863,-1.17347,1.28179,1.28179,-1.17347,1.28179,1.28179,-1.36601,1.1652,1.38863,-1.36601,1.85814,2.21444,-1.87132,2.04407,2.04407,-1.87132,2.04407,2.04407,-2.17838,1.85814,2.21444,-2.17838
0.316273,-0.7395,0.0436332,32.1024,1107313793,1.80583,0.157989,-1.36601,1.81273,0,-1.36601,1.81273,0,-1.56891,1.80583,0.157989,-1.56891,2.87975,0.251946,-2.17838,2.89075,0,-2.17838,2.89075,0,-2.50194,2.87975,0.251946,-2.50194
-0.0365909,-0.8265,-0.0436333,-11.6489,1107313992,1.81273,-1.01294e-07,-1.56891,1.80583,-0.15799,-1.56891,1.80583,-0.15799,-1.78368,1.81273,-1.01294e-07,-1.78368,2.89075,-1.61533e-07,-2.50194,2.87975,-0.251946,-2.50194,2.87975,-0.251946,-2.84444,2.89075,-1.61533e-07,-2.84444
0.0256922,-0.9135,1.26536,31.5782,1107314063,0.469168,1.75096,-1.78368,0.619989,1.7034,-1.78368,0.619989,1.7034,-2.01197,0.469168,1.75096,-2.01197,0.748182,2.79225,-2.84444,0.988695,2.71642,-2.84444,0.988695,2.71642,-3.20849,0.748182,2.79225,-3.20849
