pt,charge,pos_x,pos_y,pos_z,phi,eta
1.44832,-1,0.000727168,0.000680739,0.000122008,2.8293,-1.84648
0.911836,1,0.000757672,0.000859839,0.0378235,2.94967,-1.85837
2.15002,-1,0.000704082,0.000597944,0.007162,2.97666,1.83846
5.49653,-1,0.000709599,0.000604221,0.00702223,-2.93739,2.04573
5.41426,-1,0.000718404,0.00057141,0.00675158,-2.89412,2.11461
15.5726,1,0.000705702,0.000620497,0.0068719,-2.8239,1.95324
0.781818,1,0.000712402,0.000633357,0.0393665,3.02551,-1.99108
1.43046,1,0.000860716,0.000776148,0.0384387,2.3908,-2.12434
1.63519,1,0.00080894,0.000517771,-0.0424611,-2.32721,2.23978
20.7818,1,0.000618232,0.000858009,0.00297151,-2.79021,1.8797
