et,eta,theta,phi
220.348,-0.824668,2.31529,1.38602
171.81,1.33717,0.513583,-1.87704
38.1868,1.02575,0.688503,-1.06072
30.058,-0.249988,1.81822,-0.0692134
20.9877,-3.23941,3.06326,1.05399
17.8945,-3.68541,3.09143,2.68506
18.0119,-0.0217072,1.5925,1.81509
16.1288,-2.73656,3.01219,-0.790445
15.7722,-1.40839,2.66193,-1.29223
15.6071,1.62504,0.388834,2.85263
15.233,-0.538376,2.0849,-2.16838
13.267,2.68832,0.135781,-1.4482
11.714,-3.99517,3.10479,0.193648
11.6215,-3.74438,3.0943,-2.48872
10.6141,-2.68707,3.00564,-1.70491
10.3764,-1.97173,2.86494,2.89806
10.306,-1.24913,2.58307,-0.143364
9.05446,2.08515,0.247308,-0.766773
8.83899,2.63502,0.14319,2.26604
9.42096,0.450804,1.13453,2.90587
9.32834,0.649507,0.962661,0.948992
8.36393,-4.37619,3.11645,-1.4053
8.32298,3.78138,0.0455744,-0.405359
8.07553,4.00844,0.0363194,-2.75463
7.67483,-1.73185,2.79131,0.84065
7.97147,0.55999,1.03797,-2.12748
7.45095,2.93628,0.106026,0.764379
7.23736,-2.8757,3.02896,2.45325
7.02974,-4.83025,3.12562,2.60482
6.07575,3.69211,0.0498287,1.76761
5.64676,-4.47995,3.11893,1.03641
5.13394,1.6648,0.374033,0.82855
4.77244,2.96043,0.103501,-2.72585
4.50674,-2.57268,2.98923,0.102371
4.72221,-0.453677,2.00967,2.99303
4.22682,4.22439,0.0292664,2.5849
4.12238,1.39959,0.483738,1.87535
3.86171,-4.73108,3.12396,-2.46267
4.01557,-0.594891,2.13342,0.702537
3.58115,3.90978,0.0400845,-1.73748
3.50317,-2.86649,3.02792,-2.77116
3.17268,4.54527,0.0212338,-1.06656
