pos_x,pos_y,pos_z
0.0662635,0.0681752,-0.226762
0.0948225,0.0989353,-0.316292
0.122961,0.130065,-0.405795
0.150675,0.161561,-0.495275
0.177959,0.193416,-0.584734
0.20481,0.225628,-0.674177
0.23122,0.258191,-0.763606
0.257185,0.291101,-0.853024
0.282695,0.324354,-0.942437
0.307737,0.357946,-1.03185
0.332296,0.391876,-1.12126
0.356384,0.426123,-1.21068
0.380031,0.46067,-1.30011
0.403232,0.495518,-1.38954
0.425982,0.530664,-1.47899
0.448278,0.566106,-1.56844
0.470117,0.601838,-1.65791
0.491496,0.637856,-1.74739
0.512412,0.674156,-1.8369
0.532863,0.710731,-1.92642
0.552846,0.747576,-2.01598
-0.034773,-0.0361274,-0.0378962
-0.301369,-0.299453,-0.11465
-0.575389,-0.548815,-0.190533
-0.856699,-0.784416,-0.265679
-1.14526,-1.00626,-0.340212
-1.44126,-1.21398,-0.41424
-1.74513,-1.40663,-0.48787
-2.05768,-1.58264,-0.56122
-2.38009,-1.73963,-0.634438
-2.71392,-1.87451,-0.707722
-3.05718,-1.99111,-0.781127
-3.40323,-2.10219,-0.854787
-3.74628,-2.21888,-0.928872
-4.08776,-2.33853,-1.00312
-4.4257,-2.46498,-1.07751
-4.76183,-2.59489,-1.15195
-5.09496,-2.73048,-1.22667
-5.42479,-2.87239,-1.3015
-5.75257,-3.01833,-1.37622
-6.07751,-3.16981,-1.45081
-6.39931,-3.32752,-1.52504
