isValid,isFake,pos_x,pos_y,pos_z,xError,yError,zError,chi2,ndof
1,0,0.000690224,0.000661429,0.0241912,3.07495e-05,1.95297e-05,3.15537e-05,27.5539,43.6161
1,0,0.000736175,0.000653846,-0.0680893,3.02651e-05,3.31019e-05,3.70432e-05,57.993,50.6671
1,0,0.000670156,0.00065218,-0.00798245,4.64829e-05,3.66273e-05,4.57801e-05,16.4529,27.9394
1,0,0.000614765,0.000690262,0.019171,3.95691e-05,3.92699e-05,4.72759e-05,51.7708,59.5055
1,0,0.000648528,0.000663804,0.00385649,3.36565e-05,3.90138e-05,3.65634e-05,37.0618,42.3533
1,0,0.000708327,0.000680128,-0.0878457,3.69044e-05,4.27919e-05,4.73627e-05,27.7506,45.583
1,0,0.000672703,0.000655205,-0.0199705,5.52711e-05,3.87097e-05,4.6607e-05,17.4916,25.3143
1,0,0.000723696,0.000627085,0.0549034,5.00244e-05,5.33126e-05,0.000110505,15.9832,22.2801
1,0,0.000723146,0.000551999,0.0150618,9.29666e-05,4.64865e-05,5.06819e-05,8.11098,12.5367
1,0,0.000785722,0.000611275,0.0357484,8.26895e-05,9.87819e-05,0.00011339,23.124,19.705
1,0,0.00111396,0.000685669,0.10635,0.000412454,0.000334534,0.000294427,1.03146,2.8791
1,0,0.000744532,0.000558301,-0.00648728,8.30047e-05,0.00013123,8.75432e-05,3.24189,6.76947
1,0,0.000879452,0.000865131,-0.00325369,0.000167931,0.000124705,0.000120172,12.3137,5.16371
1,0,0.000689705,0.000761759,-0.0329308,0.000135189,0.000130491,9.73979e-05,5.46951,4.45564
1,0,0.000727648,0.000771368,-0.012333,0.00013102,0.000219159,0.000207751,8.98623,4.12283
