et,eta,theta,phi
61.2451,-0.454697,2.01059,-0.128015
29.722,1.71583,0.355826,3.01623
28.1975,0.0328377,1.53796,-3.04861
23.9599,2.89705,0.11026,-0.238548
23.1979,0.541743,1.05376,0.439992
20.8734,-1.47301,2.69091,2.45231
20.3938,-0.752614,2.26102,1.00936
19.0034,-2.58493,2.99107,1.72712
18.8863,3.13542,0.0869083,-2.58655
19.3147,0.972688,0.722911,-2.59607
18.2975,2.01077,0.266188,1.15371
19.0896,0.282227,1.29224,2.00541
16.9205,4.29979,0.027141,-3.11717
15.4763,3.26792,0.0761345,0.888162
14.3302,4.15195,0.0314648,-0.183599
14.5863,-1.1134,2.50691,-1.67151
13.3131,3.75611,0.0467404,-1.37156
13.3075,3.13566,0.0868871,2.30686
12.9775,-3.25583,3.06453,-0.207852
12.2889,-3.4268,3.07663,2.64514
13.3039,0.0857409,1.48516,-1.13223
11.1466,1.9669,0.277977,-0.732035
11.1199,1.95352,0.281672,-1.90558
10.6766,-1.99243,2.87054,-2.90185
10.2553,4.37727,0.0251178,-2.12919
9.53817,4.38957,0.0248109,1.55986
9.42159,-4.42108,3.11755,1.0016
8.48672,-4.38541,3.11668,2.18141
8.59853,-1.53261,2.71618,-0.155868
8.39729,-2.5663,2.98826,-1.71996
8.44551,1.5661,0.411795,0.245082
8.14408,-3.9473,3.10298,-1.43239
8.24086,1.22899,0.569284,2.08911
7.1223,2.14706,0.232599,1.98266
6.07881,-2.91823,3.03364,0.576489
5.91443,-4.32172,3.11504,-0.229606
5.77387,-3.96423,3.10363,-2.45411
5.72476,-0.572187,2.1141,2.13782
5.31203,4.95673,0.0140715,-0.987346
5.06705,-2.87811,3.02923,-0.949105
5.39366,0.146996,1.42433,-2.10128
5.0321,-1.68419,2.77458,1.13358
4.75109,-4.80207,3.12517,-2.96089
4.70617,2.86135,0.114259,-1.43126
4.42109,-0.928712,2.38911,-2.73535
4.28211,4.71219,0.0179696,0.729198
3.79149,-3.46764,3.07923,1.52537
3.78316,0.892807,0.777346,-0.50579
3.66403,-2.9556,3.03759,-2.56285
3.13995,4.97206,0.0138575,2.28722
