energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
29.9528,1.10936,0.747378,2.08343,1.22627,0.592857,undefined,0.0142117,0.137509,28.574,0
11.0168,1.07263,0.804014,-1.51282,-0.969411,0.643228,undefined,0.0198733,0.0999663,10.581,0
4.31156,0.967432,0.929215,1.8213,1.11318,0.765251,undefined,0.0152134,0.0574862,4.23231,0
3.36193,1.29708,-0.394357,-1.53194,-0.970371,-0.295154,undefined,0.014192,0.0083914,3.38216,0
2.23755,1.3614,0.0183873,0.511935,0.367662,0.0135054,undefined,0.00880227,0.0120868,2.24616,0
2.40205,0.117671,-1.3503,-0.922236,-0.636543,-1.48387,undefined,0.0155514,0.0466163,2.41283,0
1.93483,1.16188,0.711108,0.308145,0.224322,0.549219,undefined,0.0119256,0.0097194,1.95956,0
1.71578,1.29607,0.439405,0.459839,0.329988,0.326868,undefined,0.0169045,0.0133679,1.73394,0
1.50687,0.703481,1.17028,-0.830685,-0.575981,1.02955,undefined,0.0190315,0.0114908,1.49573,0
1.21567,0.359039,1.30761,0.128838,0.0948711,1.30282,undefined,0.00887942,0.00258937,1.22078,0
