isValid,isFake,pos_x,pos_y,pos_z,xError,yError,zError,chi2,ndof
1,0,0.000655495,0.000625866,-0.0107607,1.67925e-05,1.3423e-05,2.18108e-05,68.174,85.9429
1,0,0.000628657,0.000662648,0.0986068,2.58509e-05,2.99034e-05,3.18193e-05,44.7704,67.5961
1,0,0.000687867,0.000624647,-0.0201474,3.59963e-05,3.33822e-05,5.70342e-05,48.6461,55.8405
1,0,0.000677841,0.000586084,-0.0607161,3.39646e-05,3.36875e-05,4.3341e-05,33.9159,40.8716
1,0,0.000752644,0.000613074,-0.00270644,5.39927e-05,4.15014e-05,5.90914e-05,27.0527,27.2225
1,0,0.000691217,0.000621491,0.0509559,4.61613e-05,3.71827e-05,4.88304e-05,18.975,23.9064
1,0,0.000726936,0.000661075,-0.0749381,4.30498e-05,6.97249e-05,9.15559e-05,13.9171,26.1639
1,0,0.00070322,0.000524399,0.0176275,5.57365e-05,5.12818e-05,5.52819e-05,21.4795,21.5876
1,0,0.00067481,0.000613087,0.0684979,5.86484e-05,5.43387e-05,7.1056e-05,19.8282,35.469
1,0,0.000744812,0.000592631,0.0519598,8.42229e-05,5.26582e-05,6.33016e-05,3.35891,4.75619
1,0,0.00077166,0.000787078,0.0601398,7.55001e-05,9.72259e-05,6.91848e-05,10.3814,16.3366
