detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
604017256,-0.627913,0.789895,6.07674,-0.366848,0.940316,6.07654,-1.04232,2.42079,6.07702,-1.56999,2.11675,6.07744,-0.627799,0.789898,6.22374,-0.366734,0.94032,6.22354,-1.0422,2.4208,6.22402,-1.56988,2.11676,6.22444
604017264,-0.756361,0.667939,5.78369,-0.525398,0.861427,5.78361,-1.4478,2.20204,5.78395,-1.91463,1.81096,5.7841,-0.75631,0.667936,5.93069,-0.525348,0.861425,5.93061,-1.44775,2.20204,5.93095,-1.91458,1.81095,5.9311
604017768,-0.627913,0.789895,6.07674,-0.366848,0.940316,6.07654,-1.04232,2.42079,6.07702,-1.56999,2.11675,6.07744,-0.627799,0.789898,6.22374,-0.366734,0.94032,6.22354,-1.0422,2.4208,6.22402,-1.56988,2.11676,6.22444
604017776,-0.756361,0.667939,5.78369,-0.525398,0.861427,5.78361,-1.4478,2.20204,5.78395,-1.91463,1.81096,5.7841,-0.75631,0.667936,5.93069,-0.525348,0.861425,5.93061,-1.44775,2.20204,5.93095,-1.91458,1.81095,5.9311
604017256,-0.627913,0.789895,6.07674,-0.366848,0.940316,6.07654,-1.04232,2.42079,6.07702,-1.56999,2.11675,6.07744,-0.627799,0.789898,6.22374,-0.366734,0.94032,6.22354,-1.0422,2.4208,6.22402,-1.56988,2.11676,6.22444
604017768,-0.627913,0.789895,6.07674,-0.366848,0.940316,6.07654,-1.04232,2.42079,6.07702,-1.56999,2.11675,6.07744,-0.627799,0.789898,6.22374,-0.366734,0.94032,6.22354,-1.0422,2.4208,6.22402,-1.56988,2.11676,6.22444
604017256,-0.627913,0.789895,6.07674,-0.366848,0.940316,6.07654,-1.04232,2.42079,6.07702,-1.56999,2.11675,6.07744,-0.627799,0.789898,6.22374,-0.366734,0.94032,6.22354,-1.0422,2.4208,6.22402,-1.56988,2.11676,6.22444
604017264,-0.756361,0.667939,5.78369,-0.525398,0.861427,5.78361,-1.4478,2.20204,5.78395,-1.91463,1.81096,5.7841,-0.75631,0.667936,5.93069,-0.525348,0.861425,5.93061,-1.44775,2.20204,5.93095,-1.91458,1.81095,5.9311
604017768,-0.627913,0.789895,6.07674,-0.366848,0.940316,6.07654,-1.04232,2.42079,6.07702,-1.56999,2.11675,6.07744,-0.627799,0.789898,6.22374,-0.366734,0.94032,6.22354,-1.0422,2.4208,6.22402,-1.56988,2.11676,6.22444
604017776,-0.756361,0.667939,5.78369,-0.525398,0.861427,5.78361,-1.4478,2.20204,5.78395,-1.91463,1.81096,5.7841,-0.75631,0.667936,5.93069,-0.525348,0.861425,5.93061,-1.44775,2.20204,5.93095,-1.91458,1.81095,5.9311
604021304,-1.11279,0.931537,8.30882,-0.499782,1.36034,8.31127,-1.35183,3.26121,8.31554,-2.60627,2.38371,8.31053,-1.11312,0.930981,8.48928,-0.500115,1.35979,8.49173,-1.35216,3.26066,8.49601,-2.6066,2.38316,8.49099
