pos_x,pos_y,pos_z
0.0118839,-0.048351,-0.228397
0.0343676,-0.173909,-0.722748
0.0479229,-0.300181,-1.21638
0.0524218,-0.426466,-1.70944
0.047759,-0.552007,-2.20209
0.0338377,-0.675965,-2.69451
0.0105446,-0.797386,-3.18691
-0.0224044,-0.915111,-3.67952
-0.0654824,-1.02766,-4.17265
-0.119398,-1.13304,-4.6667
-0.185432,-1.22838,-5.16223
-0.254209,-1.32013,-5.65839
-0.318296,-1.4154,-6.15405
-0.379928,-1.51234,-6.6495
-0.438606,-1.61015,-7.14494
-0.493814,-1.7085,-7.64047
-0.536213,-1.81049,-8.136
-0.576871,-1.91353,-8.6314
-0.60043,-2.02216,-9.12664
-0.60782,-2.13633,-9.62165
-0.609088,-2.25233,-10.1166
-0.0354165,-0.0355332,-0.0910515
-0.198227,-0.192566,-0.57271
-0.365713,-0.344649,-1.05384
-0.537741,-0.49176,-1.53449
-0.714163,-0.633924,-2.01473
-0.894821,-0.771222,-2.49458
-1.07954,-0.903817,-2.97408
-1.26815,-1.03196,-3.45322
-1.46047,-1.15604,-3.93198
-1.65627,-1.2767,-4.41027
-1.85535,-1.39487,-4.88794
-2.05511,-1.50933,-5.3663
-2.2539,-1.61867,-5.84638
-2.45183,-1.72466,-6.32765
-2.64781,-1.83046,-6.80972
-2.84193,-1.93711,-7.2923
-3.03216,-2.04818,-7.77524
-3.21812,-2.16479,-8.25841
-3.40331,-2.28215,-8.74167
-3.58514,-2.40486,-9.22485
-3.76586,-2.52936,-9.708
