pos_x,pos_y,pos_z
-0.0292811,-0.0407013,-0.0790964
-0.0597198,-0.0815458,-0.0934449
-0.0906067,-0.121976,-0.107776
-0.12194,-0.161994,-0.122093
-0.15372,-0.201599,-0.136396
-0.185944,-0.240791,-0.150688
-0.218612,-0.27957,-0.16497
-0.251725,-0.317936,-0.179244
-0.285284,-0.355886,-0.193511
-0.319289,-0.39342,-0.207772
-0.353744,-0.430535,-0.222027
-0.388632,-0.467245,-0.236279
-0.423938,-0.503562,-0.250532
-0.459668,-0.539479,-0.26479
-0.495828,-0.574992,-0.279054
-0.532421,-0.610095,-0.293325
-0.569449,-0.644786,-0.307606
-0.606914,-0.679064,-0.321899
-0.644818,-0.712925,-0.336206
-0.683162,-0.746367,-0.350528
-0.721947,-0.779388,-0.364867
-0.0290152,-0.0741779,0.0413479
-0.16282,-0.394402,0.499113
-0.305677,-0.710198,0.955953
-0.45738,-1.02144,1.41203
-0.617691,-1.32802,1.86751
-0.786396,-1.62977,2.32258
-0.963354,-1.92644,2.77745
-1.14852,-2.21763,3.23239
-1.34181,-2.50282,3.68776
-1.54304,-2.78125,4.14409
-1.74919,-3.05394,4.60199
-1.95569,-3.32373,5.06154
-2.16305,-3.59132,5.5221
-2.36984,-3.85831,5.98327
-2.57471,-4.12623,6.44464
-2.77762,-4.39594,6.90569
-2.97967,-4.66624,7.36673
-3.17614,-4.93867,7.82871
-3.36822,-5.21242,8.29165
-3.55947,-5.48618,8.75492
-3.74658,-5.75778,9.2212
0.0136907,0.0341447,-0.0208665
0.138662,0.406374,0.459271
0.231373,0.781851,0.934008
0.292514,1.15839,1.40492
0.322671,1.53371,1.87361
0.321796,1.90534,2.34178
0.288655,2.27022,2.81141
0.220995,2.62424,3.28508
0.116586,2.96177,3.76646
-0.023736,3.27608,4.26021
-0.183125,3.56271,4.77108
-0.340224,3.84191,5.28725
-0.478884,4.13642,5.79475
-0.599092,4.44208,6.29641
-0.702329,4.75613,6.794
-0.794831,5.07631,7.28843
-0.860926,5.40327,7.78081
-0.898226,5.73623,8.27192
-0.929824,6.07139,8.76208
-0.941304,6.40299,9.25665
-0.947325,6.73424,9.752
