pt,charge,pos_x,pos_y,pos_z,phi,eta,calo_energy
0.136468,1,-4.17238e-05,-0.000591515,-0.425766,-1.29043,-0.439192,0
14.535,1,0.000736784,0.000572236,-0.0382,-1.96099,1.09504,0
4.91917,-1,0.000711592,0.000607362,-0.0142125,1.1852,1.04798,0
