pos_x,pos_y,pos_z
-0.0234384,0.0685044,-0.190419
-0.115662,0.322303,-0.666549
-0.21064,0.57503,-1.1426
-0.308338,0.826675,-1.61859
-0.40871,1.07723,-2.09453
-0.511699,1.32671,-2.57042
-0.617243,1.57512,-3.04628
-0.725267,1.82248,-3.52211
-0.835692,2.06884,-3.99792
-0.948432,2.31424,-4.47369
-1.06338,2.55878,-4.94939
-1.18054,2.8024,-5.42506
-1.29951,3.04513,-5.90078
-1.41792,3.28802,-6.37654
-1.53501,3.53145,-6.85233
-1.65156,3.7751,-7.32813
-1.76612,4.01958,-7.80395
-1.87872,4.26488,-8.2798
-1.99099,4.51026,-8.75569
-2.10159,4.75595,-9.2318
-2.21167,5.00169,-9.708
-0.0391489,-0.0636032,-0.0744516
-0.226198,-0.368975,-0.126943
-0.410131,-0.675997,-0.179457
-0.590967,-0.984659,-0.232001
-0.768724,-1.29495,-0.284583
-0.943415,-1.60686,-0.337205
-1.11504,-1.92039,-0.389867
-1.28361,-2.23555,-0.442564
-1.44913,-2.55231,-0.495276
-1.6117,-2.87065,-0.547962
-1.77328,-3.18953,-0.60053
-1.93469,-3.50859,-0.652588
-2.09572,-3.82795,-0.70405
-2.25619,-4.14765,-0.755177
-2.41718,-4.46712,-0.80607
-2.57813,-4.78663,-0.856848
-2.73971,-5.10582,-0.907538
-2.90217,-5.42456,-0.958162
-3.06478,-5.74321,-1.00878
-3.22823,-6.06142,-1.05942
-3.39253,-6.37917,-1.11007
0.0344128,0.0159729,-0.09462
0.374233,0.166567,-0.408128
0.71648,0.310336,-0.721177
1.06107,0.447317,-1.03385
1.40792,0.577541,-1.34623
1.75694,0.700989,-1.65842
2.10808,0.817536,-1.97053
2.46129,0.926922,-2.28269
2.8165,1.02877,-2.59511
3.17352,1.123,-2.90803
3.53072,1.21446,-3.22168
3.88826,1.30302,-3.53591
4.24668,1.38817,-3.85029
4.60546,1.472,-4.1647
4.9643,1.55749,-4.47849
5.32314,1.64323,-4.7922
5.68151,1.73058,-5.1059
6.03894,1.82068,-5.41974
6.3945,1.91433,-5.73451
6.74964,2.01051,-6.0489
7.10471,2.10865,-6.36272
-0.000338311,0.0416476,-0.0384577
-0.00370648,0.40843,0.184196
0.00302639,0.774027,0.406103
0.0197608,1.13838,0.627391
0.0464108,1.50142,0.848184
0.0829739,1.86308,1.0686
0.129583,2.22325,1.28878
0.186514,2.58182,1.50884
0.254095,2.93862,1.72894
0.332419,3.29353,1.94927
0.414956,3.64765,2.16977
0.497173,4.00161,2.39061
0.57963,4.35526,2.6119
0.661952,4.70876,2.83347
0.740396,5.06306,3.05476
0.817791,5.41751,3.27607
0.892493,5.77244,3.49733
0.963518,6.12809,3.71839
1.03356,6.4839,3.93945
1.1009,6.84002,4.16072
1.16502,7.19664,4.38203
