pos_x,pos_y,pos_z
0.0208074,-0.0399393,0.235656
0.0667852,-0.135101,0.730036
0.111481,-0.23092,1.22439
0.154883,-0.327396,1.71871
0.196984,-0.424533,2.213
0.23778,-0.522337,2.70726
0.277275,-0.620823,3.20148
0.315478,-0.720016,3.69567
0.352409,-0.81996,4.18981
0.388111,-0.920725,4.68388
0.422655,-1.02243,5.17786
0.457327,-1.12385,5.67188
0.492868,-1.22412,6.16606
0.528914,-1.32367,6.66034
0.565412,-1.4227,7.1547
0.602227,-1.52137,7.6491
0.639885,-1.61955,8.14353
0.677633,-1.7176,8.63798
0.716573,-1.81512,9.13244
0.756543,-1.91221,9.62691
0.796886,-2.00915,10.1214
