pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,pt,phi,eta,charge,chi2,ndof
0.000723816,0.000599818,-0.034949,-0.731404,-0.145402,-0.666263,2.85493,-2.94535,-0.803993,1,10.7077,15
0.000729112,0.000572522,-0.00260941,-0.954284,-0.149037,-0.259095,1.5228,-2.98667,-0.265138,-1,13.6711,16
0.000686197,0.00081906,-0.0163166,-0.417014,-0.0725919,-0.905996,0.822187,-2.96924,-1.50471,-1,0.00901395,1
0.000786882,0.000292417,-0.0351464,-0.365313,-0.074863,0.927869,1.10584,-2.93946,1.64285,-1,29.263,17
0.000675166,0.000738278,0.037247,-0.922018,-0.37969,0.075616,1.48793,-2.75095,0.0757606,-1,21.2317,15
0.00071419,0.000629722,-0.0251803,-0.59506,-0.449768,0.666042,1.8815,-2.49437,0.803596,1,6.4162,16
0.00071031,0.000631297,-0.0251728,-0.259955,-0.272345,0.926419,2.53278,-2.33292,1.63251,1,17.3757,23
0.000747273,0.000594889,-0.025344,-0.411092,-0.412837,-0.812754,1.46182,-2.35408,-1.13509,-1,2.35543,3
0.000685397,0.000645695,-0.0847708,-0.52012,-0.769172,0.37128,0.849116,-2.16538,0.389907,1,19.5581,17
0.000763527,0.000615832,-0.0165863,-0.0449316,-0.332542,-0.942017,6.18299,-1.7051,-1.75567,1,40.7651,45
0.000594739,0.000632875,-0.0166317,-0.0508773,-0.568555,-0.82107,0.99803,-1.66004,-1.16009,1,18.6246,20
0.000658101,0.000625973,-0.0170727,-0.0254488,-0.366666,-0.930004,14.3322,-1.64009,-1.65842,-1,42.587,39
0.000653218,0.00062547,-0.0168271,-0.0193561,-0.338966,-0.9406,11.5832,-1.62784,-1.74323,-1,52.3559,43
0.000626977,0.000621721,-0.0255153,0.00239423,-0.624126,-0.78132,1.26593,-1.56696,-1.04875,-1,1.75662,3
0.000718988,0.000615975,0.0371098,0.218447,-0.403668,0.888444,1.46336,-1.07477,1.41449,1,28.9783,28
0.000748681,0.000642485,-0.0254799,0.495066,-0.697255,-0.518406,1.1989,-0.953376,-0.574158,-1,9.6483,12
0.000644352,0.000564939,-0.0849549,0.534717,-0.634456,0.558161,1.4604,-0.870499,0.630157,-1,4.2983,12
0.000742713,0.000643881,-0.0503964,0.463705,-0.553958,-0.691453,0.827921,-0.873853,-0.850735,-1,14.3061,17
0.000818044,0.000704212,-0.0194678,0.272717,-0.323153,-0.9062,0.904039,-0.869841,-1.50585,-1,0.150878,2
0.000745977,0.000648564,-0.0348521,0.433214,-0.444632,0.783982,1.57898,-0.798405,1.05562,-1,0.693128,3
0.000708488,0.000605266,-0.034995,0.847806,-0.528879,-0.0388831,2.29029,-0.557751,-0.0389028,1,4.45777,13
0.000840187,0.000813703,-0.0350166,0.330351,-0.208963,-0.920436,0.927002,-0.564008,-1.59187,-1,22.3286,17
0.000750296,0.000668713,-0.00269579,0.780709,-0.46954,-0.412342,1.39305,-0.541468,-0.43843,-1,4.7117,8
0.000691746,0.000535732,-0.0166575,0.921465,-0.309182,-0.235179,0.933809,-0.323729,-0.239665,1,23.7572,17
0.000807504,0.000980002,-0.0166224,0.903163,-0.219073,-0.369193,2.07144,-0.237966,-0.387488,1,7.53771,15
0.000764596,0.000854735,-0.0161368,0.768719,-0.145029,-0.622927,3.13413,-0.186471,-0.729775,-1,5.61185,9
0.000714016,0.000404539,-0.0850803,0.347047,-0.002733,-0.937844,1.02763,-0.00787486,-1.71984,-1,52.5979,41
0.000720205,0.000615255,-0.035,0.972682,0.121895,0.197563,0.818619,0.124668,0.200196,-1,8.43404,12
0.000718541,0.000627009,-0.0350729,0.67715,0.11334,0.727064,0.97077,0.165841,0.92247,-1,0.243598,2
0.000738906,0.000531691,-0.0111494,0.912233,0.182602,0.366726,1.02001,0.197559,0.384635,-1,9.77354,17
0.000727416,0.000589458,-0.0347927,0.313917,0.0768912,0.946332,0.870045,0.240211,1.79544,-1,11.3025,9
0.00069543,0.000682681,-0.0169722,0.505248,0.207987,-0.837535,0.788174,0.390512,-1.21286,1,25.6098,24
0.000721731,0.000618092,-0.0345395,0.301844,0.163441,-0.939243,0.991726,0.496274,-1.73159,1,39.1389,39
0.000729479,0.00060565,-0.0164341,0.639939,0.356488,-0.680731,0.98587,0.508251,-0.830476,-1,1.61782,5
0.000764736,0.00055424,-0.0848968,0.564453,0.3897,-0.727686,0.760048,0.604256,-0.923791,1,2.77807,4
0.000701823,0.000630737,-0.0166976,0.336675,0.69336,-0.637105,2.07419,1.11876,-0.753285,-1,24.3963,17
0.000734067,0.000617788,-0.0166777,0.166541,0.584878,-0.79384,1.77218,1.29339,-1.08173,1,22.7914,15
