et,eta,theta,phi
116.776,-0.237237,1.80584,1.7907
90.2387,-1.74716,2.79652,-1.62495
37.5225,-0.440677,1.99787,-0.0911802
33.0128,-3.18682,3.05903,-1.98248
24.5505,-1.52962,2.71495,2.78478
21.9125,-3.29544,3.06752,2.1855
19.3405,-2.93136,3.03504,-0.361401
18.7011,1.15286,0.611652,2.65232
17.2772,-1.00434,2.43938,1.0516
14.7503,-4.09429,3.10826,2.94459
13.798,-0.970862,2.41747,-2.46215
13.0509,2.87737,0.112447,0.125436
12.342,-3.23868,3.0632,1.04075
11.9251,1.64136,0.382691,-2.56663
11.8011,-4.02982,3.10604,-0.431567
12.0035,1.06936,0.661257,-0.865225
11.5738,0.415483,1.16678,-2.45605
11.2078,0.0541461,1.51668,2.83997
10.684,0.907689,0.766963,0.256482
9.92278,-2.14928,2.9095,1.6206
9.70526,2.09354,0.245264,1.17717
9.55267,-4.29863,3.11442,0.929105
9.26513,3.93283,0.0391712,-1.87709
9.13819,-1.42336,2.66879,-0.755028
8.23824,-1.73648,2.79289,0.269687
8.08068,-0.574732,2.11627,-1.32063
7.12611,-4.26639,3.11353,-2.06731
6.64824,3.41153,0.0659575,1.29221
6.65662,1.25978,0.552901,1.68683
5.21337,2.13153,0.236208,2.2508
4.55761,3.19303,0.0820484,-1.09565
4.53043,3.56204,0.0567462,2.87608
4.27427,4.41766,0.0241238,0.423606
4.19493,-3.29648,3.0676,-1.23833
3.69446,4.34053,0.0260577,-0.921953
3.54821,1.19587,0.587389,-1.71439
3.21826,4.93269,0.014414,-2.2716
3.18905,-4.97895,3.12783,-0.859268
3.11328,2.37512,0.185472,-1.88306
3.23166,0.403449,1.17787,1.13498
