pos_x,pos_y,pos_z
-0.00628736,-0.0497757,-0.159422
-0.03366,-0.217235,-0.636656
-0.0669747,-0.382882,-1.11372
-0.106243,-0.546386,-1.59072
-0.15147,-0.707367,-2.06777
-0.202662,-0.865382,-2.54503
-0.259827,-1.0199,-3.02265
-0.323005,-1.17023,-3.50085
-0.392309,-1.31549,-3.97992
-0.467885,-1.45443,-4.46022
-0.550026,-1.58531,-4.94228
-0.63156,-1.71795,-5.42386
-0.7082,-1.86004,-5.90301
-0.78323,-2.00762,-6.3806
-0.858041,-2.15842,-6.85718
-0.93221,-2.31146,-7.33312
-0.999966,-2.46843,-7.80861
-1.06051,-2.62936,-8.28373
-1.1197,-2.79154,-8.75863
-1.17041,-2.95758,-9.23336
-1.21813,-3.12507,-9.708
