et,eta,theta,phi
93.3401,-1.60279,2.74424,1.25131
79.4049,-1.30828,2.61364,-1.93374
23.5449,-3.55711,3.08457,0.871253
21.0505,0.539698,1.05554,-2.9225
18.6827,-3.21038,3.06095,1.88033
18.4214,-2.73096,3.01146,-2.27958
17.6924,4.1146,0.0326622,2.95598
17.8688,-1.23739,2.57682,-0.0666418
15.681,2.0188,0.264084,1.60896
16.0575,1.16295,0.605887,-1.32316
16.8023,-0.0726369,1.64337,0.777812
15.3163,-1.69759,2.77936,3.13353
15.4624,0.517823,1.07467,1.91697
14.5435,4.29542,0.0272601,-0.309179
13.0931,2.84706,0.115899,0.549785
12.4131,3.18317,0.0828608,1.6949
13.0023,1.08696,0.650525,-0.0246675
12.1943,-3.11019,3.05247,-1.02512
11.308,-2.90238,3.03192,0.0647393
11.2162,4.00768,0.0363472,-2.04188
11.04,4.14023,0.0318357,0.770502
10.9681,2.1719,0.226943,-0.589624
10.8459,3.30599,0.0732933,-1.01369
10.8099,-0.823108,2.31415,2.45854
10.0622,2.44201,0.173534,2.94395
9.99519,-4.16751,3.11061,2.88572
10.2714,-0.317197,1.8828,-0.965126
9.21185,-2.98227,3.04032,2.93952
8.73675,-2.02759,2.87979,-1.36033
8.38528,-4.37234,3.11635,-0.0648007
8.37786,-4.69321,3.12328,1.43003
7.49462,1.92926,0.288494,-2.13226
6.99342,1.35271,0.505997,2.59754
6.49728,3.8563,0.0422861,2.17285
5.77706,-2.02114,2.87812,2.31729
5.69406,-2.27286,2.93628,0.774317
5.95691,0.0644432,1.5064,-1.86807
5.38357,4.83328,0.0159205,1.90176
5.14025,2.96492,0.103038,-2.34252
4.84999,4.9288,0.0144701,-2.62117
4.91103,1.06865,0.661693,1.0707
4.6405,4.65926,0.0189464,-1.24033
4.60056,3.07281,0.0925158,-0.321261
4.22086,1.85383,0.310748,0.548481
4.1648,-4.22038,3.11221,-1.30748
4.07837,-0.701786,2.22119,-2.80463
3.31555,-3.82968,3.09817,-2.15533
3.29917,3.08804,0.0911191,2.78413
