pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,pt,phi,eta,charge,chi2,ndof
0.00071879,0.00061581,-0.0547826,-0.914845,-0.104225,0.390123,7.2289,-3.02816,0.411945,1,12.8972,19
0.000720763,0.000595795,-0.0548993,-0.910785,-0.0939756,0.402043,7.13573,-3.03878,0.426083,-1,11.464,17
0.000720192,0.000608371,-0.0548531,-0.918305,-0.138387,0.370898,7.34885,-2.99202,0.389464,-1,12.8989,12
0.000701465,0.000733681,0.00918375,-0.860153,-0.158639,-0.484737,0.957002,-2.95921,-0.529158,-1,6.66229,13
0.000803445,0.000434296,0.0491791,-0.71971,-0.306275,0.623068,1.35365,-2.73925,0.730004,-1,6.27493,11
0.000744441,0.000580391,0.0489703,-0.396646,-0.201878,-0.895498,1.75581,-2.6708,-1.44902,-1,23.2904,23
0.000804808,0.000522794,0.0493254,-0.563675,-0.470309,0.679028,0.887992,-2.44625,0.827309,1,7.21948,9
0.000638765,0.000704906,0.00858853,-0.33345,-0.329392,-0.883353,1.27426,-2.36232,-1.39083,-1,31.1929,24
0.000656881,0.000685956,0.0490387,-0.604648,-0.609907,0.512264,1.10341,-2.35186,0.565795,-1,7.75708,16
0.000804164,0.000591044,0.063042,-0.110068,-0.323974,-0.939641,1.19208,-1.8983,-1.73498,1,42.6155,33
0.000495973,0.000698797,-0.054847,-0.172065,-0.507548,-0.844268,0.842791,-1.89765,-1.23585,-1,5.89803,4
0.000924593,0.000576382,-0.0550529,-0.160099,-0.70056,-0.695402,19.3434,-1.79547,-0.858341,1,10.2358,11
0.000705103,0.000622027,0.0464081,-0.0437035,-0.238175,-0.970238,1.10945,-1.75227,-2.09635,1,21.1099,35
0.00062833,0.000640931,-0.0548446,-0.135044,-0.697373,-0.70387,23.9782,-1.76208,-0.87493,-1,27.7118,14
-0.000238935,0.000730909,-0.055203,-0.0800662,-0.713514,-0.696052,2.98319,-1.68254,-0.8596,1,21.2621,11
0.000831331,0.000603657,0.0493548,-0.129201,-0.940961,0.312889,0.799302,-1.70725,0.323745,-1,43.6607,18
0.000745958,0.000624945,-0.0560969,0.045566,-0.996965,0.0631213,0.839027,-1.52512,0.0632053,1,10.6079,13
0.00071918,0.000614848,0.0489338,0.161399,-0.282968,-0.945452,0.925238,-1.05244,-1.78709,-1,42.6325,49
0.000620477,0.000521651,0.0127662,0.460702,-0.477952,-0.747874,1.83428,-0.803773,-0.968113,-1,0.863478,1
0.000725034,0.000528812,0.0489051,0.244162,-0.000291508,-0.969734,1.76508,-0.00119391,-2.08782,-1,42.7165,37
0.000718841,0.000606845,-0.0550366,0.317799,0.0181665,-0.947984,1.6259,0.0571015,-1.8115,1,1.06051,3
0.000727128,0.000487871,-0.051159,0.323776,0.0214832,-0.94589,1.34023,0.0662549,-1.79123,1,26.1624,37
0.000718615,0.000603644,-0.0547659,0.349037,0.0124839,-0.937026,2.89721,0.0357515,-1.71309,-1,37.7795,45
0.000720972,0.00057329,-0.0565659,0.388613,0.0246734,-0.921071,3.91033,0.0634058,-1.59604,1,29.8577,37
0.000746739,0.000301922,-0.0572094,0.397677,0.0358982,-0.916823,10.4801,0.0900256,-1.56873,-1,21.0768,35
0.000727264,0.000490108,-0.0562104,0.85645,0.0606959,-0.512649,1.12354,0.0707508,-0.566317,-1,6.23827,18
0.000744014,0.000538868,0.0491707,0.94846,0.225114,-0.223039,1.19177,0.233035,-0.226852,-1,9.8451,17
0.000714672,0.000652645,0.00839386,0.468533,0.110895,0.876458,0.968247,0.232408,1.36028,-1,2.21603,1
0.000671874,0.000703799,0.0492391,0.244608,0.152491,-0.957556,1.02248,0.557456,-1.91563,1,2.723,1
0.000759797,0.000559298,-0.0547853,0.564577,0.367823,0.73889,0.88675,0.577431,0.948031,1,5.3366,10
0.000758904,0.000559664,-0.0545887,0.190305,0.121946,0.974122,1.38322,0.569876,2.16724,1,24.5294,27
0.000716497,0.000626477,0.0491858,0.609115,0.642127,0.465459,1.53951,0.811776,0.504258,-1,21.7905,15
0.000746315,0.00060281,0.0632132,0.403246,0.552353,0.729589,2.08282,0.940185,0.927847,-1,11.8903,14
0.000608598,0.000638109,-0.0562109,0.124959,0.944722,0.303127,1.14619,1.43929,0.312959,1,24.8979,14
0.000813947,0.000635348,-0.0547715,-0.104949,0.857705,0.503317,0.933289,1.69255,0.553739,1,0.205342,3
0.000718005,0.000623609,-0.0547868,-0.135929,0.889681,0.43588,14.7389,1.72241,0.467134,-1,15.5435,14
0.000812133,0.000636947,-0.0548445,-0.136995,0.967085,0.214428,0.837934,1.71152,0.217808,-1,9.89416,15
0.000751809,0.000629046,-0.0547967,-0.133233,0.828878,0.543332,1.04783,1.73017,0.608871,-1,29.9385,15
0.000717857,0.000623588,-0.054852,-0.194381,0.828126,0.52576,2.87655,1.80135,0.584267,1,6.86146,13
0.000728788,0.000627254,-0.0548831,-0.29087,0.866222,0.406269,1.09714,1.89476,0.431134,1,44.8691,13
0.000960158,0.000713413,0.0490679,-0.257995,0.637156,0.726272,0.784536,1.95553,0.920792,1,1.13065,1
0.000804955,0.000645952,0.0128933,-0.111604,0.355659,0.927929,0.987585,1.87486,1.64327,-1,11.4763,5
0.000737658,0.000633371,-0.0547605,-0.257008,0.519263,0.815054,2.14601,2.03039,1.1419,-1,7.87073,10
0.000659689,0.000583939,0.0627705,-0.156597,0.309492,-0.937919,1.06509,2.03922,-1.72047,-1,38.5612,39
0.000957114,0.00076546,0.0492695,-0.201214,0.317052,0.926818,0.85928,2.1363,1.63534,1,6.6564,5
0.000730927,0.000622873,0.0492597,-0.316195,0.392254,-0.863804,0.871304,2.24924,-1.30814,1,15.0653,21
0.000720226,0.000627808,-0.0545949,-0.269973,0.147703,0.951472,1.19698,2.64098,1.8471,1,72.8369,45
0.00072695,0.000629086,0.0491439,-0.954354,0.156217,0.254568,0.795206,2.97934,0.260292,1,19.5318,11
0.000711124,0.000569636,-0.0548741,-0.8918,0.111926,0.438367,1.21367,3.01674,0.470207,1,10.1942,14
0.00073163,0.000704583,0.0487874,-0.473774,0.0355235,0.87993,0.763391,3.06675,1.37546,1,20.5312,9
0.000727381,0.000750677,-0.0546537,-0.923023,0.0687467,0.378552,1.95183,3.06725,0.398369,-1,0.770511,1
0.000726087,0.000592278,0.0492027,-0.676225,-0.0235939,-0.736317,0.798797,-3.10672,-0.942387,1,18.7366,16
0.000475691,0.000497537,0.0122052,-0.086195,0.173656,0.981027,1.14536,2.03152,2.32418,-1,30.7185,33
0.000708605,0.000591706,-0.0528819,-0.162268,0.0481108,0.985573,1.08201,2.85336,2.46229,-1,14.884,19
0.00066991,0.00065081,-0.0556512,-0.130651,-0.230275,-0.964315,1.59446,-2.08688,-2.00409,1,23.0432,29
0.000731992,0.000579025,0.0493079,0.182374,0.0317112,-0.982718,1.40555,0.172158,-2.37127,1,44.343,33
0.000720152,0.000614949,-0.0552164,0.290738,0.0766195,-0.95373,1.64729,0.257676,-1.8715,1,41.8156,47
0.000750416,0.000546882,-0.0548548,0.225754,0.0957788,-0.969465,1.34165,0.401245,-2.08331,-1,23.3176,33
0.000707529,0.000618898,-0.0654005,-0.147541,0.27098,-0.951211,1.06808,2.06939,-1.84435,-1,42.1486,45
0.000697463,0.000609225,-0.0547907,0.296673,-0.421997,-0.856681,1.13524,-0.958045,-1.28074,-1,12.564,9
0.000953643,0.000785074,0.0122873,0.151243,-0.21183,0.965533,0.975939,-0.950746,2.02176,1,30.7973,33
0.000703972,0.000819249,-0.054823,-0.915068,-0.0651658,0.398001,2.87129,-3.0705,0.421271,1,0.00308189,1
0.000756809,0.000229067,-0.0557123,0.376426,0.0372323,-0.925698,1.77959,0.0985894,-1.62746,1,35.0054,37
0.000749954,0.000277036,-0.0537648,0.352618,0.0325975,-0.9352,18.2697,0.0921823,-1.69833,-1,31.9237,35
0.000686341,0.000770025,-0.0546893,0.363649,0.0784577,-0.928226,2.1808,0.212494,-1.64542,1,28.8141,35
0.000720703,0.000622431,-0.0548227,-0.306366,-0.739137,-0.599848,1.95544,-1.96373,-0.692909,1,13.4183,10
0.00074459,0.000616003,-0.0549222,-0.165808,-0.582566,-0.795691,2.1718,-1.84808,-1.08676,1,16.3386,15
0.000827019,0.000623763,-0.0548147,0.000870618,-0.594892,-0.803805,2.00221,-1.56933,-1.10927,-1,5.7289,14
0.000695908,0.000620494,-0.0548598,-0.085547,0.606488,0.790477,2.7081,1.71092,1.0727,-1,17.5154,12
0.000683903,0.000622426,-0.0547414,-0.0317052,0.927885,0.371516,3.38489,1.60495,0.39018,-1,8.41157,14
0.000649112,0.000588383,-0.0542995,-0.29998,0.586868,0.752063,0.936111,2.04333,0.977687,1,2.39658,3
0.000718682,0.000617659,-0.0548881,0.197619,0.0260833,0.979932,0.973921,0.131229,2.29584,-1,18.5872,27
0.00068406,0.000647626,0.049081,-0.568854,-0.795958,-0.207017,1.14532,-2.19131,-0.210053,1,1.58908,1
0.000703124,0.000705354,0.0493492,0.692954,0.175545,-0.699284,1.05781,0.248109,-0.865898,-1,10.2113,15
0.000752737,0.000632789,0.0492909,-0.412653,0.781489,-0.467966,1.40727,2.05662,-0.507463,-1,7.52053,15
0.000713802,0.000702735,0.0490088,-0.877162,-0.11796,-0.46548,1.4169,-3.00792,-0.504284,-1,20.1802,17
0.000725142,0.000612168,0.0492198,-0.976567,0.00625176,0.215124,1.59717,3.13519,0.218538,1,11.346,13
0.00075247,0.00045286,0.0490396,0.361554,0.0597421,-0.930435,2.59217,0.163757,-1.66162,-1,35.7678,19
0.000617707,0.000803487,0.0631165,-0.86088,-0.502028,-0.0827884,1.04409,-2.61365,-0.0829783,-1,1.77072,3
-0.00592193,0.00524763,0.101422,-0.537136,-0.771172,-0.34173,0.769759,-2.17918,-0.35605,1,5.15902,5
0.00108998,0.000598273,-0.0171105,-0.031028,-0.489281,-0.871574,1.39915,-1.63413,-1.33959,1,2.14992,7
-0.00100067,0.000690516,-0.0515119,-0.0235047,-0.600677,-0.799146,1.63221,-1.60991,-1.09625,-1,13.6741,14
0.0007019,0.000601202,-0.0549746,0.276612,-0.197422,0.940484,1.00158,-0.619871,1.74223,-1,8.12711,5
0.000659313,0.00363078,-0.0459496,0.214775,0.00427969,-0.976654,1.06244,0.0199237,-2.21937,1,19.6624,31
0.000907237,0.000730958,-0.0553823,-0.0881435,0.155445,-0.983904,1.75215,2.08663,-2.40713,-1,16.623,13
-0.00223656,0.000991881,-0.0662351,-0.0929824,-0.746502,-0.658854,5.20857,-1.69472,-0.790786,1,14.2885,12
-0.01142,0.00225309,-0.0661836,0.0988906,0.736454,0.669221,1.08415,1.43732,0.80933,-1,3.94193,5
0.00819577,0.00242465,-0.0471906,-0.200895,0.833985,0.513916,1.10715,1.80718,0.568036,1,11.2305,14
0.000692565,0.000908379,0.0632074,-0.993364,-0.11475,-0.00774234,1.49724,-3.02659,-0.0077425,1,27.747,9
0.00953847,0.0117747,-0.0197852,0.274024,-0.216656,0.937001,0.990317,-0.669012,1.71289,-1,26.736,31
0.000922626,0.000358151,-0.0176206,-0.235572,-0.18058,-0.954933,1.19873,-2.48758,-1.88498,-1,33.7518,43
0.000756223,2.06507e-05,-0.028106,0.305109,0.0185392,-0.952137,1.58951,0.060688,-1.85417,1,29.7712,37
0.000713993,0.0010665,-0.0549021,0.366695,0.00327892,-0.930335,4.66137,0.00894157,-1.66088,-1,23.1726,31
-0.00368258,-0.000913462,0.0595404,-0.0990667,0.285085,-0.953369,1.49665,1.90524,-1.86752,-1,11.4594,17
0.00244891,-0.00871551,-0.0499742,-0.756963,-0.140322,0.638214,8.10874,-2.9583,0.755154,-1,0.18861,4
0.000716756,0.00184503,0.0174776,0.405741,0.00200245,0.913986,0.789334,0.00493525,1.55122,1,16.7415,23
0.0135168,-0.00322418,-0.109232,-0.0984626,-0.327642,0.939657,1.34672,-1.86273,1.73511,-1,11.041,13
-0.056061,-0.136436,-0.265059,0.269772,-0.111741,0.956419,0.764802,-0.39269,1.90212,1,14.1462,19
-0.00649253,-0.00378328,0.029979,-0.194187,0.31836,0.927868,0.898982,2.11851,1.64283,1,35.9657,21
0.0552607,-0.0946301,-0.123317,0.325087,0.186241,-0.927164,0.960691,0.520251,-1.6378,1,17.0087,17
0.00070876,0.000873189,-0.0713562,0.37792,0.0121577,-0.925758,8.54468,0.0321588,-1.62787,1,26.5578,23
