et,eta,theta,phi
81.1482,-0.883799,2.35791,-2.24055
75.9075,0.000191309,1.57061,1.22371
39.4858,-1.13792,2.52131,-0.4167
26.6263,-0.850609,2.3342,0.550505
25.227,0.977454,0.719764,1.84671
23.1934,-2.07911,2.8928,1.93524
22.4865,-3.83195,3.09826,0.247978
20.6728,-3.69982,3.09215,2.83593
21.6494,0.445458,1.13938,-2.10512
20.3514,-1.88866,2.84132,-1.44051
17.4819,3.92503,0.0394781,1.69386
16.9785,-2.59616,2.99275,0.295814
16.1564,1.92123,0.290786,-1.75094
16.6273,0.784161,0.856497,0.183754
15.1199,2.63926,0.142586,0.759888
13.4463,2.90291,0.109617,-2.4458
13.8798,-1.05986,2.47448,1.97987
13.2119,4.10145,0.0330943,-2.5618
12.7705,-3.40709,3.07534,-2.11491
12.3063,-3.1668,3.05737,1.66127
12.0051,1.28994,0.537268,-2.75904
10.6801,3.09903,0.0901252,-0.303062
10.6567,2.68756,0.135884,-1.06781
9.71324,4.0642,0.0343499,0.134738
8.80594,4.16424,0.0310806,2.6641
9.19895,0.421657,1.16111,3.10399
8.28145,2.79213,0.122428,1.58033
8.2564,3.0474,0.094893,2.73844
7.97272,-3.60425,3.08719,-0.879339
7.89338,1.92629,0.289339,2.48594
8.49578,-0.168315,1.73832,-0.331112
8.542,0.0613003,1.50953,2.35635
7.94755,-0.992617,2.43177,3.02789
7.42653,-2.79233,3.01919,2.96453
7.37783,-2.5126,2.97983,-0.788011
7.36282,4.18589,0.0304149,-1.37821
6.94861,4.6469,0.019182,-0.523097
7.36144,-0.225122,1.79404,-1.3481
6.15666,-2.00142,2.87293,-2.39769
5.56738,-4.1972,3.11152,-2.55756
5.5645,1.89349,0.298847,0.0429825
5.31576,4.91069,0.0147346,1.92503
5.24377,1.19943,0.585418,0.969164
5.10085,-4.19987,3.1116,1.41105
4.7123,-1.83357,2.82459,0.158128
4.581,-4.56562,3.12079,-1.52213
4.53127,-4.85621,3.12603,2.93964
3.79577,1.8362,0.316184,1.58837
3.71668,5.03319,0.0130358,-2.60044
3.63573,1.03546,0.682358,-1.51349
3.51296,-1.63225,2.75548,1.0123
