pos_x,pos_y,pos_z
-0.0276033,-0.0421948,-0.0147496
-0.221082,-0.373036,-0.403719
-0.381477,-0.714016,-0.785222
-0.509305,-1.06318,-1.16089
-0.604844,-1.41863,-1.53232
-0.66757,-1.77852,-1.90108
-0.695572,-2.14089,-2.2689
-0.685289,-2.50319,-2.63804
-0.632408,-2.86177,-3.01172
-0.533666,-3.21131,-3.39456
-0.410116,-3.54749,-3.78949
-0.303791,-3.87131,-4.19429
-0.225103,-4.18866,-4.60364
-0.166542,-4.50264,-5.01516
-0.128373,-4.81506,-5.42733
-0.116799,-5.12675,-5.83924
-0.115037,-5.4386,-6.25069
-0.128614,-5.74968,-6.66228
-0.154071,-6.06046,-7.07374
-0.193882,-6.37208,-7.48401
-0.287595,-6.68903,-7.888
