pos_x,pos_y,pos_z
0.00863372,0.0359578,0.0933115
0.0349562,0.148161,0.606997
0.0627324,0.260116,1.12063
0.0919212,0.371818,1.63422
0.122467,0.483265,2.14777
0.154294,0.594456,2.66128
0.187305,0.705391,3.17476
0.221374,0.816061,3.68822
0.256336,0.926446,4.20168
0.291967,1.03649,4.71516
0.327956,1.14608,5.22871
0.365571,1.25402,5.7425
0.405636,1.3599,6.25654
0.44719,1.46449,6.77075
0.489521,1.56831,7.28506
0.531973,1.67175,7.79945
0.573631,1.77526,8.31388
0.615356,1.87868,8.82832
0.655092,1.98278,9.34276
0.694426,2.08706,9.85719
0.733035,2.19176,10.3716
-0.0378964,-0.0234576,0.0148114
-0.263715,-0.165357,0.499728
-0.488819,-0.308323,0.984646
-0.713216,-0.452339,1.46957
-0.936918,-0.59738,1.95449
-1.15995,-0.74341,2.43942
-1.38234,-0.890385,2.92436
-1.60416,-1.03824,3.40929
-1.82548,-1.1869,3.8942
-2.04644,-1.33623,4.37907
-2.26726,-1.48607,4.86385
-2.48798,-1.63662,5.34846
-2.70839,-1.78807,5.83293
-2.92889,-1.93963,6.31733
-3.14979,-2.09073,6.80169
-3.37083,-2.24165,7.28603
-3.5923,-2.39195,7.77037
-3.81428,-2.54147,8.25472
-4.03629,-2.6909,8.73908
-4.25854,-2.8397,9.22352
-4.48083,-2.98831,9.708
0.0447208,-0.000736774,-0.00948996
0.361043,-0.00795811,0.41089
0.677249,-0.0101096,0.831059
0.993275,-0.0072476,1.25107
1.30905,0.00054718,1.67098
1.6245,0.0131745,2.09085
1.93954,0.0305271,2.51075
2.25404,0.0524945,2.93077
2.56788,0.078929,3.35103
2.88086,0.10957,3.77169
3.19269,0.144037,4.19298
3.50393,0.181961,4.61451
3.81555,0.220526,5.03571
4.12749,0.258664,5.45671
4.43966,0.296013,5.87757
4.75204,0.332261,6.29835
5.06491,0.366732,6.71886
5.37798,0.400616,7.13926
5.69113,0.433265,7.55967
6.00417,0.462802,7.98035
6.31719,0.491483,8.40109
0.02734,0.031665,-0.0188589
0.245909,0.281023,0.379229
0.468274,0.526704,0.777087
0.694384,0.768677,1.17476
0.924184,1.00691,1.5723
1.15762,1.24137,1.96977
1.39468,1.47198,2.36721
1.63536,1.69862,2.76469
1.8797,1.9211,3.16229
2.12774,2.1392,3.56012
2.37933,2.35287,3.9583
2.63223,2.56503,4.35653
2.88478,2.77795,4.75454
3.13679,2.99172,5.15241
3.3882,3.20629,5.55018
3.63857,3.42215,5.94786
3.88672,3.64103,6.34518
4.13356,3.86194,6.74215
4.37974,4.08371,7.13904
4.62523,4.30646,7.53579
4.86961,4.53136,7.932
