energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
105.547,0.922267,1.01817,1.02371,0.689287,0.83478,undefined,0.0146263,0.0200079,105.674,0
12.0436,1.08474,-0.815291,0.892661,0.617783,-0.644525,undefined,0.0131563,0.0619451,11.6536,0
8.06401,1.23669,-0.593432,0.690313,0.484119,-0.447401,undefined,0.0119142,0.0138801,7.9227,0
4.88831,1.02826,-0.876457,0.972078,0.668542,-0.705868,undefined,0.0127644,0.0474826,4.86464,0
3.94914,1.04965,-0.855748,0.650712,0.463691,-0.683985,undefined,0.0190385,0.0596504,3.92821,0
4.10019,0.887521,1.02374,1.08399,0.732711,0.856551,undefined,0.00952876,0.0158233,4.10625,0
4.64564,1.35128,0.046407,1.73834,1.06969,0.0343296,undefined,0.0110004,0.027269,4.60562,0
1.61226,1.31937,0.293691,-0.779295,-0.548609,0.219029,undefined,0.00636909,0.00447583,1.61178,0
1.0007,1.35209,-0.111331,-0.0163142,-0.012025,-0.0821544,undefined,0.000402535,0.00245412,1.00923,0
92.3413,1.12853,-0.786974,0.818821,0.564658,-0.60894,undefined,0.0147794,0.0547358,91.661,0
