energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
71.8113,-0.164006,1.36856,1.07195,0.71516,1.69007,undefined,0.0166531,0.0598823,71.489,0
74.5889,-1.34318,-0.23785,1.76923,1.07663,-2.96633,undefined,0.012849,0.0550268,72.8745,0
41.105,1.0453,-0.890686,-0.535988,-0.381004,-0.705702,undefined,0.0167226,0.0559992,41.0707,0
5.69776,1.04188,-0.892293,-0.44039,-0.315768,-0.708212,undefined,0.0124249,0.0593518,5.55569,0
6.95388,1.2251,-0.55512,-1.39889,-0.909425,-0.425448,undefined,0.013803,0.10023,6.86069,0
4.47772,0.170584,-1.35059,0.397307,0.287863,-1.44516,undefined,0.0201084,0.0784219,4.48945,0
6.0169,-1.12301,0.726888,2.18798,1.2677,2.56714,undefined,0.0167252,0.0422096,5.94489,0
3.4549,1.29885,-0.374928,-1.53489,-0.973933,-0.281022,undefined,0.00838591,0.0109953,3.47409,0
2.77952,-1.32226,0.287354,-1.21228,-0.805823,2.9276,undefined,0.00657708,0.00701375,2.77969,0
1.15389,0.860655,-1.05627,-0.344337,-0.250107,-0.887093,undefined,0.0112744,0.0024509,1.14741,0
