eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision
0.461114,0.871745,1.08389,1,0,0,0,-1,0,0,0,0,,-999,0,0,,,1
-0.286505,1.65707,3.50752,1,1.0307,0,1.33067,0,0.364896,0.364896,0,0,,-999,0,0,,,1
1.6134,2.71445,1.64493,1,0,1.03609,1.12921,0.391699,0.74515,0.74515,0,0,,-999,0,0,,,1
-1.41169,-0.622879,1.17496,1,1.28157,0,2.11156,0.0844378,2.18408,1.83821,0,0,,-999,0,0,,,1
0.959099,0.0390389,1.18654,1,1.53398,0,0.84076,0.0981611,1.37547,0.904683,0,0,,-999,0,0,,,1
-0.840747,-1.54683,1.66102,1,1.90057,0,0,-1,0,0,0,0,,-999,0,0,,,1
1.57095,-1.88624,1.1633,-1,3.14019,0,3.72842,0,8.79529,3.55851,0.956667,0,,-999,0,0,,,1
1.4835,-2.76487,44.0868,1,11.5057,1.03609,17.2668,0.423732,1.39287,0.680693,0.956002,0.962318,,-999,0,0,,,1
-1.75645,0.416174,43.2144,1,20.5095,0,13.0875,0.591982,1.36031,0.633088,1.22478,1.97364,,-999,0,0,,,1
-0.685978,-0.4092,2.94058,-1,0,0,0.173427,0.495841,0.427855,0.427855,0,0,,-999,0,0,,,1
1.17848,-0.899021,3.29338,1,0,0,0.620698,0.763982,0.682423,0.682423,0.682423,0.183176,,-999,0,0,,,1
-0.184914,-2.58606,5.9587,-1,0.61513,0,0.200303,0.893519,0.436324,0.436324,0,3.66136,,-999,0,0,,,1
0.3008,-1.26602,2.43308,-1,0.725656,0,0.262094,0.362726,2.00001,2.00001,0,0.523178,,-999,0,0,,,1
-2.40617,0.06309,5.55045,1,0,1.70974,2.78028,0.353548,2.14281,1.03685,1.03685,0.14855,,-999,0,0,,,1
-0.750236,0.406463,5.90286,-1,0.843629,5.13202,0,1,0,0,0,0.852083,,-999,0,0,,,1
-1.11634,3.13818,12.8627,-1,4.10521,2.58192,0,1,0,0,0,3.35676,,-999,0,0,,,1
4.22427,-0.247036,6.1111,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-1.02656,1.11188,3.12728,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.0518,0.317745,3.16007,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.42904,2.36563,3.25283,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.98827,-1.66213,3.28397,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-1.60293,1.92978,3.36652,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.78771,1.82172,7.15782,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
1.91948,-0.852981,6.65923,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-2.038,-0.306306,5.25864,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.65009,-2.35499,4.81053,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.00481,1.27115,4.09236,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.01503,3.06131,3.71191,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.87854,1.03548,3.76168,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.4186,0.524022,5.40411,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.10169,-0.669335,3.84606,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.57899,-0.642015,3.52438,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-4.70327,0.748312,3.89339,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
0.833861,2.24773,3.12432,1,0,0,0.779733,0.196038,1.10135,1.10135,0,0.268554,,-999,0,0,,,1
2.34359,-2.39407,1.55535,-1,0,0,1.86109,0,3.24208,1.1933,1.1933,0,,-999,0,0,,,1
0.0710867,-0.508143,1.46763,-1,0,0,1.01935,0,0.711197,0.711197,0,0,,-999,0,0,,,1
-2.29637,1.8788,2.72593,1,0.513818,0,3.23132,0.113721,1.9359,1.19858,1.19858,0.248401,,-999,0,0,,,1
0.489677,-3.10572,0.630124,1,0.539626,0,0,0,0.926716,0.926716,0.926716,0,,-999,0,0,,,1
1.08535,-2.29352,0.820119,1,0.857388,0,2.47153,0,6.47996,3.7751,0.977871,0,,-999,0,0,,,1
-0.232663,2.7142,1.15049,1,0.91031,0,0,1,0,0,0,0,,-999,0,0,,,1
-1.51763,-1.23275,1.09454,-1,0.517527,0.556475,0,1,0,0,0,0,,-999,0,0,,,1
-2.20558,-2.12032,3.8258,-1,0,1.16179,1.2426,0.475787,1.0486,0.618685,0.618685,0.36031,,-999,0,0,,,1
0.505851,1.27828,2.4388,-1,1.5439,0,1.93508,0.561762,1.30494,0.821618,0.821618,1,,-999,0,0,,,1
