pos_x,pos_y,pos_z
0.0337388,0.0263958,0.0934331
0.0740105,0.0590328,0.209091
0.113528,0.0925193,0.324667
0.152277,0.126842,0.440171
0.190247,0.161987,0.555609
0.227426,0.197943,0.670989
0.263805,0.234701,0.786317
0.299376,0.272255,0.901598
0.334136,0.310604,1.01683
0.368086,0.349758,1.13201
0.401237,0.389744,1.24713
0.433575,0.430493,1.36222
0.465055,0.471897,1.47732
0.495651,0.513946,1.59245
0.525347,0.556628,1.70761
0.554128,0.599927,1.82281
0.581983,0.643829,1.93807
0.608905,0.688316,2.05339
0.634885,0.733371,2.16877
0.659915,0.778977,2.28424
0.68399,0.825114,2.39979
