energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
228.412,-1.3157,0.362983,-1.62705,-1.01091,2.8724,undefined,0.0219744,0.0742309,224.672,0
52.8577,-1.28453,0.426947,-1.74278,-1.0708,2.8207,undefined,0.0119678,0.0865481,51.1315,0
54.2739,1.31909,-0.246231,-2.01089,-1.19397,-0.184543,undefined,0.0180821,0.103118,51.6353,0
24.0031,-1.31835,0.360187,-1.50473,-0.951034,2.87489,undefined,0.0104721,0.0578493,23.4098,0
19.1746,1.35051,-0.0380628,-1.8618,-1.12516,-0.0281766,undefined,0.0123757,0.0575229,18.3494,0
11.9121,1.22423,-0.575762,-1.20964,-0.804498,-0.43961,undefined,0.0186631,0.118729,10.6484,0
5.90623,1.06553,-0.838248,-0.493856,-0.356662,-0.666577,undefined,0.0196698,0.0855118,5.73086,0
5.88538,-1.34966,-0.0936277,-1.68486,-1.0447,-3.07233,undefined,0.0224951,0.0383782,5.85064,0
4.51797,-0.618769,-1.20606,-1.13525,-0.761682,-2.04483,undefined,0.0122939,0.0335451,4.53446,0
4.91918,0.971846,-0.94126,-1.38659,-0.898852,-0.769412,undefined,0.0133693,0.0331803,4.92775,0
3.84206,1.13649,-0.74904,-1.10997,-0.744708,-0.582733,undefined,0.0107736,0.0121696,3.86572,0
4.83005,1.3153,-0.282104,-1.72719,-1.06863,-0.211278,undefined,0.0168982,0.0741227,4.62231,0
3.97624,-1.32049,0.312698,-1.39074,-0.89884,2.90907,undefined,0.00908988,0.0252694,3.96681,0
2.48597,-1.08583,0.82224,0.461015,0.332327,2.49347,undefined,0.0142948,0.0416659,2.48177,0
2.43616,0.483423,-1.25868,0.979745,0.674356,-1.2041,undefined,0.0165546,0.00810486,2.4558,0
3.49348,0.677251,-1.16508,2.03402,1.19994,-1.04425,undefined,0.0104479,0.0171029,3.48655,0
46.8107,1.33435,-0.271749,-1.13247,-0.757181,-0.200909,undefined,0.0137695,0.0531265,46.3732,0
9.64923,1.33316,0.165398,1.79097,1.09852,0.123434,undefined,0.0154643,0.0614124,9.1308,0
