energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
13.2366,1.37236,0.0392711,0.296828,0.214552,0.028608,undefined,0.014299,0.0492408,13.0982,0
6.55233,0.677625,-1.19215,-0.420076,-0.301739,-1.05393,undefined,0.0131337,0.0321782,6.42555,0
5.90049,1.37177,0.0332996,0.397073,0.285481,0.0242701,undefined,0.0213059,0.031266,5.79288,0
4.96079,1.11354,-0.795882,-0.178013,-0.129695,-0.620546,undefined,0.013335,0.0483124,4.96642,0
4.39132,0.497242,-1.25732,-0.0388258,-0.0287119,-1.19419,undefined,0.0194581,0.118836,4.39781,0
2.59572,-0.97674,0.941429,-0.785979,-0.551065,2.3746,undefined,0.0160653,0.0161786,2.62255,0
2.13661,-1.35708,0.170148,0.734924,0.514358,3.01687,undefined,0.0098117,0.00777004,2.14307,0
2.13275,-1.21904,0.590292,0.81017,0.567247,2.69064,undefined,0.0116766,0.0808037,2.10253,0
1.70103,0.304901,-1.32731,0.0723182,0.0530769,-1.345,undefined,0.0113221,0.0114191,1.70315,0
2.36378,-1.34795,0.0669833,-1.39997,-0.907516,3.09194,undefined,0.0101852,0.0117035,2.37865,0
1.15575,-1.20301,0.626413,-0.663131,-0.471276,2.66152,undefined,0.00270546,0.00245762,1.17153,0
